Product,M5_copies,M6_copies,M8_copies,I6_copies,Classification,In_novel_region
(2Fe-2S)-binding protein,1,1,1,3,I6_specific,no
(Fe-S)-binding protein,1,1,1,2,I6_specific,no
(pseudo) LPXTG cell wall anchor domain protein,2,2,2,1,isolate_specific,no
(pseudo) hypothetical protein,8,8,8,1,isolate_specific,no
2-hydroxyacid dehydrogenase,1,1,1,2,I6_specific,no
2-hydroxycarboxylate transporter family protein,1,1,1,2,I6_specific,no
2-isopropylmalate synthase,2,2,2,2,ancestral,no
2-oxoisovalerate dehydrogenase subunit beta,2,2,2,1,isolate_specific,no
23S rRNA (adenine(2503)-C(2))-methyltransferase RlmN,2,2,2,2,ancestral,no
23S rRNA (uracil(1939)-C(5))-methyltransferase RlmD,2,2,2,2,ancestral,yes
23S ribosomal RNA methyltransferase Erm,2,2,2,1,isolate_specific,yes
2TM domain-containing protein,2,2,2,1,isolate_specific,no
3'-5' exonuclease,1,1,1,2,I6_specific,no
3'-phosphoadenosine 5'-phosphosulfate sulfotransferase,2,2,2,1,isolate_specific,no
3-beta hydroxysteroid dehydrogenase/isomerase family protein,11,11,11,1,isolate_specific,no
3-demethylubiquinone-9 3-methyltransferase family protein,4,4,4,1,isolate_specific,no
3-hexulose-6-phosphate isomerase,2,2,2,1,isolate_specific,no
3-hexulose-6-phosphate synthase,2,2,2,2,ancestral,no
"3-hydroxyacyl-CoA dehydrogenase, NAD binding domain protein",2,2,2,1,isolate_specific,no
3-oxoacid CoA-transferase subunit B,1,1,1,2,I6_specific,no
3-oxoacyl-[acyl-carrier-protein] reductase,2,2,2,1,isolate_specific,no
3-phosphoshikimate 1-carboxyvinyltransferase,2,2,2,2,ancestral,no
3D domain-containing protein,1,1,1,3,I6_specific,no
4-hydroxy-tetrahydrodipicolinate synthase,3,3,3,3,ancestral,no
4Fe-4S dicluster domain-containing protein,2,2,2,2,ancestral,no
4Fe-4S ferredoxin-type domain-containing protein,2,2,2,1,isolate_specific,yes
5'-methylthioadenosine/adenosylhomocysteine nucleosidase,2,2,2,2,ancestral,no
5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase,2,2,2,2,ancestral,no
50S ribosomal protein L33,3,3,3,1,isolate_specific,no
6-phospho-3-hexuloisomerase,1,1,1,2,I6_specific,no
6-phospho-beta-glucosidase,6,6,6,4,copy_number_variant,no
AAA ATPase domain protein,2,2,2,1,isolate_specific,no
AAA domain family protein,7,7,7,1,isolate_specific,no
AAA domain protein,3,3,3,1,isolate_specific,no
AAA domain-containing protein,2,2,2,1,isolate_specific,yes
AAA family ATPase,8,8,8,17,copy_number_variant,no
AAA+ ATPase domain-containing protein,2,2,2,1,isolate_specific,yes
ABC 3 transport family protein,8,8,8,1,isolate_specific,no
ABC transmembrane type-1 domain-containing protein,7,7,7,1,isolate_specific,no
ABC transporter ATP-binding protein,8,8,8,109,copy_number_variant,no
ABC transporter ATP-binding protein/permease,1,1,1,2,I6_specific,no
ABC transporter domain-containing protein,8,8,8,1,isolate_specific,no
ABC transporter family protein,84,84,84,1,isolate_specific,yes
ABC transporter permease,22,22,22,107,copy_number_variant,yes
ABC transporter permease subunit,110,110,110,6,copy_number_variant,no
ABC transporter substrate-binding protein,21,21,21,111,copy_number_variant,yes
"ABC transporter, permease protein",3,3,3,1,isolate_specific,no
ABC-2 transporter family protein,12,12,12,1,isolate_specific,no
ABC-2 transporter permease,1,1,1,2,I6_specific,no
ABC-2 type transporter transmembrane domain-containing protein,3,3,3,1,isolate_specific,no
ABC-F family ATP-binding cassette domain-containing protein,1,1,1,5,I6_specific,no
ACT domain-containing protein,3,3,3,2,copy_number_variant,no
ADP-ribosylglycohydrolase family protein,3,3,3,3,ancestral,no
AEC family transporter,2,2,2,2,ancestral,no
AI-2E family transporter,5,5,5,6,copy_number_variant,no
AMP-binding enzyme family protein,4,4,4,1,isolate_specific,yes
APC family permease,1,1,1,2,I6_specific,no
ATP-binding cassette domain-containing protein,19,19,19,7,copy_number_variant,yes
ATP-binding protein,4,4,4,11,copy_number_variant,yes
ATP-dependent Clp endopeptidase proteolytic subunit ClpP,3,3,3,3,ancestral,no
ATP-dependent endonuclease,2,2,2,1,isolate_specific,no
ATP-dependent helicase,2,2,2,2,ancestral,no
ATP-dependent nuclease,1,1,1,2,I6_specific,no
ATP-grasp domain-containing protein,1,1,1,5,I6_specific,no
ATPase,3,3,3,1,isolate_specific,no
Abasic site processing protein,2,2,2,1,isolate_specific,no
AbrB/MazE/SpoVT family DNA-binding domain-containing protein,6,6,6,6,ancestral,no
Acetate kinase,2,2,2,1,isolate_specific,no
Acetyltransferase domain protein,23,23,23,1,isolate_specific,yes
Acetyltransferase family protein,20,20,20,1,isolate_specific,no
AcrB/AcrD/AcrF family protein,2,2,2,1,isolate_specific,no
Activator of Hsp90 ATPase-like ue 1/2-like C-terminal domain-containing protein,2,2,2,1,isolate_specific,no
Acyl-CoA dehydrogenase,2,2,2,1,isolate_specific,yes
Acyltransferase family protein,4,4,4,1,isolate_specific,no
Alcohol dehydrogenase catalytic domain-containing protein,4,4,4,1,isolate_specific,no
Aldo/keto reductase,3,3,3,1,isolate_specific,no
Aldo/keto reductase family protein,6,6,6,1,isolate_specific,no
Alkaline phosphatase family protein,2,2,2,1,isolate_specific,no
Alkaline phosphatase synthesis transcriptional regulatory protein PhoP,2,2,2,1,isolate_specific,no
Alkaline shock protein 23,2,2,2,1,isolate_specific,no
Alpha-L-rhamnosidase six-hairpin glycosidase domain-containing protein,2,2,2,1,isolate_specific,no
Alpha-amylase,2,2,2,1,isolate_specific,no
Alpha-galactosidase,4,4,4,1,isolate_specific,yes
Alpha-xylosidase,2,2,2,1,isolate_specific,no
Alpha/beta fold hydrolase,7,7,7,1,isolate_specific,no
Alpha/beta hydrolase,3,3,3,1,isolate_specific,yes
Amidase,2,2,2,1,isolate_specific,no
Amidohydrolase,3,3,3,1,isolate_specific,no
Amidohydrolase family protein,6,6,6,1,isolate_specific,no
Amino acid permease,5,5,5,1,isolate_specific,no
Amino acid permease family protein,3,3,3,1,isolate_specific,no
Amino acid transporter,2,2,2,1,isolate_specific,no
Amino acid/peptide transporter family protein,2,2,2,1,isolate_specific,no
Aminopeptidase,5,5,5,1,isolate_specific,no
Aminotransferase class I and II family protein,6,6,6,1,isolate_specific,no
Aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme,4,4,4,1,isolate_specific,no
Aminotransferase class-V family protein,3,3,3,1,isolate_specific,no
"Amylo-alpha-1,6-glucosidase family protein",2,2,2,1,isolate_specific,no
Ankyrin repeat family protein,2,2,2,1,isolate_specific,no
