Time	A4b	Actinomycetaceae	Aerococcaceae	Aeromonadaceae	Alcaligenaceae	Anaerococcus	Anaerolineaceae	Bacillaceae	Bacteroidetes BD2-2	Bdellovibrionaceae	Beijerinckiaceae	Bifidobacteriaceae	Blastocatellaceae	Brevibacteriaceae	Burkholderiaceae	Caldilineaceae	Caulobacteraceae	Cellulomonadaceae	Chitinophagaceae	Chthoniobacteraceae	Clostridiaceae	Comamonadaceae	Corynebacteriaceae	Crocinitomicaceae	Defluviitaleaceae	Devosiaceae	Diplorickettsiaceae	Enterobacteriaceae	Enterococcaceae	Erwiniaceae	Flavobacteriaceae	Fusobacteriaceae	Gemmataceae	Hyphomonadaceae	Ilumatobacteraceae	Isosphaeraceae	JG30-KF-CM45	Kineosporiaceae	LWQ8	Lachnospiraceae	Lactobacillaceae	Leptotrichiaceae	Leuconostocaceae	Methanomassiliicoccaceae	Methylophilaceae	Microbacteriaceae	Micrococcaceae	Moraxellaceae	Omnitrophaceae	Oxalobacteraceae	Paenibacillaceae	Paracaedibacteraceae	Pasteurellaceae	Pectobacteriaceae	Pedosphaeraceae	Peptostreptococcaceae	Phormidiaceae	Pirellulaceae	Planococcaceae	Polyangiaceae	Prolixibacteraceae	Propionibacteriaceae	Pseudanabaenaceae	Pseudomonadaceae	Rhizobiaceae	Rhodanobacteraceae	Rhodobacteraceae	Roseiflexaceae	Rubinisphaeraceae	Rubritaleaceae	Rubrobacteriaceae	Saccharimonadaceae	Saprospiraceae	Schlesneriaceae	Selenomonadaceae	Sphingobacteriaceae	Sphingomonadaceae	Staphylococcaceae	Streptococcaceae	Terrimicrobiaceae	Thermicanaceae	Thermoactinomycetaceae	Veillonellaceae	Verrucomicrobiaceae	Weeksellaceae	Xanthobacteraceae	Xanthomonadaceae	Yersiniaceae	env.OPS 17	NA
1	0.0016166666666666666	0	0	2.3333333333333333e-4	3.3333333333333335e-5	0	0	0.14728333333333332	0	3.333333333333333e-4	0	2.1666666666666666e-4	0	1.1666666666666667e-4	0	0	0	0	0	0	0	0.005916666666666666	0.002916666666666667	2e-4	0	0	0	0.04906666666666667	0.02578333333333333	0.00535	0.0011333333333333334	0	0.0013833333333333334	0	0	0	0	0	0	0	0.7125	0	0	0	0	0.008166666666666666	0	0	0	0.0017666666666666666	0.006183333333333333	0	0.002533333333333333	0	0	0	1.6666666666666667e-5	3.8333333333333334e-4	0	0	0	0.001	2.1666666666666666e-4	0.0018666666666666666	0.0017	0	2.3333333333333333e-4	3.1666666666666665e-4	0	0.0056	8e-4	0	0	0	7.166666666666667e-4	0.0014833333333333332	0	1e-4	0	0	0	0	0	0.011966666666666667	0	0	0	0	0	8.666666666666666e-4
2	0	0	0	0	0	0	0	0.07756666666666667	0	0	0	0	0	0	3e-4	0	0	0	0	0	0	0	3.8333333333333334e-4	0	2.8333333333333335e-4	0	0	0.015416666666666667	0.022166666666666668	0.0028166666666666665	0	0	0	0	4.5e-4	0	0	0	0	0	0.8624333333333334	0	0	0	0	0	0	7.166666666666667e-4	0	1.8333333333333334e-4	0.0085	0	0	0	0	0	0	0	0	0	0	0.0011666666666666668	0	0	2e-4	9.666666666666667e-4	0	0	0	2.1666666666666666e-4	0	0	0	3e-4	0	0	2e-4	0.0031666666666666666	0	0	0	0	2.3333333333333333e-4	0	3.5e-4	0	0.00175	0	0	2.3333333333333333e-4
3	0	0	0.0011	0	0	0	0	0.09348333333333333	0	0	6.666666666666666e-4	0	0.003183333333333333	0	0	0	0	0.0010166666666666666	0	0	0	0.00445	1e-4	0	0	2e-4	0	0.0298	0.0398	5.166666666666667e-4	2.8333333333333335e-4	0	0.0011666666666666668	3.333333333333333e-4	0	0	0	0	0	0	0.8004166666666667	0	0	0	0	0.0019833333333333335	0	1.8333333333333334e-4	0	6.666666666666667e-5	0.0034333333333333334	9.333333333333333e-4	0	0	0.00105	0	0	4.5e-4	5.666666666666667e-4	4e-4	0	7.5e-4	0	0.00265	0.00175	0	0	8.333333333333333e-5	0	0	0	0	2.1666666666666666e-4	0	0	0	0.0023	0	0	0	2e-4	0	0	0	0.002766666666666667	0	0.0035833333333333333	0	1.1666666666666667e-4	0
4	2.870961330359312e-4	0	0	0	0	0	0	0.10136701927960955	0	0	0	0	0	0	8.833727170336344e-5	2.650118151100903e-4	0	0	0.0013692277114021334	3.7543340473929465e-4	0	0	1.9875886133256774e-4	0	0	0	0	0.015282348004681876	0.018793754554890574	0.0024734436076941763	5.521079481460215e-4	0	0.0010821315783662022	0	0	0	3.0918045096177204e-4	5.741922660718624e-4	0	0	0.8372164925686271	0.008347872175967845	0	0	9.275413528853162e-4	6.404452198493849e-4	2.870961330359312e-4	0	0	0.001413396347253815	0.003290563370950288	0	0	0	0	0	0	0	0	0	0	4.858549943684989e-4	0	3.0918045096177204e-4	2.870961330359312e-4	0	0	0	0	0	0	0	0	0	0	0	0.0015238179368830193	1.3250590755504516e-4	0	0	0	0	0	0	0	3.975177226651355e-4	1.7667454340672688e-4	4.637706764426581e-4	0	0.0010821315783662022
5	1.435480665179656e-4	1e-4	0	0	0	1e-4	0	0.10045850963980477	0	0	9e-4	2.916666666666667e-4	0	0	4.416863585168172e-5	1.3250590755504516e-4	3.5833333333333333e-4	0	6.846138557010667e-4	0.0033627167023696472	0	0.002416666666666667	0.0038993794306662836	0.0010083333333333333	0	1.6666666666666667e-5	7.5e-5	0.01606617400234094	0.02573021061077862	0.002586721803847088	3.093873074063441e-4	6.666666666666667e-5	5.410657891831011e-4	0	0	0	1.5459022548088602e-4	2.870961330359312e-4	3.75e-4	0	0.8144499129509801	0.004173936087983923	0	0	4.637706764426581e-4	7.202226099246925e-4	7.435480665179655e-4	7.916666666666666e-4	1.5e-4	7.066981736269075e-4	0.005011948352141811	0	6.666666666666667e-5	0	0	2.4166666666666667e-4	0	0	1.1666666666666667e-4	0	0	0.0012429274971842495	0	6.212568921475526e-4	0.0018185480665179655	0	9e-4	1.6666666666666667e-5	1.1666666666666667e-4	0	0	4.5e-4	1.0833333333333333e-4	9.166666666666667e-5	0	2.5833333333333334e-4	9.035756351081763e-4	5.912529537775225e-4	0	2.916666666666667e-4	0	6.666666666666667e-5	4.6666666666666666e-4	0	0	4.654255279992344e-4	0.0030716706050366973	2.3188533822132904e-4	0	5.410657891831011e-4
6	0	2e-4	0	0	0	2e-4	0	0.09955	0	0	0.0018	5.833333333333334e-4	0	0	0	0	7.166666666666667e-4	0	0	0.00635	0	0.004833333333333334	0.0076	0.0020166666666666666	0	3.3333333333333335e-5	1.5e-4	0.01685	0.03266666666666666	0.0027	6.666666666666667e-5	1.3333333333333334e-4	0	0	0	0	0	0	7.5e-4	0	0.7916833333333333	0	0	0	0	8e-4	0.0012	0.0015833333333333333	3e-4	0	0.006733333333333333	0	1.3333333333333334e-4	0	0	4.8333333333333334e-4	0	0	2.3333333333333333e-4	0	0	0.002	0	9.333333333333333e-4	0.00335	0	0.0018	3.3333333333333335e-5	2.3333333333333333e-4	0	0	9e-4	2.1666666666666666e-4	1.8333333333333334e-4	0	5.166666666666667e-4	2.8333333333333335e-4	0.00105	0	5.833333333333334e-4	0	1.3333333333333334e-4	9.333333333333333e-4	0	0	5.333333333333334e-4	0.005966666666666667	0	0	0
7	0	0	0	0	0	0	0.0033	0.09768333333333333	4.5e-4	0	0	0	0	0	0	0	0	0	0	0	0	0.0028833333333333332	7.333333333333333e-4	0	0	0	0	0.030116666666666667	0.07583333333333334	0.004483333333333333	0	0	0.0072833333333333335	0	9.333333333333333e-4	7e-4	0	0	0	0	0.74785	0	0	1.5e-4	4.5e-4	0.00235	0	0	0	3.1666666666666665e-4	0.013783333333333333	0	0	0.0016333333333333334	0	0	0	0	0	0	0	0	0	0	0	0	0.004833333333333334	0	0	0	0	0	0	0	0	0	1e-4	5.666666666666667e-4	0	0	0	0	0	0	0	0	0	0.0035666666666666668	0	0
8	0	0	0	0	0.0016833333333333333	1.3333333333333334e-4	0	0.06365	0	2e-4	4e-4	0	0	1.8333333333333334e-4	0	0	8.333333333333334e-4	0	0	0	0	0.0213	3.3333333333333335e-5	0	0	3e-4	0	0.04541666666666667	0.0358	0.00205	0	0	0	0	0	0	0	0	0	0.00415	0.8064166666666667	0.002916666666666667	3.6666666666666667e-4	0	0	5.5e-4	0	0.0014666666666666667	0	6.666666666666667e-5	0.0018833333333333334	0	0	0	1.6666666666666666e-4	2.1666666666666666e-4	0	0	0	0	2.5e-4	0.0012666666666666666	0	0	8.333333333333333e-5	0	0	0	0	0	0	0	0	0	0	0	0.004933333333333333	0.0010666666666666667	4.8333333333333334e-4	0	0	0	5.5e-4	0	2.5e-4	1e-4	8.333333333333334e-4	0	0	0
9	0	0	3.637024913620658e-4	0	0	0	0	0.14545501779544331	0	0	0	0	0	0	0	0	0	0	3.637024913620658e-4	0	0	0.002623853687683475	0.004572259891408827	0	0	0	0	0.029407944301561323	0.052892733743797576	0.0029355986802795313	0	0	0	0	0	0	0	0	0	0.006260878601304133	0.723534149066064	0	0	0	0	7.533837321071364e-4	0	2.5978749383004704e-4	0	0	0	0	0	0	0	0	0.0017925337074273244	0	0	0	0	8.832774790221598e-4	0	0.006260878601304133	3.1174499259605643e-4	0.003844854908684696	0	0	0	7.793624814901411e-5	0	0	0	0	0	0	0.0022861299457044137	3.1174499259605643e-4	0	0	0	0	0.0022081936975553995	0	5.975112358091081e-4	0.0011430649728522068	0.010859117242095966	0	0	0
10	0	2.5614316695411624e-4	0	0	0	0	0	0.08399788254981985	0	0	4.781339116476836e-4	0	0	0	6.14743600689879e-4	0	0.0017417735352879902	0	0	0	2.219907446935674e-4	3.073718003449395e-4	0	0	0	1.5368590017246974e-4	0	0.019483956899643107	0.03922405696624033	9.733440344256416e-4	0	0	4.2690527825686036e-4	0	0	0	0	0	0	1.366096890421953e-4	0.8316456344666245	0.006659722340807021	0	0	0.001519782790594423	0.002254059869196223	5.122863339082325e-4	0.0012636396236403067	0	0	0.0011270299345981115	0	0	0	0	0	0	0	0	0	0	7.172008674715255e-4	0	0.001519782790594423	1.8783832243301856e-4	0	0	0	0	0	0	0	0	0	0	0	6.830484452109765e-5	0.003176175270231041	0	0	0	0	0	9.733440344256416e-4	0	3.415242226054883e-5	0	0	0	3.2444801147521387e-4
