Time	A4b	Alcaligenaceae	Armatimonadaceae	Babeliaceae	Bacillaceae	Beijerinckiaceae	Burkholderiaceae	Caulobacteraceae	Chitinophagaceae	Chthoniobacteraceae	Comamonadaceae	Corynebacteriaceae	Crocinitomicaceae	Cyclobacteriaceae	Cytophagaceae	Devosiaceae	Eggerthellaceae	Enterobacteriaceae	Enterococcaceae	Erwiniaceae	Flavobacteriaceae	Gemmataceae	Geodermatophilaceae	Hymenobacteraceae	Intrasporangiaceae	Isosphaeraceae	KD3-93	Kineosporiaceae	Ktedonobacteraceae	Lachnospiraceae	Lactobacillaceae	Legionellaceae	Leptotrichiaceae	Methylophilaceae	Microbacteriaceae	Micrococcaceae	Micromonosporaceae	Moraxellaceae	NS11-12 marine group	Neisseriaceae	Nitrosopumilaceae	Nitrososphaeraceae	Oxalobacteraceae	Paenibacillaceae	Pedosphaeraceae	Peptoniphilus	Phycisphaeraceae	Pirellulaceae	Planococcaceae	Prevotellaceae	Propionibacteriaceae	Pseudomonadaceae	Pseudonocardiaceae	Rhizobiaceae	Rhodanobacteraceae	Rhodocyclaceae	Roseiflexaceae	Rubinisphaeraceae	Rubritaleaceae	Saccharimonadaceae	Saprospiraceae	Sphingobacteriaceae	Sphingomonadaceae	Spirosomaceae	Staphylococcaceae	Streptococcaceae	UBA12409	Unknown Family	Veillonellaceae	Verrucomicrobiaceae	Vicinamibacteraceae	Weeksellaceae	Xanthobacteraceae	Xanthomonadaceae	Yersiniaceae	env.OPS 17	NA
1	0.002916666666666667	0	0	0	0.10891666666666666	0	0	0.0014333333333333333	0	1.1666666666666667e-4	4.5e-4	0.006533333333333334	0	0	0	0	0	0.018233333333333334	0.04098333333333333	1.1666666666666667e-4	1.5e-4	3.3333333333333335e-5	0	0	0	0	0	0	0	3.3333333333333335e-5	0.7867166666666666	0	0	0	0.004933333333333333	0.0042833333333333334	0	0.004183333333333333	0	1.1666666666666667e-4	0.0017	0	0.0010666666666666667	5.333333333333334e-4	0	5.166666666666667e-4	0	0	0	0	1.3333333333333334e-4	0.0018333333333333333	0.006166666666666667	0	0	5e-5	8.333333333333333e-5	0	0.001	0	0	0	0	0.004233333333333334	0.0010666666666666667	0	0	0	1.6666666666666666e-4	0	0	0	3.6666666666666667e-4	0	0	0	9.333333333333333e-4
2	0	0	0	0	0.031	0	0	0	0	0	4.6666666666666666e-4	6.666666666666667e-5	0	0	0	0	0	0.00715	0.00685	1.1666666666666667e-4	0	0	0	2.8333333333333335e-4	0	0	0	0	0	0.0011333333333333334	0.94985	0	0	0	5e-5	0	0	0	0	0	0	0	0	5e-5	0	0	0	0	0	0	2.666666666666667e-4	0	0	1.5e-4	0	0	6.666666666666667e-5	0	0	0	4e-4	0	7.166666666666667e-4	0	0.0013833333333333334	0	0	0	0	0	0	0	0	0	0	0	0
3	0	0	0	0	0.13493333333333332	0	0	0	0	0	0.008383333333333333	7e-4	0	0	0	0	0	0.0162	0.0636	0	0	0	0	0	0	0	0	0	0	0	0.7614666666666666	0	0	0	9.166666666666666e-4	0	0	0	0	0	0	0	0.0019666666666666665	0.00415	0	0	0	0	0	0	0.0017333333333333333	0	8.333333333333333e-5	0	0	0.005033333333333333	2.5e-4	0	0	0	0	0	0	0	5.333333333333334e-4	0	0	0	0	0	0	0	0	0	0	0	0
4	0	0	0	0	0.15488333333333335	0	6.666666666666666e-4	0	0	4.166666666666667e-4	0.010333333333333333	0.00145	0	0	0	0	0	0.027333333333333334	0.10685	0.006016666666666667	0.0014666666666666667	0	0	0	0.0023166666666666665	2.8333333333333335e-4	0	0	0	0	0.6603166666666667	0	0	0	0.0027166666666666667	0.00295	0	0.00225	0	0	0	0.0011	0	0	0	0	0	0	0.0018	0	0.00105	0.0011833333333333333	0	6.166666666666666e-4	0	0	0	0	0.005866666666666667	0	0	0	4e-4	0	0.0015166666666666666	0	0	0.001	0	5.166666666666667e-4	0	0	0.0010166666666666666	0.003683333333333333	0	0	0
5	0	0	0	0	0.09884017083970063	0	7.836683515536225e-4	7.836683515536225e-4	0	0	0.00419262568081188	0.002057129422828259	3.5265075819913014e-4	0	0	0	3.722424669879707e-4	0.025234120920026644	0.038713216566748955	0.0028407977743818815	3.918341757768113e-5	0	0	0	0	0	3.9183417577681127e-4	0	2.3510050546608676e-4	0.0014301947415853611	0.7955801104972375	0	0	0	0	0	0	0	9.795854394420282e-5	0	0	0	3.13467340621449e-4	0.010364013949296657	0	0	0	0.00139101132400768	0	0	5.093844285098546e-4	7.836683515536225e-5	0	0.0031150816974256494	2.155087966772462e-4	0	2.9387563183260845e-4	0	1.1755025273304338e-4	0	0	0	0.008150150856157674	0	5.877512636652169e-4	0	1.567336703107245e-4	0	6.661180988205792e-4	0.0011167274009639121	0	9.795854394420282e-4	0	0	0	0	0
6	0	0	0	3e-4	0.16535	6.833333333333333e-4	0	0	0.0031666666666666666	3.6666666666666667e-4	0.005883333333333333	7.333333333333333e-4	0	0	0.00265	0	0	0.02515	0.025833333333333333	8e-4	0.0017333333333333333	0.00125	0	0	0	0	0	0	0	0	0.7287666666666667	0	1.6666666666666667e-5	8.166666666666667e-4	0.00125	0	0	0	2.8333333333333335e-4	0	0	0	0	0	0.0012	0	0	0	0	0	0.0048	0.002766666666666667	0	0	0	0	0	0	0.0038666666666666667	0	0.00185	9.833333333333332e-4	0.013116666666666667	0	0.005666666666666667	8.333333333333333e-5	5.333333333333334e-4	0	1e-4	0	0	0	0	0	0	0	0
7	0	0	0	0	0.08968333333333334	0	0	5e-5	0	0	0.0030833333333333333	0	0	0	0	0	0	0.012283333333333334	0.011083333333333334	0.007083333333333333	0	8.666666666666666e-4	0	0.0047	0	0	0	6.166666666666666e-4	0	0	0.83765	0	0.009733333333333333	0	4.333333333333333e-4	0	0.0034833333333333335	0	0.0015166666666666666	0	0	4.6666666666666666e-4	0.0011	0.00835	0	0	0	0	0	0	5.5e-4	4.6666666666666666e-4	0	0	0	0	0.00255	2.3333333333333333e-4	5.5e-4	0	0	0	0.0025666666666666667	0	0	0	0	0	0	0	3.6666666666666667e-4	0	0	3.5e-4	0	1.8333333333333334e-4	0
8	0	3.423652548175682e-4	0	0	0.07908637386285826	0.0011249144086862956	0	0	0	0	0.009415044507483126	0.0017607355962046367	0	0	0	0	0	0.027193583096938277	0.017216081385112002	0.0075075809449281035	0	0	0	0	0	0	0	0	0	0	0.8297711043724934	0	0	0	0.001271642375036682	0	0	0	0	0.0014917343245622616	0	0	0	8.314584759855228e-4	0	0	0	0.0017851902572630343	0	0	0.0028367406827741366	0.0011004597476278978	0	7.336398317519319e-4	0	0	0	0	0	0	0	0	0.004304020346278001	0	0.0017118262740878412	0.0010515504255111023	0	0	0.0027633766995989436	0.004621930940037171	0	0	0	0.0017607355962046367	0	3.179105937591705e-4	0
9	0.0022561769723205604	0	4.402296531357191e-4	0	0.1192838930975659	0	0	0	4.0354384870774256e-4	0.0012840031549791809	1.4674321771190638e-4	3.8520094649375423e-4	0	0	0	2.0177192435387128e-4	0	0.016967184547939176	0.03151310600363189	0.004622411357925051	0.0015958324926169819	0	0	0	0	0	0	0	0	0	0.7903039418896858	0	0	0	0.003081607571950034	4.769154575636957e-4	0	0	0	0.001412403470477099	0	0	8.804593062714382e-4	0.0035585230295137296	0.002861492745382174	0	0.002512977603316397	0	0	0.0014674321771190638	2.2011482656785955e-4	0.003925381073793496	0	0.005943100317332208	0	0	0	0	0	0.0012473173505512041	0	4.769154575636957e-4	5.50287066419649e-4	0	0	0	0	0	8.621164040574499e-4	0	0	3.6685804427976595e-5	0.0010822312306253096	0	0	0	0
10	0.0015813809581105935	9.79768637090259e-4	0	0	0.10624473589219108	0	8.594461728861922e-5	0	0	0.0010485243309211543	0.009385152207917219	0	0	0.0011688467951252214	0	0	0	0.019062516114615742	0.02509582824827681	0.01113842240060505	0	0	3.0940062223902917e-4	0	0	0	0	0	0	0	0.8000928201866717	5.500455506471629e-4	0	0	1.5470031111951458e-4	0.003626862849579731	0	2.406449284081338e-4	0	2.9221169878130535e-4	0	0	0	6.875569383089537e-5	3.4377846915447684e-5	0	0	0	0	0	0.001976726197638242	0.001529814187737422	0.0010485243309211543	4.984787802739915e-4	0	0	2.406449284081338e-4	2.5783385186585765e-4	0	0	0	8.594461728861922e-5	0.003523729308833388	3.953452395276484e-4	8.078794025130206e-4	7.391237086821252e-4	0	0	1.0313354074634305e-4	0	0	9.79768637090259e-4	3.4377846915447687e-4	0.003953452395276484	0.0023548825137081663	0	0
