Time	Akkermansiaceae	Anaeroplasmataceae	Bacteroidaceae	Burkholderiaceae	Deferribacteraceae	Desulfovibrionaceae	Enterobacteriaceae	Erysipelotrichaceae	Lachnospiraceae	Marinifilaceae	Methanobacteriaceae	Muribaculaceae	Paenibacillaceae	Peptococcaceae	Prevotellaceae	Ruminococcaceae	Sporichthyaceae	Tannerellaceae
1	1.3333333333333334e-4	8.888888888888889e-5	4.111111111111111e-4	0	2.111111111111111e-4	2.2222222222222223e-4	0.9913	0	0.0012555555555555555	1.4444444444444444e-4	0	0.005211111111111111	0	2.555555555555556e-4	2.111111111111111e-4	5.222222222222222e-4	0	0
2	4.4444444444444447e-5	8.888888888888889e-5	2.4444444444444443e-4	0	2.2222222222222223e-4	1.4444444444444444e-4	0.9932333333333333	0	0.0011777777777777778	0	7.777777777777778e-5	0.003833333333333333	2.2222222222222223e-5	3e-4	8.888888888888889e-5	3.222222222222222e-4	0	8.888888888888889e-5
3	0	0	1e-4	0	1.2222222222222221e-4	1e-4	0.9956777777777778	0	9.222222222222222e-4	6.666666666666667e-5	0	0.002477777777777778	7.89620969746538e-5	1.6666666666666666e-4	1.8888888888888888e-4	5.555555555555556e-5	0	1.2222222222222221e-4
4	6.826497733602752e-5	0	2.594069138769046e-4	0	5.461198186882202e-5	0	0.9972420949156244	0	5.051608322866037e-4	2.730599093441101e-5	0	0.0015427884877942221	1.357019717270854e-4	1.7748894107367155e-4	9.557096827043854e-5	0	0	2.730599093441101e-5
5	4.811046161987924e-5	0	0	0	6.0138077024849056e-5	0	0.9984724928435689	0	3.247456159341849e-4	1.2027615404969811e-4	8.419330783478868e-5	6.735464626783094e-4	1.9244184647951697e-4	2.405523080993962e-5	0	0	0	0
6	0	0	0	0	0	4.4444444444444447e-5	0.9984777777777778	0	2.2222222222222223e-4	0	0	4.4444444444444447e-4	3.333333333333333e-4	0	0	3.3333333333333335e-5	2.888888888888889e-4	0
7	0	0	0	0	0	0	0.9991444444444444	0	0	0	0	3.444444444444444e-4	4.5555555555555556e-4	0	1.1111111111111112e-5	0	0	4.4444444444444447e-5
8	0	0	0	0	0	0	0.9967	0	1.7777777777777779e-4	0	0	2.555555555555556e-4	0.0028666666666666667	0	0	0	0	0
9	0	0	0	5.555555555555556e-5	0	0	0.888	0	0	0	0	0	0.11194444444444444	0	0	0	0	0
10	0	0	0	5.00181315726951e-5	0	0	0.6319915969538958	0	0	0	0	0	0.36795838491453153	0	0	0	0	0
11	0	0	0	0	0	0	0.5493	5.888888888888889e-4	0	0	0	0	0.45011111111111113	0	0	0	0	0
12	0	0	0	0	0	0	0.49505279574566	0.0010610283026103852	0	0	0	0	0.5036816403753228	0	0	2.0453557640682127e-4	0	0
13	0	0	0	0	0	0	0.46356491527901145	4.722337782075355e-4	0	0	0	5.621830692946851e-5	0.5334780017764985	0	0	0.00242863085935304	0	0
14	0	0	0	2.2222222222222223e-5	0	0	0.46614868645925855	0.002459730889211207	2.3333333333333333e-4	0	0	1.0883039686376806e-4	0.5231362791101517	0	0	0.007890917588959224	0	0
15	0	0	0	4.4444444444444447e-5	0	0	0.4687324576395057	0.004447228000214879	4.6666666666666666e-4	0	0	1.614424867980676e-4	0.5127945564438048	0	0	0.013353204318565407	0	0
16	0	0	0	6.666666666666667e-5	0	0	0.4713162288197529	0.0064347251112185505	7e-4	0	0	2.1405457673236714e-4	0.502452833777458	0	0	0.018815491048171592	0	0
17	0	0	0	8.888888888888889e-5	0	0	0.4739	0.008422222222222222	9.333333333333333e-4	0	0	2.666666666666667e-4	0.4921111111111111	0	0	0.024277777777777777	0	0
18	0	0	2.777777777777778e-5	4.4444444444444447e-5	0	0	0.4539222222222222	0.009677777777777778	0.0014277777777777778	0	0	3.0000000000000003e-4	0.5186666666666667	0	1.6666666666666667e-5	0.015916666666666666	0	0
19	0	0	5.555555555555556e-5	0	0	0	0.43394444444444447	0.010933333333333333	0.0019222222222222223	0	0	3.333333333333333e-4	0.5452222222222223	0	3.3333333333333335e-5	0.007555555555555556	0	0
