Time	Bacteroidaceae	Cyclobacteriaceae	Enterobacteriaceae	Erysipelotrichaceae	Lachnospiraceae	Muribaculaceae	Paenibacillaceae	Ruminococcaceae
1	0	0	0.9985268530332908	0	0	6.031782855817191e-4	8.699686811274794e-4	0
2	6.666666666666667e-5	0	0.9985666666666667	0	0	5.444444444444444e-4	8.222222222222222e-4	0
3	0	0	0.999	0	0	3.333333333333333e-4	6.666666666666666e-4	0
4	0	1.5555555555555556e-4	0.9993444444444445	0	0	1.1111111111111112e-4	2.3333333333333333e-4	1.5555555555555556e-4
5	0	0	0.9996111111111111	0	0	4.4444444444444447e-5	3.444444444444444e-4	0
6	0	0	0.9996777777777778	0	0	4.4444444444444447e-5	2.777777777777778e-4	0
7	0	0	0.9998444444444444	0	0	0	1.5555555555555556e-4	0
8	0	0	0.9985888888888889	0	0	0	0.001411111111111111	0
9	0	0	0.7968555555555555	0	0	0	0.20314444444444443	0
10	0	0	0.5965888888888888	1.1111111111111112e-5	0	0	0.4034	0
11	0	0	0.5683333333333334	0.002277777777777778	0	4.4444444444444447e-5	0.4293444444444444	0
12	0	0	0.46978888888888887	0.007044444444444444	0	0	0.5231666666666667	0
13	0	0	0.4424777777777778	0.004411111111111111	0	0	0.5515	0.0016111111111111111
14	0	0	0.42937996249029925	0.0049430951970337155	3.125808398723808e-4	1.0778649650771752e-5	0.5623092861659624	0.0030442966571814552
15	0	0	0.41628214720282064	0.005475079282956321	6.251616797447616e-4	2.1557299301543504e-5	0.573118572331925	0.004477482203251799
16	0	0	0.4031843319153421	0.006007063368878925	9.377425196171424e-4	3.2335948952315254e-5	0.5839278584978874	0.005910667749322143
17	0	0	0.39008651662786353	0.006539047454801529	0.0012503233594895232	4.311459860308701e-5	0.5947371446638499	0.0073438532953924865
18	0	0	0.41444312537309047	0.007797821135054358	0.001960504951988613	7.497103019129755e-5	0.566057443284351	0.009666134225324198
19	0	0	0.43879973411831735	0.009056594815307187	0.002670686544487703	1.0682746177950812e-4	0.5373777419048523	0.011988415155255911
