Time	Bacillaceae	Enterobacteriaceae	Erysipelotrichaceae	Lachnospiraceae	Muribaculaceae	Paenibacillaceae	Ruminococcaceae
1	0	0.9987777777777778	0	0	1.1111111111111112e-4	0.0011111111111111111	0
2	0	0.9994555555555555	0	0	4.4444444444444447e-5	5e-4	0
3	0	0.9996777777777778	0	0	0	3.222222222222222e-4	0
4	0	0.9998	0	0	0	2e-4	0
5	0	0.9995222222222222	0	0	0	3.333333333333333e-4	0
6	0	0.9996777777777778	0	0	0	1.8888888888888888e-4	0
7	0.003211111111111111	0.9949333333333333	2.888888888888889e-4	0	1e-4	0.0014666666666666667	0
8	0	0.8465444444444444	0	0	0	0.15345555555555557	0
9	2.336115040687337e-4	0.6287134495334259	0	0	0	0.37105293896250535	0
10	0	0.5775734541068299	0	0	0	0.4224265458931701	0
11	0	0.4824111111111111	3.5555555555555557e-4	0	0	0.5168222222222222	4.111111111111111e-4
12	0	0.44204444444444446	0.0011666666666666668	8.888888888888889e-5	0	0.5470888888888888	0.009611111111111112
13	0	0.3946750788643533	0.019280757097791798	5.930599369085174e-4	0	0.5450599369085174	0.04039116719242902
14	0	0.3925090869260428	0.015885567823343848	6.614616193480547e-4	0	0.5417977304591658	0.04914615317209954
15	0	0.39034309498773223	0.012490378548895899	7.29863301787592e-4	0	0.5385355240098142	0.057901139151770066
16	0	0.38817710304942166	0.00909518927444795	7.982649842271293e-4	0	0.5352733175604627	0.06665612513144059
17	0	0.38601111111111114	0.0057	8.666666666666666e-4	0	0.5320111111111111	0.07541111111111111
18	8.074655961979906e-5	0.39913998704209974	0.012245438972903762	0.001800257235468503	0	0.5200111616738377	0.06672240851607049
19	1.6149311923959812e-4	0.41226886297308835	0.018790877945807524	0.0027338478042703393	0	0.5080112122365643	0.05803370592102986
