Time	Acholeplasmataceae	Akkermansiaceae	Anaerovoracaceae	Bacillaceae	Bacteroidaceae	Beijerinckiaceae	Bifidobacteriaceae	Butyricicoccaceae	Chitinophagaceae	Christensenellaceae	Clostridiaceae	Comamonadaceae	Deferribacteraceae	Desulfovibrionaceae	Eggerthellaceae	Enterobacteriaceae	Enterococcaceae	Erysipelotrichaceae	Lachnospiraceae	Lactobacillaceae	Marinifilaceae	Microbacteriaceae	Monoglobaceae	Muribaculaceae	Oscillospiraceae	Paenibacillaceae	Peptococcaceae	Peptostreptococcaceae	Prevotellaceae	Propionibacteriaceae	Rhizobiaceae	Rikenellaceae	Ruminiclostridium	Ruminococcaceae	Saccharimonadaceae	Sutterellaceae	Tannerellaceae	UCG-010	[Eubacterium] coprostanoligenes group
1	7.833333333333334e-4	7.666666666666667e-4	0	0.006816666666666667	2e-4	1.5e-4	0	0	0	0	0	0	0	0	0	0.8691166666666666	0.00235	0	7e-4	0.11538333333333334	1e-4	0	0	0.0020666666666666667	3.3333333333333335e-5	0	0	0	0	1.5e-4	0	0	0	1.6666666666666666e-4	0	7.666666666666667e-4	8.333333333333333e-5	0	1.8333333333333334e-4
2	5.166666666666667e-4	2.8333333333333335e-4	0	6.166666666666666e-4	8.333333333333333e-5	0	0	0	0	0	0	0	0	0	0	0.9884666666666667	1.6666666666666666e-4	0	1.1666666666666667e-4	0.008966666666666666	0	0	0	6e-4	3.3333333333333335e-5	0	0	0	0	0	0	0	0	0	0	1.5e-4	0	0	0
3	1.5e-4	1.1666666666666667e-4	0	6.833333333333333e-4	8.333333333333333e-5	0	0	0	0	0	0	0	0	0	0	0.9867833333333333	3.5e-4	0	3.6666666666666667e-4	0.0109	0	0	0	3.333333333333333e-4	3.3333333333333335e-5	0	0	0	1.6666666666666667e-5	0	0	1.6666666666666667e-5	0	1.6666666666666667e-5	0	1.5e-4	0	0	0
4	5e-5	0	0	5.666666666666667e-4	0	0	0	0	0	0	0	0	0	0	0	0.98485	3.1666666666666665e-4	0	0	0.014016666666666667	0	1e-4	0	0	0	0	0	0	0	6.666666666666667e-5	0	0	0	0	0	0	0	0	3.3333333333333335e-5
5	2e-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.99395	0	0	0	0.005816666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.3333333333333335e-5	0	0	0
6	1.3333333333333334e-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9912666666666666	0	0	0	0.0085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1e-4	0	0	0
7	1.3333333333333334e-4	0	0	0	0	2.666666666666667e-4	0	0	2e-4	0	0	2.666666666666667e-4	0	0	0	0.98445	0	0	1.1666666666666667e-4	0.014266666666666667	0	6.666666666666667e-5	0	0	0	1.6666666666666667e-5	0	0	0	0	8.333333333333333e-5	0	0	0	0	1.3333333333333334e-4	0	0	0
8	8.333333333333333e-5	1.6666666666666667e-5	0	0	0	7.166666666666667e-4	0	0	8.666666666666666e-4	0	0	0.0010666666666666667	0	0	0	0.7642166666666667	1.6666666666666667e-5	0	0	0.2322	0	3.5e-4	0	0	0	1.5e-4	0	0	0	0	3.1666666666666665e-4	0	0	0	0	0	0	0	0
9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7704666666666666	0	0	0	0.22815	0	0	0	0	0	0.0013333333333333333	0	0	0	0	0	0	0	0	0	5e-5	0	0	0
10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8314779347218897	0	0	0	0.15347937115952437	0	0	0	0	0	0.015042694118585907	0	0	0	0	0	0	0	0	0	0	0	0	0
11	3.841573508509085e-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5178249010794822	0	0	0	0.06786139602781299	0	0	0	0	0	0.41427528715761974	0	0	0	0	0	0	0	0	0	0	0	0	0
12	0	0	0	0	0	7.0482097547223e-5	0	0	1.40964195094446e-4	0	0	3.52410487736115e-4	0	0	0	0.45915562447138425	0	0	0	0.04306456160135325	0	0	0	0	0	0.4972159571468847	0	0	0	0	0	0	0	0	0	0	0	0	0
13	0	0	0	0	0	0	0	0	3.259319617029945e-4	0	0	6.314931757995519e-4	0	0	0	0.35058056630678347	0	0	0	0.032430230189447955	0	0	0	4.074149521287431e-5	0	0.6159095538806274	0	0	0	0	8.148299042574862e-5	0	0	0	0	0	0	0	0
14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3754959492528094	0	0	0	0.026704045995581002	0	0	0	0	0	0.5978000047516097	0	0	0	0	0	0	0	0	0	0	0	0	0
15	0	0	0	0	0	0	0	0	1.4612672840520942e-4	0	0	0	0	0	0	0.3874915520485141	0	0	0	0.03788335433905054	0	1.0959504630390706e-4	0	0	0	0.5743693718377263	0	0	0	0	0	0	0	0	0	0	0	0	0
16	0	0	0	0	0	0	0	0	7.075168303246001e-4	0	0	0	0	0	0	0.37367608593113505	0	0	0	0.052206166116375796	0	0	0	8.575961579692123e-5	0	0.5733244715063677	0	0	0	0	0	0	0	0	0	0	0	0	0
17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4205964017246439	0	0	0	0.008803810469762297	0	0	0	6.772161899817151e-5	0	0.5705320661865957	0	0	0	0	0	0	0	0	0	0	0	0	0
18	1.3678553981436248e-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.38038104543234	0	0	2.344894968246214e-4	0.028314606741573035	0	0	0	3.712750366389839e-4	0	0.590561797752809	0	0	0	0	0	0	0	0	0	0	0	0	0
