Time	Acholeplasmataceae	Akkermansiaceae	Bacteroidaceae	Beijerinckiaceae	Butyricicoccaceae	Chitinophagaceae	Comamonadaceae	Deferribacteraceae	Desulfovibrionaceae	Enterobacteriaceae	Erysipelatoclostridiaceae	Erysipelotrichaceae	Lachnospiraceae	Lactobacillaceae	Marinifilaceae	Microbacteriaceae	Muribaculaceae	Oscillospiraceae	Paenibacillaceae	Peptococcaceae	Peptostreptococcaceae	Prevotellaceae	Rhizobiaceae	Rikenellaceae	Ruminococcaceae	Saccharimonadaceae	Sutterellaceae	Tannerellaceae	UCG-010
1	0	0	0	0	0	0	0	0	0	0.998102849084163	0	0	3.1898997699914374e-4	1.3431156926279738e-4	8.394473078924836e-5	0	3.525678693148431e-4	0	9.569699309974313e-4	0	0	5.036683847354901e-5	0	0	0	0	0	0	0
2	0	0	0	0	0	0	0	0	0	0.9993710691823899	0	0	0	1.7470300489168413e-4	0	0	0	0	4.5422781271837873e-4	0	0	0	0	0	0	0	0	0	0
3	0	0	0	0	0	0	0	0	0	0.9997303082913345	0	0	0	2.456848357791754e-4	0	0	0	0	2.696917086655317e-4	0	0	0	0	0	0	0	0	0	0
4	0	0	0	0	0	0	0	0	0	0.9993	0	0	0	3.1666666666666665e-4	0	0	0	0	3.8333333333333334e-4	0	0	0	0	0	0	0	0	0	0
5	0	0	0	0	0	0	0	0	0	0.998398762189198	0	0	0	5.757259544456839e-4	0	0	0	0	0.0010255118563563743	0	0	0	0	0	0	0	0	0	0
6	9.821639035122181e-5	0	0	0	0	0	0	0	0	0.9988017600377151	0	0	0	4.125088394751316e-4	0	0	0	0	6.875147324585526e-4	0	0	0	0	0	0	0	0	0	0
7	0	0	0	3.489000924585245e-4	0	3.8379010170437697e-4	5.233501386877867e-4	0	0	0.9877710517593287	0	0	0	0.0016921654484238439	0	2.093400554751147e-4	0	0	0.008809727334577744	0	0	0	2.6167506934389337e-4	0	0	0	0	0	0
8	0	0	0	2.6949508171475873e-4	0	3.079943791025814e-4	5.774894608173401e-4	0	0	0.8512002155960654	0	0	0	0.1207337966082119	0	0	0	0	0.02679551098192458	0	0	0	1.1549789216346802e-4	0	0	0	0	0	0
9	0	0	0	0	0	0	0	0	0	0.8321398920713989	0	0	0	0.12313200498132006	0	0	0	0	0.04472810294728103	0	0	0	0	0	0	0	0	0	0
10	6.666666666666667e-5	0	0	0	0	0	0	0	0	0.8072333333333334	0	0	0	0.12033333333333333	0	0	5e-5	0	0.07231666666666667	0	0	0	0	0	0	0	0	0	0
11	0	0	0	0	0	0	0	0	0	0.5679622332019764	0	0	0	0.03120561701106199	0	0	0	0	0.40083214978696163	0	0	0	0	0	0	0	0	0	0
12	0	0	0	0	0	0	2e-4	0	0	0.41573333333333334	0	0	0	0.009683333333333334	0	0	0	0	0.5743833333333334	0	0	0	0	0	0	0	0	0	0
13	0	0	0	0	0	1.007029062858754e-4	3.0210871885762625e-4	0	0	0.3329238081811041	0	0	0	0.01007029062858754	0	0	0	0	0.6566030895651649	0	0	0	0	0	0	0	0	0	0
14	0	0	0	0	0	0	0	0	0	0.4080258596144506	0	0	0	0.02155526152712412	0	0	0	0	0.5704188788584253	0	0	0	0	0	0	0	0	0	0
15	0	0	0	0	0	6.666666666666667e-5	0	0	0	0.37498333333333334	0	0	0	0.014933333333333333	0	0	0	0	0.6100166666666667	0	0	0	0	0	0	0	0	0	0
16	0	0	0	0	0	0	0	0	0	0.4202395166250588	0	0	0	0.02590542349578494	0	0	0	0	0.5538550598791563	0	0	0	0	0	0	0	0	0	0
17	0	0	0	0	0	0	0	0	0	0.40469145332132594	0	0	0	0.01648870020155238	0	0	0	0	0.5788198464771217	0	0	0	0	0	0	0	0	0	0
18	0	0	0	0	0	0	0	0	0	0.4038882396685435	0	0	0	0.011579730160416446	0	0	0	0	0.58453203017104	0	0	0	0	0	0	0	0	0	0
