Time	Acholeplasmataceae	Akkermansiaceae	Anaerovoracaceae	Bacillaceae	Bacteroidaceae	Beijerinckiaceae	Bifidobacteriaceae	Butyricicoccaceae	Chitinophagaceae	Christensenellaceae	Clostridiaceae	Comamonadaceae	Deferribacteraceae	Desulfovibrionaceae	Eggerthellaceae	Enterobacteriaceae	Enterococcaceae	Erysipelotrichaceae	Flavobacteriaceae	Lachnospiraceae	Lactobacillaceae	Marinifilaceae	Muribaculaceae	Oscillospiraceae	Paenibacillaceae	Peptococcaceae	Peptostreptococcaceae	Prevotellaceae	Rikenellaceae	Ruminiclostridium	Ruminococcaceae	Saccharimonadaceae	Sutterellaceae	Tannerellaceae	UCG-010	[Eubacterium] coprostanoligenes group
1	1.9204916458613405e-4	3.840983291722681e-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9990973689264452	0	0	0	0	5.761474937584022e-5	0	2.880737468792011e-4	3.840983291722681e-5	2.880737468792011e-4	0	0	0	0	0	0	0	0	0	0	0
2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9992854653189265	0	0	6.971070059254095e-5	0	2.788428023701638e-4	0	0	0	3.6598117811084e-4	0	0	0	0	0	0	0	0	0	0	0
3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9997886803085267	0	0	0	0	0.002764421401185082	0	0	0	2.1131969147325044e-4	0	0	0	0	0	0	0	0	0	0	0
4	0	0	0	2.8333333333333335e-4	0	0	0	0	0	0	0	0	0	0	0	0.99415	1.8333333333333334e-4	0	1.3333333333333334e-4	0	0.00525	0	0	0	4.4871301897847764e-4	0	0	0	0	0	0	0	0	0	0	0
5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9980274442538594	0	0	1.5437392795883363e-4	0	0.0011320754716981133	0	0	0	6.861063464837049e-4	0	0	0	0	0	0	0	0	0	0	0
6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.022433536462867e-5	0.995530034152548	0	0	8.370722560771445e-5	0	0.00405142971941338	0	0	0	2.8460456706622914e-4	0	0	0	0	0	0	0	0	0	0	0
7	0	0	0	0	0	1.9619733885064031e-4	0	0	0	0	0	3.388863125601969e-4	0	0	0	0.9902079691791816	0	0	0	0	0.007776549067170835	0	0	0	0.0014803981022366497	0	0	0	0	0	0	0	0	0	0	0
8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8800333333333333	0	0	0	0	0.10921666666666667	0	0	0	0.01075	0	0	0	0	0	0	0	0	0	0	0
9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8133786316776007	0	0	0	0	0.15721649484536082	0	0	0	0.029404873477038424	0	0	0	0	0	0	0	0	0	0	0
10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7289325030364958	0	0	0	0	0.06057568104262662	0	0	0	0.2104918159208776	0	0	0	0	0	0	0	0	0	0	0
11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6210666666666667	0	0	0	0	0.00715	0	0	0	0.37178333333333335	0	0	0	0	0	0	0	0	0	0	0
12	0	0	0	0	0	0	0	0	0	0	0	2e-4	0	0	0	0.4223166666666667	0	0	0	0	0.008716666666666666	0	0	0	0.5687666666666666	0	0	0	0	0	0	0	0	0	0	0
13	0	0	0	0	0	0	0	0	0	0	0	3.3517976219877925e-4	0	0	0	0.37832974632184313	0	0	0	0	0.03995695586211763	0	0	0	0.5813781180538404	0	0	0	0	0	0	0	0	0	0	0
14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.35836165004201836	0	0	0	0	0.015491979977346634	0	0	0	0.626146369980635	0	0	0	0	0	0	0	0	0	0	0
15	0	0	0	0	0	0	0	0	1.1178804985747024e-4	0	0	0	0	0	0	0.42615467739831947	0	0	0	0	0.026027984275147652	0	0	0	0.5477055502766754	0	0	0	0	0	0	0	0	0	0	0
16	0	0	0	0	0	0	0	0	8.333333333333333e-5	0	0	0	0	0	0	0.46673333333333333	0	0	0	0	0.01721666666666667	0	0	0	0.5159666666666667	0	0	0	0	0	0	0	0	0	0	0
17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4251536397472518	0	0	0	0	0.03193975590755648	0	0	0	0.5429066043451918	0	0	0	0	0	0	0	0	0	0	0
18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.42111666666666664	0	0	0	0	0.022566666666666665	0	0	0	0.5562666666666667	0	0	5e-5	0	0	0	0	0	0	0	0
