Time	Acholeplasmataceae	Akkermansiaceae	Bacteroidaceae	Butyricicoccaceae	Chitinophagaceae	Clostridiaceae	Comamonadaceae	Deferribacteraceae	Desulfovibrionaceae	Enterobacteriaceae	Erysipelotrichaceae	Lachnospiraceae	Lactobacillaceae	Marinifilaceae	Muribaculaceae	Oscillospiraceae	Paenibacillaceae	Peptococcaceae	Peptostreptococcaceae	Prevotellaceae	Rikenellaceae	Ruminococcaceae	Saccharimonadaceae	Sutterellaceae	Tannerellaceae	UCG-010
1	2.923235827178298e-4	2.3385886617426383e-4	0	0	0	0	0	0	0	0.9957905404088633	0	2.143706273264085e-4	2.143706273264085e-4	0	0.0012862237639584512	0	0.001714965018611268	7.795295539142128e-5	0	9.744119423927659e-5	7.795295539142128e-5	0	0	0	0	0
2	0	7.668270613269943e-5	0	0	0	0	0	0	0	0.9985238579069455	0	1.34194735732224e-4	2.3218531366320426e-4	0	1.1502405919904913e-4	0	0.0011502405919904914	0	0	0	0	0	0	0	0	0
3	0	0	0	0	0	0	0	0	0	0.9988833333333333	0	0	2.5e-4	0	1.3333333333333334e-4	0	6.833333333333333e-4	0	0	5e-5	0	0	0	0	0	0
4	0	0	0	0	0	0	0	0	0	0.974497188894685	0	5.79609343302614e-5	0.0015456249154736374	0	7.728124577368188e-5	0	0.023821944009737438	0	0	0	0	0	0	0	0	0
5	0	0	0	0	0	0	0	0	0	0.8946281939538511	0	0	0.005894765814945639	0	0	0	0.09947704023120327	0	0	0	0	0	0	0	0	0
6	0	0	0	0	0	0	0	0	0	0.8444658470719317	0	0	8.686948803656073e-4	0	0	0	0.15466545804770268	0	0	0	0	0	0	0	0	0
7	0	0	0	0	5.799454851243983e-5	0	3.4796729107463897e-4	0	0	0.8387364921030757	0	0	0.007210655531713352	0	0	0	0.1536468905256239	0	0	0	0	0	0	0	0	0
8	0	0	0	0	0	0	0	0	0	0.7757243330020641	0	0	0.16042351502178734	0	0	0	0.06385215197614862	0	0	0	0	0	0	0	0	0
9	0	0	0	0	0	0	0	0	0	0.5720537369336315	0	0	0.03237210724454891	0	0	0	0.39557415582181965	0	0	0	0	0	0	0	0	0
10	0	0	0	0	0	0	0	0	0	0.47922189058880005	0	0	0.050802529690467745	0	0	0	0.4699755797207322	0	0	0	0	0	0	0	0	0
11	0	0	0	0	0	0	0	0	0	0.3839086517347387	0	0	0.03227053140096618	0	0	0	0.5838208168642951	0	0	0	0	0	0	0	0	0
12	0	0	0	0	0	0	2.8817257420443785e-4	0	0	0.38788028487917336	0	0	0.018916471120991315	0	0	0	0.5929150714256309	0	0	0	0	0	0	0	0	0
13	0	0	0	0	1.8804454566348383e-4	0	6.268151522116127e-4	0	0	0.38204383527297797	0	0	0.028687240132884814	0	0	0	0.5884540648962621	0	0	0	0	0	0	0	0	0
14	0	0	0	0	0	0	0	0	0	0.3123029682702149	0	0	0.01750255885363357	0	0	0	0.6701944728761515	0	0	0	0	0	0	0	0	0
15	0.0013333333333333333	0	0	0	8.333333333333333e-5	0	0	0	0	0.3975	0	0.0015333333333333334	0.025433333333333332	0	0	0	0.5734333333333334	0	0	0	0	0	0	6.833333333333333e-4	0	0
16	0	0	0	0	0	0	0	0	0	0.3862191059656642	0	0	0.03223927880919658	0	0	0	0.5815416152251391	0	0	0	0	0	0	0	0	0
17	0	0	0	0	0	0	0	0	0	0.43100212175616126	0	0	0.004141504814754366	0	0	0	0.5648563734290843	0	0	0	0	0	0	0	0	0
18	0	0	0	0	0	0	0	0	0	0.3781111489942039	0	0	0.037184623252642345	0	0	0	0.5847042277531538	0	0	0	0	0	0	0	0	0
