Time,Family,Abundance,Abundance.family,Sample
3,A4b,0,0,c_m3
3,Alcaligenaceae,0,0,c_m3
3,Armatimonadaceae,0,0,c_m3
3,Bacillaceae,2051,0.05366581192108431,c_m3
3,Bacteroidetes BD2-2,44,0.0011512899680778692,c_m3
3,Beijerinckiaceae,48,0.0012559526924485844,c_m3
3,Caulobacteraceae,0,0,c_m3
3,Chitinophagaceae,28,7.326390705950076e-4,c_m3
3,Chthoniobacteraceae,74,0.0019362604008582344,c_m3
3,Comamonadaceae,188,0.004919148045423622,c_m3
3,Corynebacteriaceae,16,4.186508974828615e-4,c_m3
3,Devosiaceae,72,0.0018839290386728766,c_m3
3,Dietziaceae,0,0,c_m3
3,Enterobacteriaceae,2215,0.057956983620283634,c_m3
3,Enterococcaceae,306,0.008006698414359725,c_m3
3,Erwiniaceae,75,0.0019624260819509133,c_m3
3,Finegoldia,0,0,c_m3
3,Flavobacteriaceae,0,0,c_m3
3,Gemmataceae,48,0.0012559526924485844,c_m3
3,Hymenobacteraceae,0,0,c_m3
3,Isosphaeraceae,0,0,c_m3
3,Lachnospiraceae,184,0.004814485321052907,c_m3
3,Lactobacillaceae,32113,0.8402585169291956,c_m3
3,Microbacteriaceae,18,4.7098225966821916e-4,c_m3
3,Micrococcaceae,19,4.97147940760898e-4,c_m3
3,Moraxellaceae,132,0.0034538699042336073,c_m3
3,Myxococcaceae,0,0,c_m3
3,Nitrosopumilaceae,0,0,c_m3
3,Nocardiaceae,0,0,c_m3
3,Oxalobacteraceae,20,5.233136218535768e-4,c_m3
3,Paenibacillaceae,0,0,c_m3
3,Pedosphaeraceae,0,0,c_m3
3,Pirellulaceae,39,0.0010204615626144748,c_m3
3,Planococcaceae,0,0,c_m3
3,Propionibacteriaceae,13,3.40153854204825e-4,c_m3
3,Pseudomonadaceae,114,0.002982887644565388,c_m3
3,Rhizobiaceae,51,0.001334449735726621,c_m3
3,Rhodobacteraceae,0,0,c_m3
3,Roseiflexaceae,0,0,c_m3
3,Rubritaleaceae,0,0,c_m3
3,Saccharimonadaceae,0,0,c_m3
3,Sandaracinaceae,0,0,c_m3
3,Saprospiraceae,44,0.0011512899680778692,c_m3
3,Schlesneriaceae,153,0.0040033492071798625,c_m3
3,Selenomonadaceae,0,0,c_m3
3,Silvanigrellaceae,0,0,c_m3
3,Sphingomonadaceae,61,0.0015961065466534093,c_m3
3,Staphylococcaceae,79,0.0020670888063216287,c_m3
3,Terrimicrobiaceae,0,0,c_m3
3,Vagococcaceae,0,0,c_m3
3,Veillonellaceae,0,0,c_m3
3,Verrucomicrobiaceae,13,3.40153854204825e-4,c_m3
3,Vicinamibacteraceae,0,0,c_m3
3,Weeksellaceae,0,0,c_m3
3,Xanthomonadaceae,0,0,c_m3
3,Yersiniaceae,0,0,c_m3
3,NA,0,0,c_m3
4,A4b,0,0,c_m3
4,Alcaligenaceae,0,0,c_m3
4,Armatimonadaceae,0,0,c_m3
4,Bacillaceae,4657,0.07761666666666667,c_m3
4,Bacteroidetes BD2-2,0,0,c_m3
4,Beijerinckiaceae,144,0.0024,c_m3
4,Caulobacteraceae,45,7.5e-4,c_m3
4,Chitinophagaceae,0,0,c_m3
4,Chthoniobacteraceae,0,0,c_m3
4,Comamonadaceae,3709,0.061816666666666666,c_m3
4,Corynebacteriaceae,47,7.833333333333334e-4,c_m3
4,Devosiaceae,0,0,c_m3
4,Dietziaceae,0,0,c_m3
4,Enterobacteriaceae,411,0.00685,c_m3
4,Enterococcaceae,2218,0.03696666666666667,c_m3
4,Erwiniaceae,3,5e-5,c_m3
4,Finegoldia,0,0,c_m3
4,Flavobacteriaceae,102,0.0017,c_m3
4,Gemmataceae,58,9.666666666666667e-4,c_m3
4,Hymenobacteraceae,0,0,c_m3
4,Isosphaeraceae,0,0,c_m3
4,Lachnospiraceae,0,0,c_m3
4,Lactobacillaceae,46677,0.77795,c_m3
