Family,Time,Abundance,Abundance.family,Sample
Bacillaceae,1,0,0,m3
Bacillaceae,2,0,0,m3
Bacillaceae,3,0,0,m3
Bacillaceae,4,0,0,m3
Bacillaceae,5,0,0,m3
Bacillaceae,6,0,0,m3
Bacillaceae,7,0,0,m3
Bacillaceae,8,0,0,m3
Bacillaceae,9,0,0,m3
Bacillaceae,10,11,1.229256299938537e-4,m3
Bacillaceae,11,0,0,m3
Bacillaceae,12,0,0,m3
Bacillaceae,13,0,0,m3
Bacillaceae,17,0,0,m3
Bacillaceae,19,0,0,m3
Enterobacteriaceae,1,89851,0.9983444444444445,m3
Enterobacteriaceae,2,89974,0.9997111111111111,m3
Enterobacteriaceae,3,89966,0.9996222222222222,m3
Enterobacteriaceae,4,89977,0.9997444444444444,m3
Enterobacteriaceae,5,89959,0.9995444444444445,m3
Enterobacteriaceae,6,89978,0.9997555555555555,m3
Enterobacteriaceae,7,89976,0.9997333333333334,m3
Enterobacteriaceae,8,89928,0.9992,m3
Enterobacteriaceae,9,62798,0.6977555555555556,m3
Enterobacteriaceae,10,41106,0.4593619042297592,m3
Enterobacteriaceae,11,47388,0.5265333333333333,m3
Enterobacteriaceae,12,42124,0.4775692987925855,m3
Enterobacteriaceae,13,40875,0.45416666666666666,m3
Enterobacteriaceae,17,35881,0.40173093286757133,m3
Enterobacteriaceae,19,42207,0.46896666666666664,m3
Erysipelotrichaceae,1,0,0,m3
Erysipelotrichaceae,2,0,0,m3
Erysipelotrichaceae,3,0,0,m3
Erysipelotrichaceae,4,0,0,m3
Erysipelotrichaceae,5,0,0,m3
Erysipelotrichaceae,6,0,0,m3
Erysipelotrichaceae,7,0,0,m3
Erysipelotrichaceae,8,0,0,m3
Erysipelotrichaceae,9,0,0,m3
Erysipelotrichaceae,10,0,0,m3
Erysipelotrichaceae,11,62,6.888888888888888e-4,m3
Erysipelotrichaceae,12,165,0.0018706422538404851,m3
Erysipelotrichaceae,13,172,0.001911111111111111,m3
Erysipelotrichaceae,17,233,0.0026087151238299968,m3
Erysipelotrichaceae,19,1486,0.016511111111111112,m3
Lachnospiraceae,1,0,0,m3
Lachnospiraceae,2,0,0,m3
Lachnospiraceae,3,0,0,m3
Lachnospiraceae,4,0,0,m3
Lachnospiraceae,5,0,0,m3
Lachnospiraceae,6,0,0,m3
Lachnospiraceae,7,0,0,m3
Lachnospiraceae,8,0,0,m3
Lachnospiraceae,9,0,0,m3
Lachnospiraceae,10,0,0,m3
Lachnospiraceae,11,0,0,m3
Lachnospiraceae,12,16,1.8139561249362282e-4,m3
Lachnospiraceae,13,64,7.111111111111111e-4,m3
Lachnospiraceae,17,103,0.0011532088315643334,m3
Lachnospiraceae,19,189,0.0021,m3
Muribaculaceae,1,15,1.6666666666666666e-4,m3
Muribaculaceae,2,2,2.2222222222222223e-5,m3
Muribaculaceae,3,1,1.1111111111111112e-5,m3
Muribaculaceae,4,4,4.4444444444444447e-5,m3
Muribaculaceae,5,0,0,m3
Muribaculaceae,6,0,0,m3
Muribaculaceae,7,0,0,m3
Muribaculaceae,8,0,0,m3
Muribaculaceae,9,0,0,m3
Muribaculaceae,10,0,0,m3
Muribaculaceae,11,0,0,m3
Muribaculaceae,12,0,0,m3
Muribaculaceae,13,0,0,m3
Muribaculaceae,17,0,0,m3
Muribaculaceae,19,0,0,m3
Paenibacillaceae,1,134,0.001488888888888889,m3
Paenibacillaceae,2,24,2.666666666666667e-4,m3
Paenibacillaceae,3,33,3.6666666666666667e-4,m3
Paenibacillaceae,4,19,2.111111111111111e-4,m3
Paenibacillaceae,5,32,3.5555555555555557e-4,m3
Paenibacillaceae,6,20,2.2222222222222223e-4,m3
Paenibacillaceae,7,24,2.666666666666667e-4,m3
Paenibacillaceae,8,72,8e-4,m3
Paenibacillaceae,9,27179,0.30198888888888886,m3
Paenibacillaceae,10,47853,0.5347600156450801,m3
Paenibacillaceae,11,41439,0.4604333333333333,m3
Paenibacillaceae,12,43904,0.497749560682501,m3
Paenibacillaceae,13,45587,0.5065222222222222,m3
Paenibacillaceae,17,46096,0.5161001388329078,m3
Paenibacillaceae,19,41606,0.4622888888888889,m3
Ruminococcaceae,1,0,0,m3
Ruminococcaceae,2,0,0,m3
Ruminococcaceae,3,0,0,m3
Ruminococcaceae,4,0,0,m3
Ruminococcaceae,5,9,1e-4,m3
Ruminococcaceae,6,2,2.2222222222222223e-5,m3
Ruminococcaceae,7,0,1e-4,m3
Ruminococcaceae,8,0,1.7777777777777779e-4,m3
Ruminococcaceae,9,23,2.555555555555556e-4,m3
Ruminococcaceae,10,515,0.005755154495166788,m3
Ruminococcaceae,11,1111,0.012344444444444444,m3
Ruminococcaceae,12,1996,0.022629102658579446,m3
Ruminococcaceae,13,3302,0.03668888888888889,m3
Ruminococcaceae,17,7003,0.07840700434412647,m3
Ruminococcaceae,19,4512,0.050133333333333335,m3
