"Time","Depth","Sample","Cohort","Threshold","Below_threshold"
1,93113,"m1","colonized",90000,FALSE
2,96438,"m1","colonized",90000,FALSE
3,96754,"m1","colonized",90000,FALSE
4,73288,"m1","colonized",90000,TRUE
5,83190,"m1","colonized",90000,TRUE
6,101394,"m1","colonized",90000,FALSE
7,131074,"m1","colonized",90000,FALSE
8,101444,"m1","colonized",90000,FALSE
9,104270,"m1","colonized",90000,FALSE
10,79977,"m1","colonized",90000,TRUE
11,93622,"m1","colonized",90000,FALSE
12,78246,"m1","colonized",90000,TRUE
13,88949,"m1","colonized",90000,TRUE
17,105978,"m1","colonized",90000,FALSE
19,121461,"m1","colonized",90000,FALSE
1,86241,"m2","colonized",90000,TRUE
2,142928,"m2","colonized",90000,FALSE
3,99910,"m2","colonized",90000,FALSE
4,101850,"m2","colonized",90000,FALSE
5,104536,"m2","colonized",90000,FALSE
6,122589,"m2","colonized",90000,FALSE
7,100948,"m2","colonized",90000,FALSE
8,125906,"m2","colonized",90000,FALSE
9,109632,"m2","colonized",90000,FALSE
10,111623,"m2","colonized",90000,FALSE
11,93335,"m2","colonized",90000,FALSE
12,114585,"m2","colonized",90000,FALSE
13,103778,"m2","colonized",90000,FALSE
17,69585,"m2","colonized",90000,TRUE
19,84295,"m2","colonized",90000,TRUE
1,106947,"m3","colonized",90000,FALSE
2,102816,"m3","colonized",90000,FALSE
3,101489,"m3","colonized",90000,FALSE
4,122062,"m3","colonized",90000,FALSE
5,120528,"m3","colonized",90000,FALSE
6,102734,"m3","colonized",90000,FALSE
7,110078,"m3","colonized",90000,FALSE
8,133775,"m3","colonized",90000,FALSE
9,100348,"m3","colonized",90000,FALSE
10,89502,"m3","colonized",90000,TRUE
11,98535,"m3","colonized",90000,FALSE
12,88236,"m3","colonized",90000,TRUE
13,107805,"m3","colonized",90000,FALSE
17,89369,"m3","colonized",90000,TRUE
19,110174,"m3","colonized",90000,FALSE
1,100034,"m4","colonized",90000,FALSE
2,115789,"m4","colonized",90000,FALSE
3,130622,"m4","colonized",90000,FALSE
4,140720,"m4","colonized",90000,FALSE
5,123079,"m4","colonized",90000,FALSE
6,114102,"m4","colonized",90000,FALSE
7,109016,"m4","colonized",90000,FALSE
8,118637,"m4","colonized",90000,FALSE
9,77059,"m4","colonized",90000,TRUE
10,87878,"m4","colonized",90000,TRUE
11,97994,"m4","colonized",90000,FALSE
12,116066,"m4","colonized",90000,FALSE
13,79293,"m4","colonized",90000,TRUE
17,110955,"m4","colonized",90000,FALSE
19,86744,"m4","colonized",90000,TRUE
0,102398,"m5","abx_only",60000,FALSE
1,108512,"m5","abx_only",60000,FALSE
2,130097,"m5","abx_only",60000,FALSE
3,122669,"m5","abx_only",60000,FALSE
4,91448,"m5","abx_only",60000,FALSE
5,126262,"m5","abx_only",60000,FALSE
6,138341,"m5","abx_only",60000,FALSE
7,142733,"m5","abx_only",60000,FALSE
8,103141,"m5","abx_only",60000,FALSE
9,112030,"m5","abx_only",60000,FALSE
10,50151,"m5","abx_only",60000,TRUE
11,52071,"m5","abx_only",60000,TRUE
12,56783,"m5","abx_only",60000,TRUE
13,49100,"m5","abx_only",60000,TRUE
14,42101,"m5","abx_only",60000,TRUE
15,54757,"m5","abx_only",60000,TRUE
16,46683,"m5","abx_only",60000,TRUE
17,44309,"m5","abx_only",60000,TRUE
18,51188,"m5","abx_only",60000,TRUE
0,50338,"m6","abx_only",60000,TRUE
