window,species_i,species_j,strength,strength_ji,pair_directional,interaction_type,group,mouse
1,Bacillaceae,Bacillaceae,-0.00745969763071305,-0.00745969763071305,Bacillaceae→Bacillaceae,competition,species-species,c_m1
1,Enterobacteriaceae,Bacillaceae,-0.01376218041342735,-0.01346818005850651,Enterobacteriaceae→Bacillaceae,competition,species-species,c_m1
1,Enterococcaceae,Bacillaceae,-0.0022523499454303,-0.00175822856423702,Enterococcaceae→Bacillaceae,competition,species-species,c_m1
1,Lactobacillaceae,Bacillaceae,0.0022391560422674,0.00222177810513246,Lactobacillaceae→Bacillaceae,mutualism,species-species,c_m1
1,Bacillaceae,Enterobacteriaceae,-0.01346818005850651,-0.01376218041342735,Bacillaceae→Enterobacteriaceae,competition,species-species,c_m1
1,Enterobacteriaceae,Enterobacteriaceae,-0.0248470558702758,-0.0248470558702758,Enterobacteriaceae→Enterobacteriaceae,competition,species-species,c_m1
1,Enterococcaceae,Enterobacteriaceae,-0.00406652603383376,-0.0032437050275935,Enterococcaceae→Enterobacteriaceae,competition,species-species,c_m1
1,Lactobacillaceae,Enterobacteriaceae,0.00404270497937965,0.004098894169054,Lactobacillaceae→Enterobacteriaceae,mutualism,species-species,c_m1
1,Bacillaceae,Enterococcaceae,-0.00175822856423702,-0.0022523499454303,Bacillaceae→Enterococcaceae,competition,species-species,c_m1
1,Enterobacteriaceae,Enterococcaceae,-0.0032437050275935,-0.00406652603383376,Enterobacteriaceae→Enterococcaceae,competition,species-species,c_m1
1,Enterococcaceae,Enterococcaceae,-5.308721890292925e-4,-5.308721890292925e-4,Enterococcaceae→Enterococcaceae,competition,species-species,c_m1
1,Lactobacillaceae,Enterococcaceae,5.27762425260951e-4,6.708344012832326e-4,Lactobacillaceae→Enterococcaceae,mutualism,species-species,c_m1
1,Bacillaceae,Lactobacillaceae,0.00222177810513246,0.0022391560422674,Bacillaceae→Lactobacillaceae,mutualism,species-species,c_m1
1,Enterobacteriaceae,Lactobacillaceae,0.004098894169054,0.00404270497937965,Enterobacteriaceae→Lactobacillaceae,mutualism,species-species,c_m1
1,Enterococcaceae,Lactobacillaceae,6.708344012832326e-4,5.27762425260951e-4,Enterococcaceae→Lactobacillaceae,mutualism,species-species,c_m1
1,Lactobacillaceae,Lactobacillaceae,-6.669047614211736e-4,-6.669047614211736e-4,Lactobacillaceae→Lactobacillaceae,competition,species-species,c_m1
2,Bacillaceae,Bacillaceae,-0.01337062255164575,-0.01337062255164575,Bacillaceae→Bacillaceae,competition,species-species,c_m1
2,Enterobacteriaceae,Bacillaceae,-0.02837511117475667,-0.01871260873445719,Enterobacteriaceae→Bacillaceae,competition,species-species,c_m1
2,Enterococcaceae,Bacillaceae,-0.01028880855104445,0.0059704996916647,Enterococcaceae→Bacillaceae,antagonism,species-species,c_m1
2,Lactobacillaceae,Bacillaceae,0.00423190837307705,0.00366146151465226,Lactobacillaceae→Bacillaceae,mutualism,species-species,c_m1
2,Bacillaceae,Enterobacteriaceae,-0.01871260873445719,-0.02837511117475667,Bacillaceae→Enterobacteriaceae,competition,species-species,c_m1
2,Enterobacteriaceae,Enterobacteriaceae,-0.04007074930940756,-0.04007074930940756,Enterobacteriaceae→Enterobacteriaceae,competition,species-species,c_m1
2,Enterococcaceae,Enterobacteriaceae,-0.01481054581454608,0.01206741242109428,Enterococcaceae→Enterobacteriaceae,antagonism,species-species,c_m1
2,Lactobacillaceae,Enterobacteriaceae,0.00595062794302312,0.00779156020711244,Lactobacillaceae→Enterobacteriaceae,mutualism,species-species,c_m1
2,Bacillaceae,Enterococcaceae,0.0059704996916647,-0.01028880855104445,Bacillaceae→Enterococcaceae,antagonism,species-species,c_m1
2,Enterobacteriaceae,Enterococcaceae,0.01206741242109428,-0.01481054581454608,Enterobacteriaceae→Enterococcaceae,antagonism,species-species,c_m1
2,Enterococcaceae,Enterococcaceae,0.00390353423614999,0.00390353423614999,Enterococcaceae→Enterococcaceae,mutualism,species-species,c_m1
2,Lactobacillaceae,Enterococcaceae,-0.00184275494437318,0.00284182156692314,Lactobacillaceae→Enterococcaceae,antagonism,species-species,c_m1
2,Bacillaceae,Lactobacillaceae,0.00366146151465226,0.00423190837307705,Bacillaceae→Lactobacillaceae,mutualism,species-species,c_m1
2,Enterobacteriaceae,Lactobacillaceae,0.00779156020711244,0.00595062794302312,Enterobacteriaceae→Lactobacillaceae,mutualism,species-species,c_m1
2,Enterococcaceae,Lactobacillaceae,0.00284182156692314,-0.00184275494437318,Enterococcaceae→Lactobacillaceae,antagonism,species-species,c_m1
2,Lactobacillaceae,Lactobacillaceae,-0.0011605330907116,-0.0011605330907116,Lactobacillaceae→Lactobacillaceae,competition,species-species,c_m1
3,Bacillaceae,Bacillaceae,-0.00855626551310734,-0.00855626551310734,Bacillaceae→Bacillaceae,competition,species-species,c_m1
3,Enterobacteriaceae,Bacillaceae,-0.01870485735178981,-0.01312137007727473,Enterobacteriaceae→Bacillaceae,competition,species-species,c_m1
3,Enterococcaceae,Bacillaceae,-0.00721958242525764,0.00514804169977809,Enterococcaceae→Bacillaceae,antagonism,species-species,c_m1
3,Lactobacillaceae,Bacillaceae,0.00274713481065522,0.00252476677169709,Lactobacillaceae→Bacillaceae,mutualism,species-species,c_m1
3,Bacillaceae,Enterobacteriaceae,-0.01312137007727473,-0.01870485735178981,Bacillaceae→Enterobacteriaceae,competition,species-species,c_m1
3,Enterobacteriaceae,Enterobacteriaceae,-0.02648430531316972,-0.02648430531316972,Enterobacteriaceae→Enterobacteriaceae,competition,species-species,c_m1
3,Enterococcaceae,Enterobacteriaceae,-0.00838219546944534,0.00449028241850736,Enterococcaceae→Enterobacteriaceae,antagonism,species-species,c_m1
3,Lactobacillaceae,Enterobacteriaceae,0.00407654612492241,0.005023143420665,Lactobacillaceae→Enterobacteriaceae,mutualism,species-species,c_m1
3,Bacillaceae,Enterococcaceae,0.00514804169977809,-0.00721958242525764,Bacillaceae→Enterococcaceae,antagonism,species-species,c_m1
3,Enterobacteriaceae,Enterococcaceae,0.00449028241850736,-0.00838219546944534,Enterobacteriaceae→Enterococcaceae,antagonism,species-species,c_m1
3,Enterococcaceae,Enterococcaceae,-0.00302223701265897,-0.00302223701265897,Enterococcaceae→Enterococcaceae,competition,species-species,c_m1
3,Lactobacillaceae,Enterococcaceae,-0.00109467539529007,0.00155534255265126,Lactobacillaceae→Enterococcaceae,antagonism,species-species,c_m1
3,Bacillaceae,Lactobacillaceae,0.00252476677169709,0.00274713481065522,Bacillaceae→Lactobacillaceae,mutualism,species-species,c_m1
3,Enterobacteriaceae,Lactobacillaceae,0.005023143420665,0.00407654612492241,Enterobacteriaceae→Lactobacillaceae,mutualism,species-species,c_m1
3,Enterococcaceae,Lactobacillaceae,0.00155534255265126,-0.00109467539529007,Enterococcaceae→Lactobacillaceae,antagonism,species-species,c_m1
3,Lactobacillaceae,Lactobacillaceae,-7.750073725921167e-4,-7.750073725921167e-4,Lactobacillaceae→Lactobacillaceae,competition,species-species,c_m1
4,Bacillaceae,Bacillaceae,-0.00618912963837113,-0.00618912963837113,Bacillaceae→Bacillaceae,competition,species-species,c_m1
4,Enterobacteriaceae,Bacillaceae,-0.01306591963462792,-0.01111791565114335,Enterobacteriaceae→Bacillaceae,competition,species-species,c_m1
4,Enterococcaceae,Bacillaceae,-0.00419029136381286,0.00344953057469202,Enterococcaceae→Bacillaceae,antagonism,species-species,c_m1
4,Lactobacillaceae,Bacillaceae,0.0018519657741823,0.00189955351274195,Lactobacillaceae→Bacillaceae,mutualism,species-species,c_m1
4,Bacillaceae,Enterobacteriaceae,-0.01111791565114335,-0.01306591963462792,Bacillaceae→Enterobacteriaceae,competition,species-species,c_m1
