window,species_i,species_j,strength
1,Bacillaceae,Bacillaceae,-0.007459697630713054
1,Enterobacteriaceae,Bacillaceae,-0.013762180413427357
1,Enterococcaceae,Bacillaceae,-0.0022523499454303033
1,Lactobacillaceae,Bacillaceae,0.0022391560422674096
1,Bacillaceae,Enterobacteriaceae,-0.013468180058506515
1,Enterobacteriaceae,Enterobacteriaceae,-0.024847055870275803
1,Enterococcaceae,Enterobacteriaceae,-0.0040665260338337604
1,Lactobacillaceae,Enterobacteriaceae,0.0040427049793796575
1,Bacillaceae,Enterococcaceae,-0.0017582285642370272
1,Enterobacteriaceae,Enterococcaceae,-0.0032437050275935086
1,Enterococcaceae,Enterococcaceae,-5.308721890292925e-4
1,Lactobacillaceae,Enterococcaceae,5.27762425260951e-4
1,Bacillaceae,Lactobacillaceae,0.00222177810513246
1,Enterobacteriaceae,Lactobacillaceae,0.004098894169054001
1,Enterococcaceae,Lactobacillaceae,6.708344012832326e-4
1,Lactobacillaceae,Lactobacillaceae,-6.669047614211736e-4
2,Bacillaceae,Bacillaceae,-0.01337062255164575
2,Enterobacteriaceae,Bacillaceae,-0.028375111174756676
2,Enterococcaceae,Bacillaceae,-0.01028880855104445
2,Lactobacillaceae,Bacillaceae,0.0042319083730770505
2,Bacillaceae,Enterobacteriaceae,-0.018712608734457195
2,Enterobacteriaceae,Enterobacteriaceae,-0.040070749309407565
2,Enterococcaceae,Enterobacteriaceae,-0.014810545814546081
2,Lactobacillaceae,Enterobacteriaceae,0.005950627943023124
2,Bacillaceae,Enterococcaceae,0.005970499691664708
2,Enterobacteriaceae,Enterococcaceae,0.012067412421094287
2,Enterococcaceae,Enterococcaceae,0.0039035342361499934
2,Lactobacillaceae,Enterococcaceae,-0.0018427549443731815
2,Bacillaceae,Lactobacillaceae,0.0036614615146522657
2,Enterobacteriaceae,Lactobacillaceae,0.007791560207112446
2,Enterococcaceae,Lactobacillaceae,0.0028418215669231434
2,Lactobacillaceae,Lactobacillaceae,-0.0011605330907116093
3,Bacillaceae,Bacillaceae,-0.00855626551310734
3,Enterobacteriaceae,Bacillaceae,-0.018704857351789818
3,Enterococcaceae,Bacillaceae,-0.007219582425257647
3,Lactobacillaceae,Bacillaceae,0.002747134810655229
3,Bacillaceae,Enterobacteriaceae,-0.013121370077274735
