window,rank,R,I,C
1,1,-1.9002333837393732,0,1.9002333837393732
1,2,-4.874739428670564e-17,0,4.874739428670564e-17
1,3,2.2094365368271485e-17,0,2.2094365368271485e-17
1,4,-3.816259832770879e-18,0,3.816259832770879e-18
1,5,1.8068524645951646e-18,0,1.8068524645951646e-18
1,6,2.4526543140437892e-20,0,2.4526543140437892e-20
1,7,0,0,0
2,1,-3.4429315904233593,0,3.4429315904233593
2,2,-0.010967706946728262,0,0.010967706946728262
2,3,8.22094186341516e-17,2.4917584165318236e-17,8.590270375722123e-17
2,4,8.22094186341516e-17,-2.4917584165318236e-17,8.590270375722123e-17
2,5,-1.8738324741796048e-17,0,1.8738324741796048e-17
2,6,9.693137247091467e-18,0,9.693137247091467e-18
2,7,-1.4109510873285254e-20,0,1.4109510873285254e-20
3,1,-2.591390262453062,0,2.591390262453062
3,2,0.026387002744429625,0.06301175567451506,0.06831365359149895
3,3,0.026387002744429625,-0.06301175567451506,0.06831365359149895
3,4,-5.443540276754311e-17,0,5.443540276754311e-17
3,5,3.1198555276276114e-18,1.0880190771655019e-17,1.1318659361464836e-17
3,6,3.1198555276276114e-18,-1.0880190771655019e-17,1.1318659361464836e-17
3,7,-4.937237076476678e-19,0,4.937237076476678e-19
4,1,-1.9439937103689795,0,1.9439937103689795
4,2,-0.11128987314257624,0.14760076768409416,0.18485513919019037
4,3,-0.11128987314257624,-0.14760076768409416,0.18485513919019037
4,4,-6.813170052653284e-4,0,6.813170052653284e-4
4,5,5.2566251617996346e-17,0,5.2566251617996346e-17
4,6,-2.1470117517462987e-17,0,2.1470117517462987e-17
4,7,-9.966251209190193e-20,0,9.966251209190193e-20
5,1,-1.4754923310586183,0,1.4754923310586183
5,2,-0.09464362259858608,0.09298190139183941,0.13267648354182945
5,3,-0.09464362259858608,-0.09298190139183941,0.13267648354182945
5,4,-0.004439677370940001,0.01043526521066534,0.01134043628679951
5,5,-0.004439677370940001,-0.01043526521066534,0.01134043628679951
5,6,3.2042726837750365e-6,0,3.2042726837750365e-6
5,7,1.951222894218853e-17,0,1.951222894218853e-17
