window,lambda_full,lambda_without,delta_lambda,role
1,-1.5755584111740242,-1.575518867921454,-3.9543252570162224e-5,Stabilizing
2,-2.7057698783161515,-2.706440738453823,6.708601376717027e-4,Destabilizing
3,0.026853567812523182,0.017606040717216203,0.00924752709530698,Destabilizing
4,0.09931090246924759,0.10316505750128824,-0.003854155032040646,Stabilizing
5,-1.667916826899722,-1.6653341266889585,-0.0025827002107634556,Stabilizing
6,0.12356693261807959,0.12342395731480997,1.4297530326962127e-4,Destabilizing
7,-1.4833641548990921,4.767436789449015e-8,-1.48336420257346,Stabilizing
8,0.045481798270485485,1.8662725273327837e-4,0.045295171017752205,Destabilizing
9,-1.0113239745343101,6.784054541316353e-4,-1.0120023799884417,Stabilizing
10,-0.2794401238363774,-0.6499559465553346,0.3705158227189572,Destabilizing
11,0.024556420076777313,0.026318625775936973,-0.00176220569915966,Stabilizing
12,-0.5109857217670399,-0.54812962006708,0.03714389830004006,Destabilizing
13,-0.30500563209046067,-0.5315822967763753,0.22657666468591459,Destabilizing
14,-0.32075523155781394,-0.5169562450933831,0.19620101353556918,Destabilizing
15,-0.3062605503308064,-0.5759730251474633,0.2697124748166569,Destabilizing
16,-0.2828197235829142,-0.5919391387638071,0.3091194151808929,Destabilizing
17,-0.2446711172525744,-0.5704338131953994,0.32576269594282503,Destabilizing
