window,species_i,species_j,strength,strength_ji,pair_directional,interaction_type,group,mouse
1,C1,C1,-0.06846390228084244,-0.06846390228084244,C1→C1,competition,C-C,m4
1,C2,C1,0.00627497691290892,0.00626433887553939,C2→C1,mutualism,C-C,m4
1,C3,C1,-0.1270178834854051,-0.1318979932125647,C3→C1,competition,C-C,m4
1,C4,C1,-0.13764021706693727,-0.1404873166529276,C4→C1,competition,C-C,m4
1,C5,C1,-0.1560140615764735,-0.1564151512936085,C5→C1,competition,C-C,m4
1,C6,C1,-0.09698342286152532,-0.09998458984523208,C6→C1,competition,C-C,m4
1,C7,C1,-0.21200488255861308,-0.22135869836505473,C7→C1,competition,C-C,m4
1,C8,C1,-0.01117909174730905,-0.01717112714193525,C8→C1,competition,C-C,m4
1,C9,C1,-0.1672606843754317,-0.1761297270472895,C9→C1,competition,C-C,m4
1,C10,C1,0.03947018386224536,0.03343219262381426,C10→C1,mutualism,C-C,m4
1,C11,C1,-0.19975669192859444,-0.20774585038753807,C11→C1,competition,C-C,m4
1,C12,C1,-0.19570663432872337,-0.2053371445286291,C12→C1,competition,C-C,m4
1,C13,C1,-0.2386006790946241,-0.25124617216410655,C13→C1,competition,C-C,m4
1,C14,C1,-0.21274860252104807,-0.2243307985295323,C14→C1,competition,C-C,m4
1,Enterobacteriaceae,C1,-2.2434643211920272e-5,-2.4242721918174785e-5,Enterobacteriaceae→C1,competition,other,m4
1,Paenibacillaceae,C1,0.02588858644055559,0.02849652913134059,Paenibacillaceae→C1,mutualism,C-focal,m4
1,C1,C2,0.00626433887553939,0.00627497691290892,C1→C2,mutualism,C-C,m4
1,C2,C2,-5.74150472133501e-4,-5.74150472133501e-4,C2→C2,competition,C-C,m4
1,C3,C2,0.01162193563174975,0.01208895249459739,C3→C2,mutualism,C-C,m4
1,C4,C2,0.01259386236959156,0.01287619664063938,C4→C2,mutualism,C-C,m4
1,C5,C2,0.01427504010880452,0.01433604323589942,C5→C2,mutualism,C-C,m4
1,C6,C2,0.00887382994358371,0.00916396775561914,C6→C2,mutualism,C-C,m4
1,C7,C2,0.0193981117548379,0.02028836621106485,C7→C2,mutualism,C-C,m4
1,C8,C2,0.00102286923024961,0.00157379907943719,C8→C2,mutualism,C-C,m4
1,C9,C2,0.01530408832357092,0.01614295904964728,C9→C2,mutualism,C-C,m4
1,C10,C2,-0.00361145945462909,-0.00306418754808635,C10→C2,competition,C-C,m4
1,C11,C2,0.01827742166615575,0.01904069694401873,C11→C2,mutualism,C-C,m4
1,C12,C2,0.01790684779546149,0.01881992989523671,C12→C2,mutualism,C-C,m4
1,C13,C2,0.02183158511256512,0.02302766680343992,C13→C2,mutualism,C-C,m4
1,C14,C2,0.01946616095621245,0.02056077048972322,C14→C2,mutualism,C-C,m4
1,Enterobacteriaceae,C2,2.052734403814629e-6,2.2219376236926083e-6,Enterobacteriaceae→C2,mutualism,other,m4
