window,species_i,species_j,strength,strength_ji,pair_directional,interaction_type,group,mouse
3,C12,C7,-1.274065816924518,-0.7538381020043547,C12→C7,competition,C-C,m4
3,C13,C7,-1.27852626576045,-1.0351441233086025,C13→C7,competition,C-C,m4
3,C12,C13,-1.2762093127391063,-0.7645202439555482,C12→C13,competition,C-C,m4
3,C13,C13,-1.3248578066936418,-1.3248578066936418,C13→C13,competition,C-C,m4
3,C12,C14,-1.3277344132432662,-0.6789235617069721,C12→C14,competition,C-C,m4
3,C13,C14,-1.3361244860584869,-1.087888672669295,C13→C14,competition,C-C,m4
4,C8,C4,0.8973587309073411,-0.1743713692473836,C8→C4,antagonism,C-C,m4
4,C13,C4,-1.2314256505310397,-0.31239577860676204,C13→C4,competition,C-C,m4
4,C13,C7,-1.1814764465118472,-0.7501685819071022,C13→C7,competition,C-C,m4
4,C13,C14,-1.136435704755122,-0.7941012129647328,C13→C14,competition,C-C,m4
5,C13,C4,-1.1785915530302278,-0.17907813502821007,C13→C4,competition,C-C,m4
7,Paenibacillaceae,C1,0.6065917352246221,-0.07592879712780422,Paenibacillaceae→C1,antagonism,C-focal,m4
17,C4,C1,-0.4613396258578006,0.06371559173614808,C4→C1,antagonism,C-C,m4
