window,rank,R,I,C
1,1,-0.09167391335408254,0,0.09167391335408254
1,2,-0.02872976600399541,0,0.02872976600399541
1,3,2.3551593120499935e-05,0,2.3551593120499935e-05
1,4,1.5487548143705418e-17,0,1.5487548143705418e-17
1,5,-3.1309221805228965e-18,3.492606947333445e-18,4.6905199060500844e-18
1,6,-3.1309221805228965e-18,-3.492606947333445e-18,4.6905199060500844e-18
1,7,3.783848014206126e-20,1.1157142657564744e-19,1.178131308793135e-19
1,8,3.783848014206126e-20,-1.1157142657564744e-19,1.178131308793135e-19
1,9,-4.004328203796981e-20,0,4.004328203796981e-20
1,10,3.330210919960605e-24,0,3.330210919960605e-24
2,1,-0.017895729548773723,0.15494904136481416,0.15597904524633346
2,2,-0.017895729548773723,-0.15494904136481416,0.15597904524633346
2,3,-0.007007475123554765,0,0.007007475123554765
2,4,-0.0032319632358394934,0,0.0032319632358394934
2,5,2.4584238886181517e-5,0,2.4584238886181517e-5
2,6,2.3065169289217098e-17,0,2.3065169289217098e-17
2,7,-7.30187743308215e-18,0,7.30187743308215e-18
2,8,-2.4739436046343448e-18,0,2.4739436046343448e-18
2,9,8.732952499255866e-20,0,8.732952499255866e-20
2,10,1.217193876858037e-21,0,1.217193876858037e-21
3,1,0.2612879240811069,0.37555901068952874,0.4575106007304222
3,2,0.2612879240811069,-0.37555901068952874,0.4575106007304222
3,3,-0.04355933716486703,0,0.04355933716486703
3,4,-0.0010569514303121826,0.0014237325931720803,0.0017731781700944394
3,5,-0.0010569514303121826,-0.0014237325931720803,0.0017731781700944394
3,6,5.709095169905956e-6,0,5.709095169905956e-6
3,7,-1.1150336354574801e-8,0,1.1150336354574801e-8
3,8,1.9426607907597812e-18,1.9302932059968324e-17,1.940044115631674e-17
3,9,1.9426607907597812e-18,-1.9302932059968324e-17,1.940044115631674e-17
3,10,-2.4727802676485993e-19,0,2.4727802676485993e-19
4,1,0.07821923663811992,0.6031511115652956,0.60820186810195
4,2,0.07821923663811992,-0.6031511115652956,0.60820186810195
4,3,-0.032497395586175856,0.010061904854897174,0.03401944516292712
4,4,-0.032497395586175856,-0.010061904854897174,0.03401944516292712
4,5,-4.0322478903831064e-4,8.73710056144506e-4,9.622678903003187e-4
4,6,-4.0322478903831064e-4,-8.73710056144506e-4,9.622678903003187e-4
4,7,1.2307947066987645e-7,0,1.2307947066987645e-7
4,8,-1.1941804347033082e-8,0,1.1941804347033082e-8
4,9,-3.878303140178126e-17,0,3.878303140178126e-17
4,10,-1.5434069039785212e-19,0,1.5434069039785212e-19
5,1,-0.07374159046405897,0.5577049867089365,0.5625590407807736
5,2,-0.07374159046405897,-0.5577049867089365,0.5625590407807736
5,3,-0.047422232711819404,0.034265294584575334,0.05850622674845543
5,4,-0.047422232711819404,-0.034265294584575334,0.05850622674845543
5,5,-0.0020538665565623462,0.0012477200807498457,0.002403159010983599
5,6,-0.0020538665565623462,-0.0012477200807498457,0.002403159010983599
5,7,-4.082061723718344e-5,0,4.082061723718344e-5
5,8,1.0073162354835923e-7,0,1.0073162354835923e-7
5,9,-8.96891488331298e-9,0,8.96891488331298e-9
5,10,-5.851988012688686e-18,0,5.851988012688686e-18
6,1,-0.10583336106203234,0.5110048565948064,0.5218492730445882
6,2,-0.10583336106203234,-0.5110048565948064,0.5218492730445882
6,3,0.1265369597333439,0,0.1265369597333439
6,4,-0.04249658233259869,0.019214336259264823,0.04663850584908824
6,5,-0.04249658233259869,-0.019214336259264823,0.04663850584908824
6,6,2.717842832824965e-4,0,2.717842832824965e-4
6,7,-2.448450639537438e-4,0,2.448450639537438e-4
6,8,-3.47088512897295e-5,0,3.47088512897295e-5
6,9,-1.4558858049046908e-6,0,1.4558858049046908e-6
6,10,1.2116347517253399e-9,0,1.2116347517253399e-9
7,1,-0.10912090679583498,0.4801125240794878,0.4923569925144986
7,2,-0.10912090679583498,-0.4801125240794878,0.4923569925144986
