window,species_i,species_j,strength
1,C1,C1,-0.007337502571496574
1,C2,C1,0.0037543978480063162
1,C3,C1,-0.017572210464034066
1,C4,C1,0.015420474553281726
1,C5,C1,0.03283635300994949
1,C6,C1,-0.00401193424527822
1,C7,C1,3.8724916497425885e-4
1,Enterobacteriaceae,C1,9.6418908924078e-6
1,Lactobacillaceae,C1,0.021433269556707765
1,Paenibacillaceae,C1,-0.005888856202613208
1,C1,C2,3.5228614022830493e-4
1,C2,C2,-1.6625362282385187e-4
1,C3,C2,8.008813319741942e-4
1,C4,C2,-6.709762763095861e-4
1,C5,C2,-0.0014192816605860356
1,C6,C2,1.8375952364412153e-4
1,C7,C2,-2.7781431410442096e-5
1,Enterobacteriaceae,C2,1.354692188120943e-7
1,Lactobacillaceae,C2,4.0594716333515615e-4
1,Paenibacillaceae,C2,-1.0418490081306386e-4
1,C1,C3,9.834209304222072e-4
1,C2,C3,-5.82149323519832e-4
1,C3,C3,0.0025964587150042657
1,C4,C3,-0.0024580570035867243
1,C5,C3,-0.005287731680486473
1,C6,C3,5.876731674885658e-4
1,C7,C3,-8.167853734280106e-8
1,Enterobacteriaceae,C3,-4.66684598523368e-6
1,Lactobacillaceae,C3,-0.010965137582594485
1,Paenibacillaceae,C3,0.002971253629678998
1,C1,C4,0.006198465366311701
1,C2,C4,-0.0031360587366683515
1,C3,C4,0.014735817838456082
1,C4,C4,-0.012850624863691857
1,C5,C4,-0.027340024925438685
1,C6,C4,0.0033666607764328434
1,C7,C4,-3.5044908859865534e-4
1,Enterobacteriaceae,C4,-6.626863844346247e-6
1,Lactobacillaceae,C4,-0.01446514489809543
1,Paenibacillaceae,C4,0.003992992238929685
1,C1,C5,0.0017974061939230424
1,C2,C5,-7.942209469731139e-4
1,C3,C5,0.003921083740897185
1,C4,C5,-0.0031556694148769456
1,C5,C5,-0.006634600211617631
1,C6,C5,9.033753215939089e-4
1,C7,C5,-1.7719986821882722e-4
1,Enterobacteriaceae,C5,3.0000910888366785e-6
1,Lactobacillaceae,C5,0.007608148185206272
1,Paenibacillaceae,C5,-0.002024498353041912
1,C1,C6,0.0015236718865367996
1,C2,C6,-8.034783022476808e-4
1,C3,C6,0.0037218760199386938
1,C4,C6,-0.0033203747583140826
1,C5,C6,-0.007086583500583166
1,C6,C6,8.481970470009385e-4
1,C7,C6,-6.47571830202042e-5
1,Enterobacteriaceae,C6,-3.0218033577904925e-6
1,Lactobacillaceae,C6,-0.006895848678070876
1,Paenibacillaceae,C6,0.0018821311166123487
1,C1,C7,3.2511731451859416e-5
1,C2,C7,-1.4352797257577135e-5
1,C3,C7,7.088482123668381e-5
1,C4,C7,-5.701486342238379e-5
1,C5,C7,-1.1985953236390397e-4
1,C6,C7,1.6332036491285134e-5
1,C7,C7,-3.213866089412149e-6
1,Enterobacteriaceae,C7,5.4829385317550363e-8
1,Lactobacillaceae,C7,1.3896813059827682e-4
1,Paenibacillaceae,C7,-3.698364891855184e-5
1,C1,Enterobacteriaceae,5.937774472013847e-6
1,C2,Enterobacteriaceae,-3.0463217333209013e-6
1,C3,Enterobacteriaceae,1.4244907960559332e-5
1,C4,Enterobacteriaceae,-1.2519080920856233e-5
1,C5,Enterobacteriaceae,-2.6663637139562862e-5
1,C6,Enterobacteriaceae,3.2517457610029384e-6
1,C7,Enterobacteriaceae,-3.080430670916501e-7
1,Enterobacteriaceae,Enterobacteriaceae,-8.547414452541111e-9
1,Lactobacillaceae,Enterobacteriaceae,-1.9986303447618756e-5
1,Paenibacillaceae,Enterobacteriaceae,5.422149921995875e-6
1,C1,Lactobacillaceae,0.02701727368457317
1,C2,Lactobacillaceae,-0.01386096901933701
1,C3,Lactobacillaceae,0.06481529044188476
1,C4,Lactobacillaceae,-0.05696266119776979
1,C5,Lactobacillaceae,-0.12132134445675517
1,C6,Lactobacillaceae,0.014795662178100685
1,C7,Lactobacillaceae,-0.001401616698221918
