window,species_i,species_j,strength,strength_ji,pair_directional,interaction_type,group,mouse,lag_strength,delta_strength
3,C2,C2,0.23441786665379877,0.23441786665379877,C2→C2,mutualism,C-C,m8,-0.00706333168018644,0.2414811983339852
5,C2,C2,0.00752794748739363,0.00752794748739363,C2→C2,mutualism,C-C,m8,0.14002159668301462,-0.13249364919562098
6,C2,C2,-0.05353771152562111,-0.05353771152562111,C2→C2,competition,C-C,m8,0.00752794748739363,-0.06106565901301474
3,C2,C3,0.3662843884870654,0.24953799973467145,C2→C3,mutualism,C-C,m8,0.00217809929248673,0.36410628919457866
5,C2,C3,0.12644637700199113,-0.275112321474017,C2→C3,antagonism,C-C,m8,0.2445771424001021,-0.11813076539811096
3,C2,C4,0.19178720899497723,0.09356668656285072,C2→C4,mutualism,C-C,m8,0.0058659151362512,0.18592129385872602
2,C2,C7,-0.09634975453757888,0.0390409541941889,C2→C7,antagonism,C-C,m8,6.944555049036679e-6,-0.09635669909262792
2,C2,Lactobacillaceae,0.04989444131872658,-0.02203074050545572,C2→Lactobacillaceae,antagonism,other,m8,-9.165596032475936e-5,0.04998609727905134
3,C2,Lactobacillaceae,0.3519491314139328,-0.01116767789427498,C2→Lactobacillaceae,antagonism,other,m8,0.04989444131872658,0.30205469009520625
6,C2,Lactobacillaceae,0.08267500538555574,0.05938749970723806,C2→Lactobacillaceae,mutualism,other,m8,0.18370353358888236,-0.10102852820332663
7,C2,Lactobacillaceae,0.01494873509933039,-0.09959832324771883,C2→Lactobacillaceae,antagonism,other,m8,0.08267500538555574,-0.06772627028622534
8,C2,Lactobacillaceae,-0.02430645414346897,-0.098873913822851,C2→Lactobacillaceae,competition,other,m8,0.01494873509933039,-0.03925518924279936
2,C2,Paenibacillaceae,0.09586221526246289,-0.05117644009636298,C2→Paenibacillaceae,antagonism,C-focal,m8,6.475851826473902e-4,0.0952146300798155
3,C2,Paenibacillaceae,0.5778378375294398,-0.05840654062911497,C2→Paenibacillaceae,antagonism,C-focal,m8,0.09586221526246289,0.481975622266977
5,C2,Paenibacillaceae,0.23965572243391045,-0.2759296444427517,C2→Paenibacillaceae,antagonism,C-focal,m8,0.403418048840115,-0.16376232640620456
6,C2,Paenibacillaceae,0.16221429666348663,-0.3621105592192032,C2→Paenibacillaceae,antagonism,C-focal,m8,0.23965572243391045,-0.07744142577042382
7,C2,Paenibacillaceae,0.11141377568925498,-0.24618221831334453,C2→Paenibacillaceae,antagonism,C-focal,m8,0.16221429666348663,-0.050800520974231655
8,C2,Paenibacillaceae,0.05819828442621599,-0.24461470827963736,C2→Paenibacillaceae,antagonism,C-focal,m8,0.11141377568925498,-0.05321549126303899
3,C3,C2,0.24953799973467145,0.3662843884870654,C3→C2,mutualism,C-C,m8,-0.01885289014204983,0.2683908898767213
4,C3,C2,-0.1046336327782362,0.2445771424001021,C3→C2,antagonism,C-C,m8,0.24953799973467145,-0.3541716325129076
5,C3,C2,-0.275112321474017,0.12644637700199113,C3→C2,antagonism,C-C,m8,-0.1046336327782362,-0.17047868869578078
3,C3,C3,0.40100220318242774,0.40100220318242774,C3→C3,mutualism,C-C,m8,-0.00894643778964503,0.4099486409720728
4,C3,C3,-0.0084964115340094,-0.0084964115340094,C3→C3,competition,C-C,m8,0.40100220318242774,-0.4094986147164371
5,C3,C3,-0.13504385830945126,-0.13504385830945126,C3→C3,competition,C-C,m8,-0.0084964115340094,-0.12654744677544186
3,C3,C4,0.21712111201219725,0.15297658731793304,C3→C4,mutualism,C-C,m8,0.00700510661388469,0.21011600539831254
3,C3,C6,-0.1776654228226715,-0.08218172845321868,C3→C6,competition,C-C,m8,-0.01134837377123661,-0.1663170490514349
2,C3,C7,-0.1901784868211716,0.06200389466796083,C3→C7,antagonism,C-C,m8,0.00446166110009634,-0.19464014792126794
3,C3,C7,-0.379847710576409,0.6453445771354163,C3→C7,antagonism,C-C,m8,-0.1901784868211716,-0.18966922375523737
6,C3,C7,-0.315196705086998,0.2048089575317159,C3→C7,antagonism,C-C,m8,-0.377816404086411,0.062619698999413
7,C3,C7,-0.2628061563050596,0.17113187697026824,C3→C7,antagonism,C-C,m8,-0.315196705086998,0.052390548781938384
8,C3,C7,-0.22009493093308732,0.14916913239849883,C3→C7,antagonism,C-C,m8,-0.2628061563050596,0.04271122537197228
11,C3,C7,-0.12109244780648352,0.1146450828424141,C3→C7,antagonism,C-C,m8,-0.15215433197296935,0.031061884166485823
12,C3,C7,-0.09245846262098362,0.10709738926651118,C3→C7,antagonism,C-C,m8,-0.12109244780648352,0.028633985185499908
2,C3,Lactobacillaceae,0.0930503966077666,-0.02481195765804679,C3→Lactobacillaceae,antagonism,other,m8,0.0010120986657398,0.0920382979420268
3,C3,Lactobacillaceae,0.43711152244673895,-0.00562756325967004,C3→Lactobacillaceae,antagonism,other,m8,0.0930503966077666,0.34406112583897236
5,C3,Lactobacillaceae,0.15300932335448508,-0.22911429391523125,C3→Lactobacillaceae,antagonism,other,m8,0.2506540255898088,-0.09764470223532373
