Sample,Cohort,Time_int,n_detected,mean_freq,median_freq,max_freq,frac_above_1pct
m1,colonized,1,647,0.0015455950540958269,5.711149477344156e-7,0.4404846824115443,0.017001545595054096
m1,colonized,2,15978,6.258605582676179e-5,5.4579873153611256e-5,0.0025224192010611986,0
m1,colonized,3,18531,5.3963628514381306e-5,4.8290797189475606e-5,0.002443056407814117,0
m1,colonized,4,10133,9.868745682423764e-5,7.390458622300266e-7,0.019755065420339724,3.947498272969506e-4
m1,colonized,5,3285,3.0441400304414006e-4,1.761266037905768e-5,0.05567195788646746,0.0027397260273972603
m1,colonized,6,2634,3.7965072133637056e-4,5.2108828982808075e-6,0.1735009439361109,0.004176157934700076
m1,colonized,7,2119,4.719207173194903e-4,8.751736344490747e-6,0.25237907200788634,0.004719207173194903
m1,colonized,8,1703,5.871990604815032e-4,1.2779848907528696e-5,0.25284259579958857,0.005871990604815032
m1,colonized,9,1585,6.309148264984228e-4,1.4909881237061377e-5,0.26039832321181783,0.006309148264984227
m1,colonized,10,1350,7.407407407407407e-4,1.685659554756628e-5,0.2802683210403801,0.006666666666666667
m1,colonized,11,1168,8.561643835616438e-4,1.988067239157408e-5,0.2929847370903628,0.00684931506849315
m1,colonized,12,1278,7.82472613458529e-4,1.2918658009805942e-5,0.2890014851923849,0.00782472613458529
m1,colonized,13,1018,9.823182711198428e-4,1.770904979879673e-5,0.27962273399267923,0.009823182711198428
m1,colonized,17,942,0.0010615711252653928,2.772232313067835e-5,0.2663841629928588,0.01167728237791932
m1,colonized,19,1119,8.936550491510277e-4,1.859977581070223e-5,0.22382970210599062,0.012511170688114389
m2,colonized,1,702,0.0014245014245014246,2.241640809339931e-7,0.2112582823023803,0.029914529914529916
m2,colonized,2,30688,3.258602711157456e-5,2.0356396598486043e-5,0.0018320756938637439,0
m2,colonized,3,12932,7.732755954222085e-5,6.0772618118963796e-5,0.002152973057649943,0
m2,colonized,4,30612,3.266692800209068e-5,1.5260228167929554e-5,0.017057933079646634,1.3066771200836272e-4
m2,colonized,5,4747,2.106593638087213e-4,4.924468502114566e-7,0.23601918769907165,0.0021065936380872128
m2,colonized,6,11652,8.582217645039479e-5,9.871720935136278e-7,0.06147890620542301,0.001201510470305527
m2,colonized,7,1274,7.849293563579278e-4,1.0218060990470711e-5,0.3518585517601556,0.006279434850863423
m2,colonized,8,1231,8.123476848090983e-4,1.1164452383610585e-5,0.43846387520738617,0.006498781478472786
m2,colonized,9,1021,9.794319294809011e-4,1.5930935796016186e-5,0.5033965012067684,0.005876591576885406
m2,colonized,10,828,0.0012077294685990338,1.4417086306857383e-5,0.5325636374602979,0.006038647342995169
m2,colonized,11,916,0.001091703056768559,1.352371882337952e-5,0.5410536210706183,0.0054585152838427945
m2,colonized,12,942,0.0010615711252653928,1.5059264930387203e-5,0.4506955632447445,0.008492569002123142
m2,colonized,13,759,0.0013175230566534915,2.72585627323111e-5,0.40178903398924704,0.011857707509881422
m2,colonized,17,1220,8.19672131147541e-4,6.3985017797763654e-6,0.3088678159993875,0.00819672131147541
m2,colonized,19,1083,9.233610341643582e-4,1.2415664771208511e-5,0.2977276412135801,0.009233610341643583
m3,colonized,1,29548,3.384323812102342e-5,2.2034050145439226e-5,0.0022419646022984415,0
m3,colonized,2,31409,3.183800821420612e-5,2.078700733388091e-5,0.0021244883306235315,0
m3,colonized,3,20806,4.806305873305777e-5,3.8675412213457905e-5,0.0027155833913069063,0
m3,colonized,4,15152,6.599788806758183e-5,3.448274660998028e-5,0.017233362161838326,3.299894403379092e-4
m3,colonized,5,11243,8.894423196655697e-5,8.745694658501395e-7,0.03518043133328771,0.0011562750155652405
m3,colonized,6,2402,4.1631973355537054e-4,6.72788498334033e-6,0.06329655354917339,0.00749375520399667
m3,colonized,7,1924,5.197505197505198e-4,2.46638873232061e-5,0.06285176723181646,0.009875259875259876
m3,colonized,8,1659,6.027727546714888e-4,3.68195144486132e-5,0.09507964140441813,0.011452682338758288
m3,colonized,9,1348,7.41839762611276e-4,4.380862295615035e-5,0.1619370322002634,0.011869436201780416
m3,colonized,10,1348,7.41839762611276e-4,3.662787330049507e-5,0.19677203379531777,0.01112759643916914
m3,colonized,11,1261,7.930214115781126e-4,4.005974911580622e-5,0.2090277649113653,0.012688342585249802
m3,colonized,12,1383,7.230657989877079e-4,3.5462191747853415e-5,0.20397096166607998,0.012292118582791034
m3,colonized,13,1901,5.260389268805891e-4,2.0032823781766426e-6,0.21770270588359025,0.009468700683850605
m3,colonized,17,1333,7.501875468867217e-4,2.373106696878507e-5,0.3026268575635628,0.014253563390847712
m3,colonized,19,1388,7.204610951008645e-4,2.3849664027474813e-5,0.2577653736729457,0.01440922190201729
m4,colonized,1,414,0.0024154589371980675,5.679550664242382e-7,0.3816035188981369,0.033816425120772944
m4,colonized,2,32621,3.06550994757978e-5,1.9193623529288596e-5,0.0020360197011328476,0
m4,colonized,3,15137,6.606328863050802e-5,5.956932848948391e-5,0.004467910129038111,0
m4,colonized,4,10379,9.634839579920994e-5,3.310218823237203e-5,0.03976994645665513,7.707871663936795e-4
m4,colonized,5,5536,1.80635838150289e-4,2.563319917311243e-6,0.09129520217495724,0.0023482658959537574
m4,colonized,6,3184,3.14070351758794e-4,8.909408246013708e-7,0.3116522141215903,0.00314070351758794
m4,colonized,7,1642,6.090133982947626e-4,5.7613324809762e-6,0.3702772377195398,0.004263093788063338
m4,colonized,8,1330,7.518796992481203e-4,1.1786884107092117e-5,0.36655579472062955,0.005263157894736842
m4,colonized,9,1124,8.896797153024911e-4,1.1074011804404406e-5,0.37776407334637935,0.0071174377224199285
m4,colonized,10,1060,9.433962264150943e-4,8.731430597888068e-6,0.35252009236510273,0.006603773584905661
m4,colonized,11,822,0.0012165450121654502,1.728780601145421e-5,0.33022659934103493,0.00851581508515815
m4,colonized,12,997,0.0010030090270812437,9.577228434183885e-6,0.2916207660474638,0.007021063189568706
m4,colonized,13,1000,0.001,8.610034519147805e-6,0.24821088547418296,0.007
m4,colonized,17,1077,9.285051067780873e-4,6.3963045641121955e-06,0.35346734948187025,0.005571030640668524
m4,colonized,19,1069,9.354536950420954e-4,6.8640775366198535e-6,0.3887724947999077,0.005612722170252572
m5,colonized_2,1,181,0.0055248618784530384,2.548744743213967e-4,0.29221358480948134,0.04419889502762431
m5,colonized_2,2,95123,1.0512704603513346e-5,3.609681276250019e-6,0.003960098027836752,0
m5,colonized_2,3,65037,1.537586297030921e-5,6.702253398126251e-6,0.003331019938868747,0
