"Time","Depth","N_barcodes","Sample","Cohort"
1,3501922,27917,"m1","colonized"
2,5789680,27917,"m1","colonized"
3,4804228,27917,"m1","colonized"
4,2706192,27917,"m1","colonized"
5,3009199,27917,"m1","colonized"
6,3262403,27917,"m1","colonized"
7,2856576,27917,"m1","colonized"
8,4616643,27917,"m1","colonized"
9,4359525,27917,"m1","colonized"
10,4449297,27917,"m1","colonized"
11,3671908,27917,"m1","colonized"
12,4412223,27917,"m1","colonized"
13,3162225,27917,"m1","colonized"
17,2777545,27917,"m1","colonized"
19,2419384,27917,"m1","colonized"
1,4461018,51391,"m2","colonized"
2,2505355,51391,"m2","colonized"
3,3759917,51391,"m2","colonized"
4,3997319,51391,"m2","colonized"
5,4061352,51391,"m2","colonized"
6,5064973,51391,"m2","colonized"
7,2642380,51391,"m2","colonized"
8,3851510,51391,"m2","colonized"
9,3891799,51391,"m2","colonized"
10,3398745,51391,"m2","colonized"
11,4214817,51391,"m2","colonized"
12,3718641,51391,"m2","colonized"
13,1834286,51391,"m2","colonized"
17,4532311,51391,"m2","colonized"
19,1369238,51391,"m2","colonized"
1,3449207,57865,"m3","colonized"
2,3559916,57865,"m3","colonized"
3,4214564,57865,"m3","colonized"
4,2871001,57865,"m3","colonized"
5,4573679,57865,"m3","colonized"
6,4904959,57865,"m3","colonized"
7,4277509,57865,"m3","colonized"
8,3775172,57865,"m3","colonized"
9,3241371,57865,"m3","colonized"
10,3521908,57865,"m3","colonized"
11,3994034,57865,"m3","colonized"
12,4229857,57865,"m3","colonized"
13,3993446,57865,"m3","colonized"
17,3497525,57865,"m3","colonized"
19,3899426,57865,"m3","colonized"
1,5282108,41992,"m4","colonized"
2,4011749,41992,"m4","colonized"
3,4750767,41992,"m4","colonized"
4,4501213,41992,"m4","colonized"
5,5071548,41992,"m4","colonized"
6,4489636,41992,"m4","colonized"
7,4165703,41992,"m4","colonized"
8,3987483,41992,"m4","colonized"
9,4063568,41992,"m4","colonized"
10,4466622,41992,"m4","colonized"
11,4338318,41992,"m4","colonized"
12,4280988,41992,"m4","colonized"
13,4936101,41992,"m4","colonized"
17,3439486,41992,"m4","colonized"
19,4516266,41992,"m4","colonized"
1,15694,124158,"m5","abx_only"
2,3601426,124158,"m5","abx_only"
3,2984071,124158,"m5","abx_only"
4,3948966,124158,"m5","abx_only"
5,2988368,124158,"m5","abx_only"
6,3093371,124158,"m5","abx_only"
7,614271,124158,"m5","abx_only"
8,3178715,124158,"m5","abx_only"
9,3080303,124158,"m5","abx_only"
10,2585662,124158,"m5","abx_only"
11,2889735,124158,"m5","abx_only"
12,2714610,124158,"m5","abx_only"
13,2819929,124158,"m5","abx_only"
14,2692641,124158,"m5","abx_only"
15,3194016,124158,"m5","abx_only"
16,2116841,124158,"m5","abx_only"
17,3334596,124158,"m5","abx_only"
18,3251773,124158,"m5","abx_only"
2,3693589,90447,"m6","abx_only"
3,3336753,90447,"m6","abx_only"
4,3012450,90447,"m6","abx_only"
5,2515633,90447,"m6","abx_only"
6,4098938,90447,"m6","abx_only"
7,2611326,90447,"m6","abx_only"
8,2534884,90447,"m6","abx_only"
9,2816766,90447,"m6","abx_only"
10,3222486,90447,"m6","abx_only"
11,2401274,90447,"m6","abx_only"
12,2989662,90447,"m6","abx_only"
13,3111082,90447,"m6","abx_only"
15,3163440,90447,"m6","abx_only"
16,2951552,90447,"m6","abx_only"
17,2454590,90447,"m6","abx_only"
18,3300298,90447,"m6","abx_only"
2,3602213,101235,"m7","abx_only"
3,3236021,101235,"m7","abx_only"
4,2672089,101235,"m7","abx_only"
5,3976980,101235,"m7","abx_only"
6,3181453,101235,"m7","abx_only"
7,2868720,101235,"m7","abx_only"
8,2312316,101235,"m7","abx_only"
9,2444094,101235,"m7","abx_only"
10,2215929,101235,"m7","abx_only"
11,2803878,101235,"m7","abx_only"
12,2523024,101235,"m7","abx_only"
13,2964984,101235,"m7","abx_only"
15,2750889,101235,"m7","abx_only"
16,2696821,101235,"m7","abx_only"
17,2812672,101235,"m7","abx_only"
18,3123016,101235,"m7","abx_only"
2,3644185,142089,"m8","abx_only"
3,3923199,142089,"m8","abx_only"
4,3586399,142089,"m8","abx_only"
5,3771273,142089,"m8","abx_only"
6,3099584,142089,"m8","abx_only"
7,3062119,142089,"m8","abx_only"
8,3124325,142089,"m8","abx_only"
9,2971118,142089,"m8","abx_only"
10,3489157,142089,"m8","abx_only"
11,3241930,142089,"m8","abx_only"
12,3436025,142089,"m8","abx_only"
13,2945834,142089,"m8","abx_only"
14,2979155,142089,"m8","abx_only"
15,2898783,142089,"m8","abx_only"
16,2522266,142089,"m8","abx_only"
17,3108419,142089,"m8","abx_only"
18,3021102,142089,"m8","abx_only"
