cluster,m5.C1,m5.C2,m5.C3,m5.C4,m5.C5,m5.C6,m5.C7,m5.C8,m5.C9,m6.C1,m6.C2,m6.C3,m6.C4,m6.C5,m6.C6,m7.C1,m7.C2,m7.C3,m7.C4,m7.C5,m7.C6,m7.C7,m8.C1,m8.C2,m8.C3,m8.C4,m8.C5,m8.C6,m8.C7
m5.C1,1,0,0,0,0,0,0,0,0,0.8333333333333334,0.6,0,0,0,0,0.7222222222222222,0.8333333333333334,0.16666666666666666,0,0,0,0,1,0.7230769230769231,0.015151515151515152,0,0,0,0
m5.C2,0,1,0,0,0,0,0,0,0,0.325,0.06666666666666667,0.475,0.038461538461538464,0,0,0.325,0,0.45,0.025,0.025,0.025,0.025,0,0.3,0.5,0.05,0,0,0
m5.C3,0,0,1,0,0,0,0,0,0,0,0.375,0,0,0,0,0.125,0.375,0,0,0,0,0,0,0.5,0.25,0,0,0,0
m5.C4,0,0,0,1,0,0,0,0,0,0,0,0.47368421052631576,0.10526315789473684,0.25,0.05263157894736842,0,0,0.42105263157894735,0.15789473684210525,0,0.05263157894736842,0,0,0,0.3684210526315789,0.05263157894736842,0.05263157894736842,0.08333333333333333,0
m5.C5,0,0,0,0,1,0,0,0,0,0.013513513513513514,0,0.6133333333333333,0.5384615384615384,0.75,0.02666666666666667,0,0,0.35609756097560974,0.4827586206896552,0.3620689655172414,0.19555555555555557,0.008888888888888889,0,0.015384615384615385,0.4577777777777778,0.16,0.04888888888888889,0.3333333333333333,0.25
m5.C6,0,0,0,0,0,1,0,0,0,0,0.06666666666666667,0.11764705882352941,0,0,0.11764705882352941,0,0,0.029411764705882353,0,0,0.11764705882352941,0.14705882352941177,0,0,0.029411764705882353,0.029411764705882353,0.14705882352941177,0,0
m5.C7,0,0,0,0,0,0,1,0,0,0,0,0.38461538461538464,0.34615384615384615,0,0.28634361233480177,0,0,0.08780487804878048,0.21551724137931033,0.27586206896551724,0.4725274725274725,0.14285714285714285,0,0,0.08157099697885196,0.2757352941176471,0.2770083102493075,0.5833333333333334,0.4
m5.C8,0,0,0,0,0,0,0,1,0,0,0,0.375,0,0,0.625,0,0,0,0,0,0.25,0.75,0,0,0,0.125,0.875,0,0
m5.C9,0,0,0,0,0,0,0,0,1,0,0,0.20141342756183744,0,0,0.44052863436123346,0,0,0.01951219512195122,0.017241379310344827,0,0.2579505300353357,0.4911660777385159,0,0,0.02120141342756184,0.15073529411764705,0.4028268551236749,0,0
m6.C1,0.8333333333333334,0.325,0,0,0.013513513513513514,0,0,0,0,1,0,0,0,0,0,0.9629629629629629,0.5555555555555556,0.12162162162162163,0,0,0,0,0.6,0.8615384615384616,0.05405405405405406,0,0,0,0
m6.C2,0.6,0.06666666666666667,0.375,0,0,0.06666666666666667,0,0,0,0,1,0,0,0,0,0,0.5333333333333333,0.3333333333333333,0,0,0,0,0.4,0.26666666666666666,0.06666666666666667,0,0,0,0
m6.C3,0,0.475,0,0.47368421052631576,0.6133333333333333,0.11764705882352941,0.38461538461538464,0.375,0.20141342756183744,0,0,1,0,0,0,0,0,0.526829268292683,0.5775862068965517,0.5344827586206896,0.32665330661322645,0.1625615763546798,0,0,0.5075528700906344,0.40441176470588236,0.29916897506925205,0,0.5
m6.C4,0,0.038461538461538464,0,0.10526315789473684,0.5384615384615384,0,0.34615384615384615,0,0,0,0,0,1,0,0,0.038461538461538464,0,0.07692307692307693,0.38461538461538464,0.07692307692307693,0.34615384615384615,0,0,0,0.11538461538461539,0.3076923076923077,0.038461538461538464,0.8333333333333334,0.05
m6.C5,0,0,0,0.25,0.75,0,0,0,0,0,0,0,0,1,0,0,0,0.25,0.375,0.125,0,0,0,0,0.125,0,0.125,0,0
m6.C6,0,0,0,0.05263157894736842,0.02666666666666667,0.11764705882352941,0.28634361233480177,0.625,0.44052863436123346,0,0,0,0,0,1,0,0,0.01951219512195122,0.06896551724137931,0.034482758620689655,0.40969162995594716,0.47577092511013214,0,0,0.048458149779735685,0.2511013215859031,0.5154185022026432,0.16666666666666666,0.1
m7.C1,0.7222222222222222,0.325,0.125,0,0,0,0,0,0,0.9629629629629629,0,0,0.038461538461538464,0,0,1,0,0,0,0,0,0,0.13333333333333333,0.8888888888888888,0.018518518518518517,0.018518518518518517,0,0,0
m7.C2,0.8333333333333334,0,0.375,0,0,0,0,0,0,0.5555555555555556,0.5333333333333333,0,0,0,0,0,1,0,0,0,0,0,0.8,0.3333333333333333,0,0,0,0,0
m7.C3,0.16666666666666666,0.45,0,0.42105263157894735,0.35609756097560974,0.029411764705882353,0.08780487804878048,0,0.01951219512195122,0.12162162162162163,0.3333333333333333,0.526829268292683,0.07692307692307693,0.25,0.01951219512195122,0,0,1,0,0,0,0,0,0.15384615384615385,0.5609756097560976,0.08292682926829269,0.03414634146341464,0,0.1
m7.C4,0,0.025,0,0.15789473684210525,0.4827586206896552,0,0.21551724137931033,0,0.017241379310344827,0,0,0.5775862068965517,0.38461538461538464,0.375,0.06896551724137931,0,0,0,1,0,0,0,0,0,0.5517241379310345,0.20689655172413793,0.034482758620689655,0.4166666666666667,0.15
m7.C5,0,0.025,0,0,0.3620689655172414,0,0.27586206896551724,0,0,0,0,0.5344827586206896,0.07692307692307693,0.125,0.034482758620689655,0,0,0,0,1,0,0,0,0,0.5344827586206896,0.22413793103448276,0.017241379310344827,0.08333333333333333,0
m7.C6,0,0.025,0,0.05263157894736842,0.19555555555555557,0.11764705882352941,0.4725274725274725,0.25,0.2579505300353357,0,0,0.32665330661322645,0.34615384615384615,0,0.40969162995594716,0,0,0,0,0,1,0,0,0,0.13595166163141995,0.5036764705882353,0.3656509695290859,0.4166666666666667,0.45
m7.C7,0,0.025,0,0,0.008888888888888889,0.14705882352941177,0.14285714285714285,0.75,0.4911660777385159,0,0,0.1625615763546798,0,0,0.47577092511013214,0,0,0,0,0,0,1,0,0,0.0030211480362537764,0.11397058823529412,0.5041551246537396,0,0.05
m8.C1,1,0,0,0,0,0,0,0,0,0.6,0.4,0,0,0,0,0.13333333333333333,0.8,0,0,0,0,0,1,0,0,0,0,0,0
m8.C2,0.7230769230769231,0.3,0.5,0,0.015384615384615385,0,0,0,0,0.8615384615384616,0.26666666666666666,0,0,0,0,0.8888888888888888,0.3333333333333333,0.15384615384615385,0,0,0,0,0,1,0,0,0,0,0
m8.C3,0.015151515151515152,0.5,0.25,0.3684210526315789,0.4577777777777778,0.029411764705882353,0.08157099697885196,0,0.02120141342756184,0.05405405405405406,0.06666666666666667,0.5075528700906344,0.11538461538461539,0.125,0.048458149779735685,0.018518518518518517,0,0.5609756097560976,0.5517241379310345,0.5344827586206896,0.13595166163141995,0.0030211480362537764,0,0,1,0,0,0,0
m8.C4,0,0.05,0,0.05263157894736842,0.16,0.029411764705882353,0.2757352941176471,0.125,0.15073529411764705,0,0,0.40441176470588236,0.3076923076923077,0,0.2511013215859031,0.018518518518518517,0,0.08292682926829269,0.20689655172413793,0.22413793103448276,0.5036764705882353,0.11397058823529412,0,0,0,1,0,0,0
m8.C5,0,0,0,0.05263157894736842,0.04888888888888889,0.14705882352941177,0.2770083102493075,0.875,0.4028268551236749,0,0,0.29916897506925205,0.038461538461538464,0.125,0.5154185022026432,0,0,0.03414634146341464,0.034482758620689655,0.017241379310344827,0.3656509695290859,0.5041551246537396,0,0,0,0,1,0,0
m8.C6,0,0,0,0.08333333333333333,0.3333333333333333,0,0.5833333333333334,0,0,0,0,0,0.8333333333333334,0,0.16666666666666666,0,0,0,0.4166666666666667,0.08333333333333333,0.4166666666666667,0,0,0,0,0,0,1,0
m8.C7,0,0,0,0,0.25,0,0.4,0,0,0,0,0.5,0.05,0,0.1,0,0,0.1,0.15,0,0.45,0.05,0,0,0,0,0,0,1
