cluster,m5.C1,m5.C2,m5.C3,m5.C4,m5.C5,m5.C6,m5.C7,m5.C8,m5.C9,m6.C1,m6.C2,m6.C3,m6.C4,m6.C5,m6.C6,m7.C1,m7.C2,m7.C3,m7.C4,m7.C5,m7.C6,m7.C7,m8.C1,m8.C2,m8.C3,m8.C4,m8.C5,m8.C6,m8.C7
m5.C1,33.56600425443738,-1.6405466015205832,-0.7454499471139809,-1.1263447534063862,-4.195751439165739,-1.517179263594978,-5.974396036858354,-0.7141872612338878,-5.154699850985213,29.34891625102599,10.204020617168604,-6.566517271693368,-1.1615568232436102,-0.6346765325427688,-3.854324233298724,26.61665495782022,17.125472780878873,1.3108241398400964,-2.1551876017072553,-1.5333337089569956,-5.646099294044025,-4.523528130538641,19.098281130286733,30.1105900246518,-3.9063161129269064,-3.7635294699111506,-4.386972511425342,-0.6759291499368859,-0.9043418546947375
m5.C2,-1.7188116837588436,31.787821381126598,-0.5568110048635442,-0.8526744024751417,-3.2063774372363856,-1.2429834158295097,-4.679870081083559,-0.58339154070179,-3.8036768256291498,7.970964226961909,0.8868452888864065,1.2498181214820867,0.2477721966898505,-0.5221677239522563,-2.843720815105385,10.415519645287324,-0.6879029919369369,6.526275577991433,-1.0391218950688343,-0.34709694545949743,-3.8560073030712974,-3.1045241564159043,-0.6123578319038825,9.08902190799317,5.009584327981592,-1.861365061518474,-3.397720650572909,-0.5379565638898101,-0.6619070298666966
m5.C3,-0.7300102010362741,-0.5449602688972774,32.83952169157625,-0.3870127712577915,-1.5436737881690847,-0.4897817436442982,-2.1469953814430487,-0.2591691016802384,-1.7198673114446108,-0.6822257593936676,9.484462770327836,-2.317355132103959,-0.35700103958958057,-0.20950455093564221,-1.281565387545629,1.57701441063781,9.784657478056708,-1.038537844195381,-0.793844034333125,-0.5609092363687445,-1.8558501663389424,-1.5825114902731916,-0.2788201514776417,6.941606274209479,0.39647176060482175,-1.2480720831948138,-1.4821034913909228,-0.2571007608713569,-0.3291814437715401
m5.C4,-1.1399292229555196,-0.8756886113772965,-0.3963887745129166,31.062377839616154,-2.2677868380553634,-0.7665193171965597,-3.2155682396254086,-0.3873695760207618,-2.758588689478822,-1.002021816059679,-0.4538495140939328,0.8129855570214919,2.70853461706902,5.740108918101965,-1.3086506701100653,-0.7957861471018804,-0.41094721636968795,3.855574523154856,1.702124096870147,-0.8180511382372436,-2.260059173090618,-2.608657900842932,-0.4130213464012226,-0.8504467693239021,1.9460736720586647,-1.303863385746382,-1.7529119063504448,2.336983077212832,-0.46604461030188826
m5.C5,-4.334108715313242,-3.4722880758135175,-1.5211285082632764,-2.2442623286229635,33.88320866021302,-3.1573816118823315,-12.540205198751604,-1.5774533555895063,-10.13006869109946,-3.707281895452356,-1.755626418722978,8.011197015378604,5.224330396248587,4.259330168278199,-5.942625010457365,-2.86091856552724,-1.6766978702984843,10.16821108509672,11.799491848791599,5.2679355577099525,-3.429816615809744,-8.45380484157216,-1.4522729674234738,-2.8389995146893203,10.699244971410323,-0.03008720084746013,-6.6158362305770675,2.1260702178802884,1.4677744671900723
m5.C6,-1.543076972123358,-1.1709788525272873,-0.5127326172988269,-0.8287074594666528,-3.1539004323686606,31.995703831973817,-4.358326778938003,-0.53372023659480194,-3.523543105350187,-1.358375866947702,1.0220842176586733,-3.2711735453496154,-0.8372827332785835,-0.4380782314559662,-0.8325732609558836,-1.0704973967964604,-0.6186281089136513,-1.6477322125729814,-1.5720593136775278,-1.0740067827895947,-2.2715320876528615,-1.22424631442941,-0.602574872717808,-1.157695938447018,-2.459636736249941,-2.0961488848819174,-0.989797494141755,-0.4718230370296203,-0.6664567081327113
m5.C7,-6.442417394722119,-4.506162088987058,-2.041072090703304,-3.354541887913238,-12.419000573586855,-4.281497765845616,31.159807473204093,-1.9909610406352822,-14.853154745708546,-5.3902414565485515,-2.367032216756711,0.1174394715309295,0.99227030569439445,-1.7184231424741157,0.7701867384341496,-3.8837862658246554,-2.255053034439485,-4.721311963442835,0.08270273765047892,1.1363657190213994,8.417166556420705,-4.835389664489772,-2.115307861572072,-4.503824279941457,-6.557930424389181,2.6126595134168187,3.4180975303552787,3.1390809349342272,2.0557800982643637
m5.C8,-0.7396248131496688,-0.5631685299957133,-0.2666869910953891,-0.37724757257610864,-1.489953003157987,-0.5170360745190226,-2.071765361578897,33.56445459599979,-1.77562814157235,-0.7154643891878947,-0.2910889583514824,-0.02804388272679121,-0.37761570652412507,-0.22268523418733283,3.6042842012640492,-0.5142436047918,-0.27991595377268264,-1.045879506989951,-0.7588048136201256,-0.564484947554972,-0.27099972299127584,3.485201724557606,-0.28878730220296955,-0.5735441617095124,-1.4063950949212851,-0.3065155470150284,4.585182505253791,-0.22706069378445534,-0.3092425251102883
m5.C9,-5.226751252850237,-3.96171815609719,-1.6953320078152672,-2.598093421064269,-10.404778573017614,-3.7377338754805995,-14.24800143341623,-1.7020926430135093,33.13225400036719,-4.487192861300683,-1.9524139668860971,-7.025843227209711,-2.6921425122986258,-1.4138750639613296,9.718269858989876,-3.1936474809225603,-1.859483211562846,-6.085293210009388,-4.525562225144886,-3.338476293353595,-1.355098942167237,11.467357550902635,-1.8002022771509827,-3.7222849511413023,-8.081716526026906,-0.8608173786864126,8.58631771356254,-1.59576483665472,-2.0103657640361856
m6.C1,28.101778734764192,7.712532388877602,-0.6771580617258107,-1.0424343384513812,-3.5926688706930863,-1.4260596199859323,-5.393906477573263,-0.6689726031070738,-4.358875456547232,29.055936594171204,-1.2065173831431177,-10.824226486901129,-1.604501130460025,-0.869095659232185,-5.447923715851163,32.42913966842047,10.5201974778909,-0.24165671189710133,-2.4758764804555145,-1.7283471728545639,-6.175740720186013,-5.43863728905952,9.47645266332365,29.78713819010509,-3.8741465227701486,-4.384671239136094,-5.135095876946918,-0.8213365680465279,-1.0776716890516707
