cluster,m1.C1,m1.C2,m1.C3,m1.C4,m1.C5,m1.C6,m1.C7,m1.C8,m1.C9,m2.C1,m2.C2,m2.C3,m2.C4,m2.C5,m3.C1,m3.C2,m3.C3,m3.C4,m3.C5,m3.C6,m3.C7,m3.C8,m3.C9,m3.C10,m3.C11,m3.C12,m3.C13,m4.C1,m4.C2,m4.C3,m4.C4,m4.C5,m4.C6,m4.C7,m4.C8,m4.C9,m4.C10,m4.C11,m4.C12,m4.C13,m4.C14
m1.C1,1,0,0,0,0,0,0,0,0,0.7714285714285715,0.05714285714285714,0.09090909090909091,0,0,0.8285714285714286,0.02857142857142857,0,0,0,0,0,0,0,0,0,0,0,0.96,1,0.3,0.02857142857142857,0,0,0,0,0.02857142857142857,0,0,0,0,0
m1.C2,0,1,0,0,0,0,0,0,0,0.125,0.0625,0,0.125,0,0.1875,0.0625,0,0,0,0.0625,0,0,0.0625,0,0,0,0,0.0625,0,0.1,0,0,0,0.125,0,0,0,0,0,0,0
m1.C3,0,0,1,0,0,0,0,0,0,0.125,0.2916666666666667,0.09090909090909091,0.06722689075630252,0.1111111111111111,0.09302325581395349,0.4107142857142857,0.07317073170731707,0,0.11688311688311688,0.07339449541284404,0.1111111111111111,0.05,0.15789473684210525,0.23076923076923078,0.037037037037037035,0,0,0,0,0.1,0.125,0,0.17,0.07894736842105263,0.125,0.08695652173913043,0,0.18181818181818182,0.11538461538461539,0.08163265306122448,0.030303030303030304
m1.C4,0,0,0,1,0,0,0,0,0,0,0.4838709677419355,0,0.03225806451612903,0.05555555555555555,0,0.45161290322580644,0.03225806451612903,0,0.03225806451612903,0.03225806451612903,0,0,0.05263157894736842,0.07692307692307693,0,0,0,0,0,0,0.16129032258064516,0,0.12903225806451613,0.03225806451612903,0,0.12903225806451613,0,0,0,0,0
m1.C5,0,0,0,0,1,0,0,0,0,0,0.5,0.125,0.25,0,0,0.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0.125,0.25,0,0.125,0,0.125
m1.C6,0,0,0,0,0,1,0,0,0,0.025,0.8435754189944135,0.18181818181818182,0.11764705882352941,0.05555555555555555,0.023255813953488372,0.5865921787709497,0.5121951219512195,0.2222222222222222,0.11688311688311688,0.11009174311926606,0.037037037037037035,0.05,0.21052631578947367,0.23076923076923078,0.1111111111111111,0,0.5,0,0,0.1,0.16666666666666666,0.5,0.57,0.2236842105263158,0.25,0.34782608695652173,0,0.2727272727272727,0.23076923076923078,0.061224489795918366,0.2727272727272727
m1.C7,0,0,0,0,0,0,1,0,0,0.2727272727272727,0.36363636363636365,0,0,0.09090909090909091,0.18181818181818182,0.36363636363636365,0,0.09090909090909091,0,0,0,0,0,0,0,0,0,0,0,0.1,0.18181818181818182,0,0,0,0.125,0.09090909090909091,0,0,0,0.2727272727272727,0
m1.C8,0,0,0,0,0,0,0,1,0,0.025,0.19011406844106463,0.18181818181818182,0.40336134453781514,0.2222222222222222,0,0.3193916349809886,0.04878048780487805,0.16666666666666666,0.15584415584415584,0.3577981651376147,0.1111111111111111,0.25,0.15789473684210525,0.15384615384615385,0.25925925925925924,0.2222222222222222,0.25,0,0,0,0.16666666666666666,0.21428571428571427,0.09,0.25,0,0.17391304347826086,0,0.18181818181818182,0.19230769230769232,0.40816326530612246,0.2727272727272727
m1.C9,0,0,0,0,0,0,0,0,1,0.025,0.391304347826087,0.09090909090909091,0.13043478260869565,0.1111111111111111,0.023255813953488372,0.4782608695652174,0,0.1111111111111111,0.08695652173913043,0.043478260869565216,0.037037037037037035,0,0.10526315789473684,0,0,0.2222222222222222,0,0,0,0.1,0.2608695652173913,0.07142857142857142,0.043478260869565216,0,0,0.15217391304347827,0.25,0.09090909090909091,0.038461538461538464,0.06521739130434782,0.030303030303030304
m2.C1,0.7714285714285715,0.125,0.125,0,0,0.025,0.2727272727272727,0.025,0.025,1,0,0,0,0,0.9,0.025,0,0.05555555555555555,0,0,0,0,0,0,0,0,0,1,1,0.6,0,0,0,0,0,0,0,0,0,0.025,0
