label1,label2,overlap,z_score,neg_log_p,correlation,significant
m1.C2,m1.C1,0,-0.8348213228947893,0.39381398414226276,0.8399547171784183,FALSE
m1.C3,m1.C1,0,-3.2669107250763263,2.963658753569968,0.6716304050991687,TRUE
m1.C4,m1.C1,0,-1.287938870097474,0.7038456399152981,0.5344425283658979,FALSE
m1.C5,m1.C1,0,-0.6309922961415001,0.27732860338079385,0.6369545591223926,FALSE
m1.C6,m1.C1,0,-3.417940715614252,3.1999923283060188,0.6876694391497652,TRUE
m1.C7,m1.C1,0,-0.7634580173663695,0.35145431578700326,0.595495282851499,FALSE
m1.C8,m1.C1,0,-4.4201302126538105,5.005940571608206,0.06391616287727164,TRUE
m1.C9,m1.C1,0,-1.5595830395742767,0.9249699482535718,0.07340849872610278,FALSE
m2.C1,m1.C1,0.7714285714285715,22.17973263874155,108.26842557942922,0.9313188647797128,TRUE
m2.C2,m1.C1,0.05714285714285714,-4.0943342607773285,4.373266437339557,0.6209268408923075,TRUE
m2.C3,m1.C1,0.09090909090909091,0.876673996750829,0.41945849605582614,0.6452419400000066,FALSE
m2.C4,m1.C1,0,-2.199182725386798,1.5549420101166687,-0.3570043967257679,TRUE
m2.C5,m1.C1,0,-0.8784256335411359,0.4205447871754842,0.5279888317824311,FALSE
m3.C1,m1.C1,0.8285714285714286,26.823744387183215,157.7675007297068,0.9688149504484859,TRUE
m3.C2,m1.C1,0.02857142857142857,-4.65219797542711,5.483576293034409,0.5049236336167301,TRUE
m3.C3,m1.C1,0,-1.0310418389698344,0.5192441854469348,0.6324963055739338,FALSE
m3.C4,m1.C1,0,-0.6815554237457132,0.3049387158315748,0.7998692867726241,FALSE
m3.C5,m1.C1,0,-1.429593145029272,0.8157805200713765,0.045821521642200436,FALSE
m3.C6,m1.C1,0,-1.776033910446761,1.1207473663529932,-0.8339852292737888,FALSE
m3.C7,m1.C1,0,-0.8518103929999987,0.4041519250108842,-0.4631731548329341,FALSE
m3.C8,m1.C1,0,-0.7525851018980458,0.34515060848740126,-0.3748114646436702,FALSE
m3.C9,m1.C1,0,-0.6597029034285654,0.2929031194257344,-0.374681331499916,FALSE
m3.C10,m1.C1,0,-0.5982409783775368,0.2598907342191411,0.022744084273242815,FALSE
m3.C11,m1.C1,0,-0.8326832231834729,0.3925198755549347,-0.4282620984667054,FALSE
m3.C12,m1.C1,0,-0.46870993647919035,0.1943109315966952,-0.2688800785348002,FALSE
m3.C13,m1.C1,0,-0.4508066074429099,0.1856665272170427,0.16195549313291058,FALSE
m4.C1,m1.C1,0.96,26.263851589684332,151.30401938430532,0.9924989412892886,TRUE
m4.C2,m1.C1,1,5.783534893304351,8.135803441581512,0.7097242546542423,TRUE
m4.C3,m1.C1,0.3,4.607668060557928,5.390181517991415,0.8671790536042896,TRUE
m4.C4,m1.C1,0.02857142857142857,-2.102171417135587,1.4493038072014008,0.4236934908161024,TRUE
m4.C5,m1.C1,0,-0.7023598421948828,0.31654338427634787,0.5446056892586155,FALSE
m4.C6,m1.C1,0,-1.9010726009906822,1.2419021976601397,0.6724620373852676,FALSE
m4.C7,m1.C1,0,-1.6053353962985484,0.964890543184973,-0.21247933445323874,FALSE
m4.C8,m1.C1,0,-0.527105768131545,0.22321157271348255,0.7413636990610054,FALSE
m4.C9,m1.C1,0.02857142857142857,-0.905341944483569,0.4373690389268275,0.3137737916261727,FALSE
m4.C10,m1.C1,0,-0.34149585110106045,0.1350558326436373,0.10682343043958853,FALSE
m4.C11,m1.C1,0,-0.6144417576350335,0.26847291943385626,-0.2565155353407078,FALSE
m4.C12,m1.C1,0,-0.9694675156754339,0.4784540015195446,0.03007078479723002,FALSE
m4.C13,m1.C1,0,-1.2973148559831744,0.7110293205822805,-0.6408175401392882,FALSE
m4.C14,m1.C1,0,-1.0569116239831668,0.5367762459944364,-0.3743221089160518,FALSE
m1.C3,m1.C2,0,-2.2138161603568594,1.571194383930836,0.7857317489825723,TRUE
m1.C4,m1.C2,0,-0.8005209531821108,0.3732398855058142,0.6450359652982784,FALSE
m1.C5,m1.C2,0,-0.4178475002458716,0.17001564599231073,0.38515127401944305,FALSE
m1.C6,m1.C2,0,-2.2316288057783824,1.5910903438063173,0.5350858787800958,TRUE
m1.C7,m1.C2,0,-0.47785784204741955,0.19876689287589336,0.37172848641136536,FALSE
m1.C8,m1.C2,0,-2.9890744603374984,2.5531151486604777,0.19804171893805922,TRUE
m1.C9,m1.C2,0,-1.0191477873765191,0.5112620553794218,-0.18148309712915678,FALSE
m2.C1,m1.C2,0.125,1.6580576158088813,1.0118611042946908,0.9219836133784869,FALSE
m2.C2,m1.C2,0.0625,-2.586114926196487,2.0129393081087312,0.7398951238868215,TRUE
m2.C3,m1.C2,0,-0.44614891149915276,0.18343413898652772,0.5860457720842241,FALSE
m2.C4,m1.C2,0.125,-0.042470547955831606,0.014967313572461267,-0.18260694845670367,FALSE
m2.C5,m1.C2,0,-0.5752224267942118,0.2478432786397906,0.580712229335408,FALSE
m3.C1,m1.C2,0.1875,3.6629997432714796,3.6033146743425597,0.9229385611287103,TRUE
m3.C2,m1.C2,0.0625,-2.8714054566992915,2.388647432532816,0.5850129038446747,TRUE
m3.C3,m1.C2,0,-0.6969105001064856,0.3134899212750899,0.4253655307821138,FALSE
m3.C4,m1.C2,0,-0.4593408274200121,0.18977458574617187,0.46701291182138016,FALSE
m3.C5,m1.C2,0,-0.9523843976938023,0.4673703626086017,-0.0835470217223937,FALSE
m3.C6,m1.C2,0.0625,-0.21837681785521115,0.08242332536673407,-0.8395177257789741,FALSE
m3.C7,m1.C2,0,-0.5733450618150632,0.24686825944626672,-0.405170176021193,FALSE
m3.C8,m1.C2,0,-0.4936714215171206,0.20653213833048106,-0.3772218604100184,FALSE
m3.C9,m1.C2,0.0625,1.8322403366269369,1.174472482643691,-0.627347339879174,FALSE
m3.C10,m1.C2,0,-0.3924221683377547,0.15817375183265756,-0.3063213489621197,FALSE
m3.C11,m1.C2,0,-0.5769646181514134,0.24874911274495637,-0.48294704784581244,FALSE
m3.C12,m1.C2,0,-0.3360227112472579,0.13261870773537887,-0.5734292300196873,FALSE
m3.C13,m1.C2,0,-0.29152079685675947,0.11314110371540409,0.14573153876673284,FALSE
m4.C1,m1.C2,0.0625,1.1073470471409774,0.5716320609765922,0.8731110649347349,FALSE
m4.C2,m1.C2,0,-0.12334179328006849,0.04487221690198643,0.8011469334281257,FALSE
m4.C3,m1.C2,0.1,2.0310519027311797,1.3741760643312608,0.7920371173153196,TRUE
m4.C4,m1.C2,0,-1.7116513172520638,1.0606757485140557,0.551272572027762,FALSE
m4.C5,m1.C2,0,-0.4336248052718725,0.17746520205511174,0.40849081812132626,FALSE
m4.C6,m1.C2,0,-1.318538180948455,0.7274076146379389,0.5707477847623725,FALSE
m4.C7,m1.C2,0.125,0.8266193037131002,0.3888580452803313,-0.07249686696287938,FALSE
m4.C8,m1.C2,0,-0.3487170207677931,0.138285358645065,0.638235613370761,FALSE
m4.C9,m1.C2,0,-1.0243256756240005,0.5147308804403137,0.11543233180458945,FALSE
