series1,series2,sbd,cogroup1,cogroup2,same_cogroup,pair_type,relationship,overlap
m1.C2,m1.C1,0.1600452828215826,1,1,TRUE,clone-clone,within co-cluster,0
m1.C3,m1.C1,0.2484361952700801,2,1,FALSE,clone-clone,between co-clusters,0
m1.C4,m1.C1,0.3239068573037701,2,1,FALSE,clone-clone,between co-clusters,0
m1.C5,m1.C1,0.3630454408776077,2,1,FALSE,clone-clone,between co-clusters,0
m1.C6,m1.C1,0.30936239930016696,2,1,FALSE,clone-clone,between co-clusters,0
m1.C7,m1.C1,0.40450471714850134,2,1,FALSE,clone-clone,between co-clusters,0
m1.C8,m1.C1,0.6206089749877796,3,1,FALSE,clone-clone,between co-clusters,0
m1.C9,m1.C1,0.6201206469519875,4,1,FALSE,clone-clone,between co-clusters,0
m1.Enterobacteriaceae,m1.C1,0.406067403236405,5,1,FALSE,clone-species,between co-clusters,0
m1.Lachnospiraceae,m1.C1,0.43129596520491686,5,1,FALSE,clone-species,between co-clusters,0
m1.Muribaculaceae,m1.C1,0.3520015124314618,5,1,FALSE,clone-species,between co-clusters,0
m1.Paenibacillaceae,m1.C1,0.25187232364139656,1,1,TRUE,clone-species,within co-cluster,0
m1.Ruminococcaceae,m1.C1,0.430009661078274,6,1,FALSE,clone-species,between co-clusters,0
m2.C1,m1.C1,0.06868113522028807,1,1,TRUE,clone-clone,within co-cluster,0.7714285714285715
m2.C2,m1.C1,0.3076758174979498,2,1,FALSE,clone-clone,between co-clusters,0.05714285714285714
m2.C3,m1.C1,0.3547580599999939,2,1,FALSE,clone-clone,between co-clusters,0.09090909090909093
m2.C4,m1.C1,0.6647511624132106,3,1,FALSE,clone-clone,between co-clusters,0
m2.C5,m1.C1,0.42955994158642874,2,1,FALSE,clone-clone,between co-clusters,0
m2.Enterobacteriaceae,m1.C1,0.38653381846359014,5,1,FALSE,clone-species,between co-clusters,0
m2.Muribaculaceae,m1.C1,0.5595310260411852,5,1,FALSE,clone-species,between co-clusters,0
m2.Paenibacillaceae,m1.C1,0.28192883270244984,1,1,TRUE,clone-species,within co-cluster,0
m3.C1,m1.C1,0.031185049551515465,1,1,TRUE,clone-clone,within co-cluster,0.8285714285714286
m3.C2,m1.C1,0.3284369742715799,2,1,FALSE,clone-clone,between co-clusters,0.02857142857142857
m3.C3,m1.C1,0.3564209027199795,2,1,FALSE,clone-clone,between co-clusters,0
m3.C4,m1.C1,0.20013071322737652,2,1,FALSE,clone-clone,between co-clusters,0
m3.C5,m1.C1,0.6629259486153298,7,1,FALSE,clone-clone,between co-clusters,0
m3.C6,m1.C1,0.5951660607518898,5,1,FALSE,clone-clone,between co-clusters,0
m3.C7,m1.C1,0.6790522101004794,7,1,FALSE,clone-clone,between co-clusters,0
m3.C8,m1.C1,0.36613538125888434,5,1,FALSE,clone-clone,between co-clusters,0
m3.C9,m1.C1,0.5319025699312017,5,1,FALSE,clone-clone,between co-clusters,0
m3.C10,m1.C1,0.6389101417972826,7,1,FALSE,clone-clone,between co-clusters,0
m3.C11,m1.C1,0.6447231317467084,7,1,FALSE,clone-clone,between co-clusters,0
m3.C12,m1.C1,0.644021965520108,8,1,FALSE,clone-clone,between co-clusters,0
m3.C13,m1.C1,0.6037175660169376,3,1,FALSE,clone-clone,between co-clusters,0
m3.Enterobacteriaceae,m1.C1,0.4578282772168498,5,1,FALSE,clone-species,between co-clusters,0
m3.Paenibacillaceae,m1.C1,0.31133665348147466,1,1,TRUE,clone-species,within co-cluster,0
m3.Ruminococcaceae,m1.C1,0.2043438043988316,1,1,TRUE,clone-species,within co-cluster,0
m4.C1,m1.C1,0.007501058710712161,1,1,TRUE,clone-clone,within co-cluster,0.96
m4.C2,m1.C1,0.2902757453457584,1,1,TRUE,clone-clone,within co-cluster,1
m4.C3,m1.C1,0.1328209463957113,1,1,TRUE,clone-clone,within co-cluster,0.3
m4.C4,m1.C1,0.37936524688605866,2,1,FALSE,clone-clone,between co-clusters,0.02857142857142857
m4.C5,m1.C1,0.444958861745935,2,1,FALSE,clone-clone,between co-clusters,0
m4.C6,m1.C1,0.31478879211348465,2,1,FALSE,clone-clone,between co-clusters,0
m4.C7,m1.C1,0.6765072176657054,3,1,FALSE,clone-clone,between co-clusters,0
