series1,series2,dist,pair_id
C2,C1,0.20595880323148957,C2_C1
C3,C1,0.48773797106368866,C3_C1
C4,C1,0.48773797106368866,C4_C1
C5,C1,0.48773797106368866,C5_C1
C6,C1,0.48773797106368866,C6_C1
C7,C1,0.48773797106368866,C7_C1
C8,C1,0.48773797106368866,C8_C1
C9,C1,0.48773797106368866,C9_C1
Enterobacteriaceae,C1,0.49111424145136695,Enterobacteriaceae_C1
Lachnospiraceae,C1,0.49111424145136695,Lachnospiraceae_C1
Muribaculaceae,C1,0.49111424145136695,Muribaculaceae_C1
Paenibacillaceae,C1,0.20595880323148957,Paenibacillaceae_C1
Ruminococcaceae,C1,0.48773797106368866,Ruminococcaceae_C1
C3,C2,0.48773797106368866,C3_C2
C4,C2,0.48773797106368866,C4_C2
C5,C2,0.48773797106368866,C5_C2
C6,C2,0.48773797106368866,C6_C2
C7,C2,0.48773797106368866,C7_C2
C8,C2,0.48773797106368866,C8_C2
C9,C2,0.48773797106368866,C9_C2
Enterobacteriaceae,C2,0.49111424145136695,Enterobacteriaceae_C2
Lachnospiraceae,C2,0.49111424145136695,Lachnospiraceae_C2
Muribaculaceae,C2,0.49111424145136695,Muribaculaceae_C2
Paenibacillaceae,C2,0.12370261332082078,Paenibacillaceae_C2
Ruminococcaceae,C2,0.48773797106368866,Ruminococcaceae_C2
C4,C3,0.06750210783180977,C4_C3
C5,C3,0.19288070775753338,C5_C3
C6,C3,0.19288070775753338,C6_C3
C7,C3,0.4382407058685897,C7_C3
C8,C3,0.27616635846320053,C8_C3
C9,C3,0.4382407058685897,C9_C3
Enterobacteriaceae,C3,0.49111424145136695,Enterobacteriaceae_C3
Lachnospiraceae,C3,0.49111424145136695,Lachnospiraceae_C3
Muribaculaceae,C3,0.49111424145136695,Muribaculaceae_C3
Paenibacillaceae,C3,0.48773797106368866,Paenibacillaceae_C3
Ruminococcaceae,C3,0.3934986767932977,Ruminococcaceae_C3
C5,C4,0.19288070775753338,C5_C4
C6,C4,0.19288070775753338,C6_C4
C7,C4,0.4382407058685897,C7_C4
C8,C4,0.27616635846320053,C8_C4
C9,C4,0.4382407058685897,C9_C4
Enterobacteriaceae,C4,0.49111424145136695,Enterobacteriaceae_C4
Lachnospiraceae,C4,0.49111424145136695,Lachnospiraceae_C4
Muribaculaceae,C4,0.49111424145136695,Muribaculaceae_C4
Paenibacillaceae,C4,0.48773797106368866,Paenibacillaceae_C4
Ruminococcaceae,C4,0.3934986767932977,Ruminococcaceae_C4
C6,C5,0.10281176751021759,C6_C5
C7,C5,0.4382407058685897,C7_C5
C8,C5,0.27616635846320053,C8_C5
C9,C5,0.4382407058685897,C9_C5
Enterobacteriaceae,C5,0.49111424145136695,Enterobacteriaceae_C5
Lachnospiraceae,C5,0.49111424145136695,Lachnospiraceae_C5
Muribaculaceae,C5,0.49111424145136695,Muribaculaceae_C5
Paenibacillaceae,C5,0.48773797106368866,Paenibacillaceae_C5
Ruminococcaceae,C5,0.3934986767932977,Ruminococcaceae_C5
C7,C6,0.4382407058685897,C7_C6
C8,C6,0.27616635846320053,C8_C6
C9,C6,0.4382407058685897,C9_C6
Enterobacteriaceae,C6,0.49111424145136695,Enterobacteriaceae_C6
Lachnospiraceae,C6,0.49111424145136695,Lachnospiraceae_C6
Muribaculaceae,C6,0.49111424145136695,Muribaculaceae_C6
Paenibacillaceae,C6,0.48773797106368866,Paenibacillaceae_C6
Ruminococcaceae,C6,0.3934986767932977,Ruminococcaceae_C6
C8,C7,0.4382407058685897,C8_C7
C9,C7,0.3354077433416377,C9_C7
Enterobacteriaceae,C7,0.49111424145136695,Enterobacteriaceae_C7
Lachnospiraceae,C7,0.49111424145136695,Lachnospiraceae_C7
Muribaculaceae,C7,0.49111424145136695,Muribaculaceae_C7
Paenibacillaceae,C7,0.48773797106368866,Paenibacillaceae_C7
Ruminococcaceae,C7,0.4382407058685897,Ruminococcaceae_C7
C9,C8,0.4382407058685897,C9_C8
Enterobacteriaceae,C8,0.49111424145136695,Enterobacteriaceae_C8
Lachnospiraceae,C8,0.49111424145136695,Lachnospiraceae_C8
Muribaculaceae,C8,0.49111424145136695,Muribaculaceae_C8
Paenibacillaceae,C8,0.48773797106368866,Paenibacillaceae_C8
Ruminococcaceae,C8,0.3934986767932977,Ruminococcaceae_C8
Enterobacteriaceae,C9,0.49111424145136695,Enterobacteriaceae_C9
Lachnospiraceae,C9,0.49111424145136695,Lachnospiraceae_C9
Muribaculaceae,C9,0.49111424145136695,Muribaculaceae_C9
Paenibacillaceae,C9,0.48773797106368866,Paenibacillaceae_C9
Ruminococcaceae,C9,0.4382407058685897,Ruminococcaceae_C9
Lachnospiraceae,Enterobacteriaceae,0.16546991121125287,Lachnospiraceae_Enterobacteriaceae
Muribaculaceae,Enterobacteriaceae,0.11898370875140107,Muribaculaceae_Enterobacteriaceae
Paenibacillaceae,Enterobacteriaceae,0.49111424145136695,Paenibacillaceae_Enterobacteriaceae
Ruminococcaceae,Enterobacteriaceae,0.49111424145136695,Ruminococcaceae_Enterobacteriaceae
Muribaculaceae,Lachnospiraceae,0.16546991121125287,Muribaculaceae_Lachnospiraceae
Paenibacillaceae,Lachnospiraceae,0.49111424145136695,Paenibacillaceae_Lachnospiraceae
