Gene_name,Product,Label,I6,M5,M6,M8,Delta_M5,Category,Classification
,ABC transporter permease subunit,ABC transporter permease subunit,9,110,110,110,101,ABC transporter,isolate_expanded
,ABC transmembrane type-1 domain-containing protein,ABC transmembrane type-1,104,7,7,7,-97,Other,I6_expanded
,ABC transporter family protein,ABC transporter,1,84,84,84,83,ABC transporter,isolate_only_multicopy
,Helix-turn-helix domain protein,Helix-turn-helix,7,81,81,81,74,Other,isolate_expanded
,Binding--dependent transport system inner membrane component family protein,Binding--dependent transport system inner membrane,5,73,73,73,68,Other,isolate_expanded
,Bacterial extracellular solute-binding family protein,Bacterial extracellular solute-binding,5,71,71,71,66,Other,isolate_expanded
,Putative membrane protein,Putative membrane protein,2,41,41,41,39,Other,isolate_only_multicopy
,Response regulator,Response regulator,5,43,43,43,38,Other,isolate_expanded
,ABC transporter domain-containing protein,ABC transporter,45,8,8,8,-37,ABC transporter,I6_expanded
,Major facilitator superfamily (MFS) profile domain-containing protein,Major facilitator superfamily (MFS) profile,34,0,0,0,-34,Other,I6_only_multicopy
,HTH araC/xylS-type domain-containing protein,HTH araC/xylS-type,34,2,2,2,-32,Regulator,I6_only_multicopy
,Stage 0 sporulation A-like protein,Stage 0 sporulation A-like protein,31,0,0,0,-31,Sporulation,I6_only_multicopy
,N-acetyltransferase domain-containing protein,N-acetyltransferase,33,3,3,3,-30,Metabolism,I6_expanded
tetR,"Bacterial regulatory s, tetR family protein",tetR,2,31,31,31,29,Regulator,isolate_only_multicopy
,IS110 family transposase,IS110 family transposase,0,29,29,29,29,IS transposase,isolate_only_multicopy
,ABC transporter substrate-binding protein,ABC transporter substrate-binding protein,47,21,21,21,-26,ABC transporter,I6_expanded
,Glycosyl transferase 2 family protein,Glycosyl transferase 2,0,25,25,25,25,Metabolism,isolate_only_multicopy
,HTH tetR-type domain-containing protein,HTH tetR-type,24,2,2,2,-22,Regulator,I6_only_multicopy
,Acetyltransferase domain protein,Acetyltransferase,2,23,23,23,21,Metabolism,isolate_only_multicopy
yozG,HTH cro/C1-type domain-containing protein,yozG,27,6,6,6,-21,Other,I6_expanded
,Helix-turn-helix domain-containing protein,Helix-turn-helix,4,25,25,25,21,Other,isolate_expanded
araJ,MFS transporter,araJ,9,30,30,30,21,MFS transporter,isolate_expanded
,Major Facilitator Superfamily protein,Major Facilitator Superfamily protein,1,21,21,21,20,Other,isolate_only_multicopy
,"RNA polymerase sigma factor, sigma-70 family protein","RNA polymerase sigma factor, sigma-70",4,24,24,24,20,Other,isolate_expanded
,ATP-binding cassette domain-containing protein,ATP-binding cassette,0,19,19,19,19,Other,isolate_only_multicopy
,Acetyltransferase family protein,Acetyltransferase,1,20,20,20,19,Metabolism,isolate_only_multicopy
,Helix-turn-helix family protein,Helix-turn-helix,3,22,22,22,19,Other,isolate_expanded
,IS4 family transposase,IS4 family transposase,0,19,19,19,19,IS transposase,isolate_only_multicopy
lysR,"Bacterial regulatory helix-turn-helix, lysR family protein",lysR,0,17,17,17,17,Regulator,isolate_only_multicopy
,Lipoprotein,Lipoprotein,18,35,35,35,17,Other,isolate_expanded
,Cupin domain protein,Cupin,1,16,16,16,15,Other,isolate_only_multicopy
,Transcriptional regulator,Transcriptional regulator,33,18,18,18,-15,Regulator,I6_expanded
,FecCD transport family protein,FecCD transport,0,14,14,14,14,Other,isolate_only_multicopy
gerA,GerA spore germination family protein,gerA,0,14,14,14,14,Sporulation,isolate_only_multicopy
,HTH lacI-type domain-containing protein,HTH lacI-type,15,1,1,1,-14,Regulator,I6_only_multicopy
,Methyltransferase domain protein,Methyltransferase,1,15,15,15,14,Metabolism,isolate_only_multicopy
lacI,Periplasmic binding s and sugar binding domain of LacI family protein,lacI,2,16,16,16,14,Regulator,isolate_only_multicopy
,Short chain dehydrogenase family protein,Short chain dehydrogenase,0,14,14,14,14,Metabolism,isolate_only_multicopy
gntR,"Bacterial regulatory s, gntR family protein",gntR,0,13,13,13,13,Regulator,isolate_only_multicopy
,Gfo/Idh/MocA family oxidoreductase,Gfo/Idh/MocA family oxidoreductase,4,17,17,17,13,Metabolism,isolate_expanded
,Glycosyl transferases group 1 family protein,Glycosyl transferases group 1,3,16,16,16,13,Metabolism,isolate_expanded
,Putative lipoprotein,Putative lipoprotein,0,13,13,13,13,Other,isolate_only_multicopy
,Sugar (And other) transporter family protein,Sugar (And other) transporter,1,14,14,14,13,Other,isolate_only_multicopy
gerE,DNA-binding response regulator,gerE,16,4,4,4,-12,Regulator,I6_expanded
,HTH gntR-type domain-containing protein,HTH gntR-type,12,0,0,0,-12,Regulator,I6_only_multicopy
,HTH marR-type domain-containing protein,HTH marR-type,14,2,2,2,-12,Regulator,I6_only_multicopy
,3-beta hydroxysteroid dehydrogenase/isomerase family protein,3-beta hydroxysteroid dehydrogenase/isomerase,0,11,11,11,11,Metabolism,isolate_only_multicopy
,FtsX-like permease family protein,FtsX-like permease,1,12,12,12,11,ABC transporter,isolate_only_multicopy
,Glycosyltransferase 2-like domain-containing protein,Glycosyltransferase 2-like,13,2,2,2,-11,Metabolism,I6_only_multicopy
,HTH lysR-type domain-containing protein,HTH lysR-type,13,2,2,2,-11,Regulator,I6_only_multicopy
marR,MarR family protein,marR,0,11,11,11,11,Regulator,isolate_only_multicopy
,Multiple sugar transport system substrate-binding protein,Multiple sugar transport system substrate-binding ,13,2,2,2,-11,ABC transporter,I6_only_multicopy
lacI,"Bacterial regulatory s, lacI family protein",lacI,1,11,11,11,10,Regulator,isolate_only_multicopy
arsR,"Bacterial regulatory, arsR family protein",arsR,2,12,12,12,10,Other,isolate_only_multicopy
,HTH arsR-type domain-containing protein,HTH arsR-type,13,3,3,3,-10,Other,I6_expanded
merR,MerR family transcriptional regulator,merR,4,14,14,14,10,Regulator,isolate_expanded
,Sugar ABC transporter permease,Sugar ABC transporter permease,13,3,3,3,-10,ABC transporter,I6_expanded
yesN,"Two-component system, response regulator YesN",yesN,10,0,0,0,-10,Other,I6_only_multicopy
,ABC-2 transporter family protein,ABC-2 transporter,3,12,12,12,9,Other,isolate_expanded
araC,AraC family transcriptional regulator,araC,18,9,9,9,-9,Regulator,I6_expanded
,DUF6809 domain-containing protein,DUF6809,0,9,9,9,9,DUF/domain,isolate_only_multicopy
,HAMP domain protein,HAMP,1,10,10,10,9,Other,isolate_only_multicopy
,HTH merR-type domain-containing protein,HTH merR-type,9,0,0,0,-9,Regulator,I6_only_multicopy
,Iron ABC transporter permease,Iron ABC transporter permease,9,0,0,0,-9,ABC transporter,I6_only_multicopy
,Polysaccharide deacetylase family protein,Polysaccharide deacetylase,2,11,11,11,9,Other,isolate_only_multicopy
,(pseudo) hypothetical protein,(pseudo) hypothetical protein,0,8,8,8,8,Other,isolate_only_multicopy
,ABC 3 transport family protein,ABC 3 transport,0,8,8,8,8,Other,isolate_only_multicopy
luxR,"Bacterial regulatory s, luxR family protein",luxR,0,8,8,8,8,Other,isolate_only_multicopy
,Diguanylate cyclase domain protein,Diguanylate cyclase,0,8,8,8,8,Other,isolate_only_multicopy
,Extracellular solute-binding protein,Extracellular solute-binding protein,12,20,20,20,8,ABC transporter,isolate_expanded
,Histidine kinase family protein,Histidine kinase,0,8,8,8,8,Metabolism,isolate_only_multicopy
lacI,LacI family DNA-binding transcriptional regulator,lacI,0,8,8,8,8,Regulator,isolate_only_multicopy
,NlpC/P60 family protein,NlpC/P60,1,9,9,9,8,Other,isolate_only_multicopy
,Sulfatase-like hydrolase/transferase,Sulfatase-like hydrolase/transferase,2,10,10,10,8,Metabolism,isolate_only_multicopy
,Transposase zinc-ribbon domain-containing protein,Transposase zinc-ribbon,43,35,35,35,-8,IS transposase,I6_expanded
,AAA domain family protein,AAA domain,0,7,7,7,7,Other,isolate_only_multicopy
,AAA family ATPase,AAA family ATPase,1,8,8,8,7,Other,isolate_only_multicopy
,ABC transporter,ABC transporter,7,0,0,0,-7,ABC transporter,I6_only_multicopy
,ABC transporter permease,ABC transporter permease,29,22,22,22,-7,ABC transporter,I6_expanded
,ATP-grasp domain-containing protein,ATP-grasp,8,1,1,1,-7,Other,I6_only_multicopy
,Alpha/beta fold hydrolase,Alpha/beta fold hydrolase,0,7,7,7,7,Metabolism,isolate_only_multicopy
,Beta-phosphoglucomutase,Beta-phosphoglucomutase,7,0,0,0,-7,Other,I6_only_multicopy
,DEAD/DEAH box helicase,DEAD/DEAH box helicase,0,7,7,7,7,Other,isolate_only_multicopy
eamA,EamA domain-containing protein,eamA,9,2,2,2,-7,Other,I6_only_multicopy
lacI,LacI family transcriptional regulator,lacI,7,0,0,0,-7,Regulator,I6_only_multicopy
,MBL fold metallo-hydrolase,MBL fold metallo-hydrolase,3,10,10,10,7,Metabolism,isolate_expanded
,Radical SAM additional 4Fe4S-binding SPASM domain protein,Radical SAM additional 4Fe4S-binding SPASM,0,7,7,7,7,Other,isolate_only_multicopy
,SDR family NAD(P)-dependent oxidoreductase,SDR family NAD(P)-dependent oxidoreductase,3,10,10,10,7,Metabolism,isolate_expanded
,Sugar ABC transporter substrate-binding protein,Sugar ABC transporter substrate-binding protein,9,2,2,2,-7,ABC transporter,I6_only_multicopy
,transposase,transposase,0,7,7,7,7,IS transposase,isolate_only_multicopy
,Aldo/keto reductase family protein,Aldo/keto reductase,0,6,6,6,6,Metabolism,isolate_only_multicopy
,Amidohydrolase family protein,Amidohydrolase,0,6,6,6,6,Metabolism,isolate_only_multicopy
,Aminotransferase class I and II family protein,Aminotransferase class I and II,0,6,6,6,6,Metabolism,isolate_only_multicopy
deoR,DeoR family transcriptional regulator,deoR,1,7,7,7,6,Regulator,isolate_only_multicopy
,DeoR-like helix-turn-helix domain protein,DeoR-like helix-turn-helix,1,7,7,7,6,Other,isolate_only_multicopy
dinB,DinB family protein,dinB,0,6,6,6,6,Other,isolate_only_multicopy
,DinB-like domain-containing protein,DinB-like,6,0,0,0,-6,Other,I6_only_multicopy
,"Drug resistance MFS transporter, drug:H+ antiporter-2 family protein","Drug resistance MFS transporter, drug:H+ antiporte",0,6,6,6,6,MFS transporter,isolate_only_multicopy
,EamA-like transporter family protein,EamA-like transporter,0,6,6,6,6,Other,isolate_only_multicopy
,"HAD hydrolase, IA, variant 1 family protein","HAD hydrolase, IA, variant 1",0,6,6,6,6,Metabolism,isolate_only_multicopy
yobV,HTH deoR-type domain-containing protein,yobV,10,4,4,4,-6,Other,I6_expanded
lysM,LysM domain-containing protein,lysM,6,0,0,0,-6,Other,I6_only_multicopy
,Methyl-accepting chemotaxis (MCP) signaling domain protein,Methyl-accepting chemotaxis (MCP) signaling,0,6,6,6,6,Motility,isolate_only_multicopy
,NUDIX domain protein,NUDIX,0,6,6,6,6,Other,isolate_only_multicopy
,Nitroreductase domain-containing protein,Nitroreductase,6,0,0,0,-6,Metabolism,I6_only_multicopy
,ROK family protein,ROK,1,7,7,7,6,Other,isolate_only_multicopy
,SIS domain protein,SIS,1,7,7,7,6,Other,isolate_only_multicopy
,Spore germination family protein,Spore germination,1,7,7,7,6,Sporulation,isolate_only_multicopy
,Spore germination protein,Spore germination protein,10,4,4,4,-6,Sporulation,I6_expanded
,TIM barrel protein,TIM barrel protein,0,6,6,6,6,Other,isolate_only_multicopy
tetR,TetR family transcriptional regulator,tetR,4,10,10,10,6,Regulator,isolate_expanded
,Tetratricopeptide repeat family protein,Tetratricopeptide repeat,0,6,6,6,6,Regulator,isolate_only_multicopy
,Transposase IS4-like domain-containing protein,Transposase IS4-like,6,0,0,0,-6,IS transposase,I6_only_multicopy
pgmB,beta-phosphoglucomutase,pgmB,0,6,6,6,6,Other,isolate_only_multicopy
,glucose 1-dehydrogenase [NAD(P)(+)],glucose 1-dehydrogenase [NAD(P)(+)],6,0,0,0,-6,Metabolism,I6_only_multicopy
,histidine kinase,histidine kinase,81,75,75,75,-6,Metabolism,I6_expanded
abc-f,ribosomal protection-like ABC-F family protein,abc-f,0,6,6,6,6,Other,isolate_only_multicopy
,AAA+ ATPase domain-containing protein,AAA+ ATPase,7,2,2,2,-5,Other,I6_only_multicopy
,ABC3 transporter permease C-terminal domain-containing protein,ABC3 transporter permease C-terminal,5,0,0,0,-5,ABC transporter,I6_only_multicopy
,AbrB/MazE/SpoVT family DNA-binding domain-containing protein,AbrB/MazE/SpoVT family DNA-binding,1,6,6,6,5,Regulator,isolate_only_multicopy
,"Bacterial extracellular solute-binding s, 5 Middle family protein","Bacterial extracellular solute-binding s, 5 Middle",1,6,6,6,5,Other,isolate_only_multicopy
,Branched-chain amino acid transport system / permease component family protein,Branched-chain amino acid transport system / perme,0,5,5,5,5,ABC transporter,isolate_only_multicopy
,CobQ/CobB/MinD/ParA nucleotide binding domain protein,CobQ/CobB/MinD/ParA nucleotide binding,1,6,6,6,5,Other,isolate_only_multicopy
,DHA2 family efflux MFS transporter permease subunit,DHA2 family efflux MFS transporter permease subuni,1,6,6,6,5,ABC transporter,isolate_only_multicopy
,DUF4280 domain-containing protein,DUF4280,1,6,6,6,5,DUF/domain,isolate_only_multicopy
eamA,EamA family transporter,eamA,1,6,6,6,5,Other,isolate_only_multicopy
,Fe/B12 periplasmic-binding domain-containing protein,Fe/B12 periplasmic-binding,5,0,0,0,-5,Other,I6_only_multicopy
,Fibronectin type III domain protein,Fibronectin type III,0,5,5,5,5,Other,isolate_only_multicopy
,GNAT family N-acetyltransferase,GNAT family N-acetyltransferase,4,9,9,9,5,Metabolism,isolate_expanded
,"Germination, Ger(X)C family protein","Germination, Ger(X)C",2,7,7,7,5,Sporulation,isolate_only_multicopy
,HD-GYP domain-containing protein,HD-GYP,7,2,2,2,-5,Other,I6_only_multicopy
,HTH hxlR-type domain-containing protein,HTH hxlR-type,5,0,0,0,-5,Other,I6_only_multicopy
lysM,LysM domain protein,lysM,0,5,5,5,5,Other,isolate_only_multicopy
