# Genes present in I6 but ABSENT from M5/M6/M8
# Total: 309

Group	Annotation	I6_locus
group_4909	transposase	cds-WP_240752014.1-3
group_4908	BlaI/MecI/CopY family transcriptional regulator	cds-WP_155621363.1
group_4907	BlaI/MecI/CopY family transcriptional regulator	cds-WP_155621352.1
group_4906	transposase	cds-WP_240751900.1
group_4905	hypothetical protein	cds-WP_155621324.1-2
group_4904	putative holin-like toxin	cds-WP_230877290.1
group_4885	ABC transporter ATP-binding protein	cds-LMZ02_RS27235_pseudo
group_4882	DUF3500 domain-containing protein	cds-WP_218032593.1
group_4850	hypothetical protein	cds-WP_269059123.1
group_4842	hypothetical protein	cds-WP_269059122.1
group_4841	hypothetical protein	cds-WP_269059145.1
group_4835	hypothetical protein	cds-WP_276323180.1
group_4834	hypothetical protein	cds-LMZ02_RS31820_pseudo
group_4829	hypothetical protein	cds-WP_155620503.1
group_4823	hypothetical protein	cds-WP_155621191.1
group_4822	hypothetical protein	cds-WP_240752445.1
group_4820	DUF2179 domain-containing protein	cds-LMZ02_RS07035_pseudo
group_4817	hypothetical protein	cds-WP_155619414.1
group_4813	hypothetical protein	cds-WP_240751894.1
group_4812	hypothetical protein	cds-WP_155620827.1
group_4800	hypothetical protein	cds-WP_240751844.1
group_4795	hypothetical protein	cds-WP_196427467.1
group_4789	hypothetical protein	cds-WP_155619986.1
group_4788	YvrJ family protein	cds-WP_155619712.1
group_4782	CRISPR-associated endonuclease Cas2	cds-LMZ02_RS07180_pseudo
group_4775	hypothetical protein	cds-WP_240751843.1
group_4765	ArsB/NhaD family transporter	cds-WP_316561616.1
group_4759	hypothetical protein	cds-WP_316560790.1
group_4758	hypothetical protein	cds-WP_170180043.1
group_4750	hypothetical protein	cds-WP_170179988.1
group_4743	spore gernimation protein GerPD	cds-WP_373281400.1
group_4718	hypothetical protein	cds-WP_155619716.1
group_4717	hypothetical protein	cds-WP_155619221.1
group_4709	hypothetical protein	cds-WP_155621122.1
group_4688	hypothetical protein	cds-WP_240751770.1
