# Genes present in M5/M6/M8 but ABSENT from I6
# Total: 736 (736 in all 3 isolates, 0 partial)

Group	Annotation	M5	M6	M8	In_all_3
group_5360	hypothetical protein	NKFIDM_06067	KMIGAE_06067	ILIHOP_06067	True
group_5311	hypothetical protein	NKFIDM_04978	KMIGAE_04978	ILIHOP_04978	True
loaP	antiterminator LoaP	NKFIDM_03570	KMIGAE_03570	ILIHOP_03570	True
group_4958	IS4 family transposase	NKFIDM_06206	KMIGAE_06206	ILIHOP_06206	True
group_4957	IS4 family transposase	NKFIDM_01820	KMIGAE_01820	ILIHOP_01820	True
group_4955	IS110 family transposase	NKFIDM_06001	KMIGAE_06001	ILIHOP_06001	True
group_4954	IS110 family transposase	NKFIDM_04871	KMIGAE_04871	ILIHOP_04871	True
group_4953	IS110 family transposase	NKFIDM_04528	KMIGAE_04528	ILIHOP_04528	True
group_4952	IS110 family transposase	NKFIDM_03616	KMIGAE_03616	ILIHOP_03616	True
group_4951	IS110 family transposase	NKFIDM_02591	KMIGAE_02591	ILIHOP_02591	True
group_4950	IS110 family transposase	NKFIDM_02468	KMIGAE_02468	ILIHOP_02468	True
group_4949	IS110 family transposase	NKFIDM_02250	KMIGAE_02250	ILIHOP_02250	True
group_4948	IS110 family transposase	NKFIDM_00703	KMIGAE_00703	ILIHOP_00703	True
group_4947	IS110 family transposase	NKFIDM_06000	KMIGAE_06000	ILIHOP_06000	True
group_4946	IS110 family transposase	NKFIDM_04872	KMIGAE_04872	ILIHOP_04872	True
group_4945	IS110 family transposase	NKFIDM_04529	KMIGAE_04529	ILIHOP_04529	True
group_4944	IS110 family transposase	NKFIDM_03617	KMIGAE_03617	ILIHOP_03617	True
group_4943	IS110 family transposase	NKFIDM_02592	KMIGAE_02592	ILIHOP_02592	True
group_4942	IS110 family transposase	NKFIDM_02467	KMIGAE_02467	ILIHOP_02467	True
group_4941	IS110 family transposase	NKFIDM_02251	KMIGAE_02251	ILIHOP_02251	True
group_4940	IS110 family transposase	NKFIDM_00702	KMIGAE_00702	ILIHOP_00702	True
group_4939	IS110 family transposase	NKFIDM_06343	KMIGAE_06343	ILIHOP_06343	True
group_4937	IS110 family transposase	NKFIDM_04034	KMIGAE_04034	ILIHOP_04034	True
group_4934	IS110 family transposase	NKFIDM_02761	KMIGAE_02761	ILIHOP_02761	True
group_4932	IS110 family transposase	NKFIDM_01546	KMIGAE_01546	ILIHOP_01546	True
group_4931	IS110 family transposase	NKFIDM_00968	KMIGAE_00968	ILIHOP_00968	True
group_4930	IS110 family transposase	NKFIDM_00878	KMIGAE_00878	ILIHOP_00878	True
group_4925	IS4 family transposase	NKFIDM_05888	KMIGAE_05888	ILIHOP_05888	True
group_4924	IS4 family transposase	NKFIDM_05607	KMIGAE_05607	ILIHOP_05607	True
group_4923	IS4 family transposase	NKFIDM_05559	KMIGAE_05559	ILIHOP_05559	True
group_4922	IS4 family transposase	NKFIDM_05030	KMIGAE_05030	ILIHOP_05030	True
group_4921	IS4 family transposase	NKFIDM_04761	KMIGAE_04761	ILIHOP_04761	True
group_4919	IS4 family transposase	NKFIDM_03467	KMIGAE_03467	ILIHOP_03467	True
group_4918	IS4 family transposase	NKFIDM_03364	KMIGAE_03364	ILIHOP_03364	True
group_4917	IS4 family transposase	NKFIDM_03047	KMIGAE_03047	ILIHOP_03047	True
group_4911	IS4 family transposase	NKFIDM_00383	KMIGAE_00383	ILIHOP_00383	True
group_4910	IS4 family transposase	NKFIDM_00033	KMIGAE_00033	ILIHOP_00033	True
group_4895	hypothetical protein	NKFIDM_05386	KMIGAE_05386	ILIHOP_05387	True
group_4894	hypothetical protein	NKFIDM_04653	KMIGAE_04653	ILIHOP_04653	True
group_4893	hypothetical protein	NKFIDM_03306	KMIGAE_03306	ILIHOP_03306	True
group_4891	hypothetical protein	NKFIDM_05960	KMIGAE_05960	ILIHOP_05960	True
group_4884	hypothetical protein	NKFIDM_01535	KMIGAE_01535	ILIHOP_01535	True
group_4879	hypothetical protein	NKFIDM_02462	KMIGAE_02462	ILIHOP_02462	True
group_4877	hypothetical protein	NKFIDM_06080	KMIGAE_06080	ILIHOP_06080	True
group_4874	hypothetical protein	NKFIDM_02183	KMIGAE_02183	ILIHOP_02183	True
group_4868	hypothetical protein	NKFIDM_02461	KMIGAE_02461	ILIHOP_02461	True
group_4862	hypothetical protein	NKFIDM_06073	KMIGAE_06073	ILIHOP_06073	True
group_4860	Putative membrane protein	NKFIDM_03226	KMIGAE_03226	ILIHOP_03226	True
group_4856	hypothetical protein	NKFIDM_05363	KMIGAE_05363	ILIHOP_05363	True
group_4854	hypothetical protein	NKFIDM_03417	KMIGAE_03417	ILIHOP_03417	True
group_4848	hypothetical protein	NKFIDM_05845	KMIGAE_05845	ILIHOP_05845	True
group_4847	hypothetical protein	NKFIDM_04980	KMIGAE_04980	ILIHOP_04980	True
group_4843	Fibronectin type III domain protein	NKFIDM_01182	KMIGAE_01182	ILIHOP_01182	True
group_4838	hypothetical protein	NKFIDM_05688	KMIGAE_05688	ILIHOP_05688	True
group_4833	hypothetical protein	NKFIDM_04756	KMIGAE_04756	ILIHOP_04756	True
group_4832	Lantibiotic	NKFIDM_04533	KMIGAE_04533	ILIHOP_04533	True
group_4830	hypothetical protein	NKFIDM_01161	KMIGAE_01161	ILIHOP_01161	True
