# Efflux Pump Analysis — H7 Assessment
# Date: 2026-03-23

## Summary
M5 efflux pump genes: 521
I6 efflux pump genes: 823
Difference: -302

## M5 efflux genes
Locus_tag	Start	Stop	Product	IS_within_5kb
NKFIDM_00030	37452	39083	formate--tetrahydrofolate ligase	YES (2 IS)
NKFIDM_00077	88545	90335	ABC transporter substrate-binding protein	YES (1 IS)
NKFIDM_00079	91313	92248	oligopeptide ABC transporter permease	YES (1 IS)
NKFIDM_00080	92260	93240	ABC transporter domain-containing protein	YES (1 IS)
NKFIDM_00081	93233	94198	Oligopeptide ABC transporter, ATP-binding protein AppF	YES (1 IS)
NKFIDM_00095	111762	112343	aminodeoxychorismate/anthranilate synthase component II	no
NKFIDM_00096	112340	113269	4-amino-4-deoxychorismate lyase	no
NKFIDM_00172	184603	185724	sn-glycerol-3-phosphate ABC transporter ATP-binding protein UgpC	no
NKFIDM_00196	209932	210765	ABC transporter permease subunit	no
NKFIDM_00197	210769	211701	ABC transporter permease subunit	no
NKFIDM_00201	216001	216735	ABC transporter permease	no
NKFIDM_00203	217450	218364	ABC transporter family protein	no
NKFIDM_00237	247986	248843	Sugar ABC transporter ATP-binding protein	no
NKFIDM_00240	251851	252702	Spermidine/putrescine ABC transporter, permease protein PotB	no
NKFIDM_00258	272760	273548	ABC transporter permease subunit	no
NKFIDM_00260	274609	275307	ABC transporter family protein	no
NKFIDM_00267	284349	285617	Glutamate-aspartate carrier protein	no
NKFIDM_00280	298116	299276	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase	no
NKFIDM_00281	300229	302004	ABC transporter family protein	no
NKFIDM_00288	306305	307060	ABC transporter family protein	no
NKFIDM_00307	326082	327329	MFS transporter	no
NKFIDM_00327	345628	346524	MerR regulatory family protein	no
NKFIDM_00329	349361	350188	Sugar ABC transporter ATP-binding protein	no
NKFIDM_00367	397285	398208	ABC transporter family protein	no
NKFIDM_00372	400815	401129	ABC transporter permease subunit	no
NKFIDM_00381	409117	409941	MerR family transcriptional regulator	YES (1 IS)
NKFIDM_00386	414515	416992	Na+/H+ antiporter subunit A	YES (1 IS)
NKFIDM_00387	416979	417401	Na(+)/H(+) antiporter subunit B	YES (1 IS)
NKFIDM_00388	417403	417744	Na(+)/H(+) antiporter subunit C	YES (1 IS)
NKFIDM_00389	417737	419212	Na+/H+ antiporter subunit D	no
NKFIDM_00390	419228	419707	Na(+)/H(+) antiporter subunit E	no
NKFIDM_00391	419704	419985	Na(+)/H(+) antiporter subunit F1	no
NKFIDM_00392	419969	420382	Na+/H+ antiporter subunit G	no
NKFIDM_00405	438427	439368	Carbohydrate ABC transporter permease	no
NKFIDM_00414	449767	450687	ABC transporter permease subunit	no
NKFIDM_00415	450687	451496	ABC transporter, permease protein	no
NKFIDM_00416	451493	452536	ABC transporter ATP-binding protein	no
NKFIDM_00455	493156	494970	ABC transporter family protein	no
NKFIDM_00456	494960	496708	ABC transporter family protein	no
