Gene,Annotation,Presence_pattern,Functional_category,M5_locus,M6_locus,M8_locus,I6_locus,In_novel_region
group_5739,ABC transporter permease;FtsX-like permease family protein,core,transport,NKFIDM_04525,KMIGAE_04525,ILIHOP_04525,cds-LMZ02_RS27240,yes
group_5738,ABC transporter ATP-binding protein;ABC transporter family protein,core,transport,NKFIDM_04524,KMIGAE_04524,ILIHOP_04524,cds-WP_155619952.1,no
group_5737,sensor histidine kinase;histidine kinase,core,metabolism_enzyme,NKFIDM_04522,KMIGAE_04522,ILIHOP_04522,cds-WP_230877055.1,no
group_5736,hypothetical protein;Lipoprotein,core,hypothetical_DUF,NKFIDM_00348,KMIGAE_00348,ILIHOP_00348,cds-WP_155619723.1,yes
group_5735,MTP-1 family protein;hypothetical protein,core,hypothetical_DUF,NKFIDM_05663,KMIGAE_05663,ILIHOP_05663,cds-WP_240752091.1,no
group_5734,glycoside hydrolase family 130 protein;Glycosidase,core,metabolism_enzyme,NKFIDM_05664,KMIGAE_05664,ILIHOP_05664,cds-WP_155620844.1,no
group_5733,carbohydrate ABC transporter permease;Binding--dependent transport system inner membrane component family protein,core,transport,NKFIDM_05665,KMIGAE_05665,ILIHOP_05665,cds-WP_230877202.1,no
group_5732,response regulator transcription factor;Response regulator,core,other,NKFIDM_04521,KMIGAE_04521,ILIHOP_04521,cds-WP_155619951.1,no
ppsA,phosphoenolpyruvate synthase,core,metabolism_enzyme,NKFIDM_03249,KMIGAE_03249,ILIHOP_03249,cds-WP_155620054.1,no
group_5731,ABC transporter permease subunit;Binding--dependent transport system inner membrane component family protein,core,transport,NKFIDM_00351,KMIGAE_00351,ILIHOP_00351,cds-WP_240752285.1,yes
group_5730,carbohydrate ABC transporter permease,core,transport,NKFIDM_05666,KMIGAE_05666,ILIHOP_05666,cds-WP_155620843.1,no
group_5729,iron-hydroxamate ABC transporter substrate-binding protein;hypothetical protein,core,transport,NKFIDM_03229,KMIGAE_03229,ILIHOP_03229,cds-WP_155620086.1,no
group_5728,FecCD family ABC transporter permease;ABC 3 transport family protein,core,transport,NKFIDM_03230,KMIGAE_03230,ILIHOP_03230,cds-WP_155620168.1,no
group_5727,Transporter;hypothetical protein,core,transport,NKFIDM_06309;NKFIDM_06308,KMIGAE_06308;KMIGAE_06309,ILIHOP_06308;ILIHOP_06309,cds-WP_240752569.1,no
group_5726,spore germination protein;GerA spore germination family protein,core,sporulation,NKFIDM_03275,KMIGAE_03275,ILIHOP_03275,cds-WP_240751774.1,no
yndE,GerAB/ArcD/ProY family transporter;Spore germination protein YndE,core,transport,NKFIDM_03274,KMIGAE_03274,ILIHOP_03274,cds-WP_240751773.1,no
group_5725,MerR family transcriptional regulator,core,regulatory,NKFIDM_00381,KMIGAE_00381,ILIHOP_00381,cds-WP_155619734.1,no
group_5724,methionine ABC transporter permease;Binding--dependent transport system inner membrane component family protein,core,transport,NKFIDM_05283,KMIGAE_05283,ILIHOP_05283,cds-WP_124333142.1,no
group_5723,PTS transporter subunit EIIC;PTS beta-glucoside transporter subunit IIABC,core,transport,NKFIDM_04518,KMIGAE_04518,ILIHOP_04518,cds-WP_155619948.1,no
group_5722,LacI family DNA-binding transcriptional regulator;Periplasmic binding s and sugar binding domain of LacI family protein,core,regulatory,NKFIDM_04517,KMIGAE_04517,ILIHOP_04517,cds-WP_155619947.1,no
group_5721,FecCD family ABC transporter permease;FecCD transport family protein,core,transport,NKFIDM_03231,KMIGAE_03231,ILIHOP_03231,cds-WP_155620085.1,no
group_5720,CAP domain-containing protein;SCP domain-containing protein,core,other,NKFIDM_03253,KMIGAE_03253,ILIHOP_03253,cds-WP_155620053.1,no
group_5719,MetQ/NlpA family ABC transporter substrate-binding protein;Lipoprotein,core,transport,NKFIDM_05282,KMIGAE_05282,ILIHOP_05282,cds-WP_240752046.1,no
group_5718,Ger(x)C family spore germination protein;Germination Ger(X)C family protein,core,sporulation,NKFIDM_03273,KMIGAE_03273,ILIHOP_03273,cds-WP_155620042.1,no
group_5717,hypothetical protein;Lipoprotein,core,hypothetical_DUF,NKFIDM_02105,KMIGAE_02105,ILIHOP_02105,cds-WP_155621161.1,no
group_5716,DUF6809 family protein;DUF6809 domain-containing protein,core,hypothetical_DUF,NKFIDM_05844,KMIGAE_05844,ILIHOP_05844,cds-WP_326048426.1,no
group_5715,helix-turn-helix transcriptional regulator;Transcriptional regulator family protein,core,regulatory,NKFIDM_00653,KMIGAE_00653,ILIHOP_00653,cds-WP_155621396.1,no
group_5714,serine hydrolase domain-containing protein;Class C beta-lactamase-related serine hydrolase,core,metabolism_enzyme,NKFIDM_00382,KMIGAE_00382,ILIHOP_00382,cds-WP_155619735.1,no
group_5713,MFS transporter;Major Facilitator Superfamily protein,core,transport,NKFIDM_02077,KMIGAE_02077,ILIHOP_02077,cds-WP_155621046.1,no
group_5712,NUDIX hydrolase;NUDIX domain-containing protein,core,metabolism_enzyme,NKFIDM_03307,KMIGAE_03307,ILIHOP_03307,cds-WP_124332076.1,no
group_5711,methionine ABC transporter ATP-binding protein,core,transport,NKFIDM_05284,KMIGAE_05284,ILIHOP_05284,cds-WP_240752047.1,no
group_5710,hypothetical protein,core,hypothetical_DUF,NKFIDM_01732;NKFIDM_01733,KMIGAE_01732;KMIGAE_01733,ILIHOP_01733;ILIHOP_01732,cds-WP_155620521.1,no
group_5709,NifU family protein;NIF system FeS cluster assembly NifU C-terminal domain-containing protein,core,other,NKFIDM_04932,KMIGAE_04932,ILIHOP_04932,cds-WP_155621449.1,no
group_5708,right-handed parallel beta-helix repeat-containing protein;Alpha-13-galactosidase A,core,other,NKFIDM_01215,KMIGAE_01215,ILIHOP_01215,cds-WP_155620775.1,no
group_5707,prepilin peptidase;hypothetical protein,core,metabolism_enzyme,NKFIDM_00652,KMIGAE_00652,ILIHOP_00652,cds-WP_240752337.1,no
group_5706,6-phospho-beta-glucosidase,core,other,NKFIDM_04516,KMIGAE_04516,ILIHOP_04516,cds-WP_155619946.1,no
group_5705,carboxymuconolactone decarboxylase family protein;Carboxymuconolactone decarboxylase family protein,core,other,NKFIDM_03889,KMIGAE_03889,ILIHOP_03889,cds-WP_036622111.1,no
fucO,lactaldehyde reductase,core,metabolism_enzyme,NKFIDM_05846,KMIGAE_05846,ILIHOP_05846,cds-WP_240752117.1,no
ycnE,putative quinol monooxygenase;Putative monooxygenase ycnE,core,other,NKFIDM_03305,KMIGAE_03305,ILIHOP_03305,cds-WP_124332217.1,no
group_5704,hypothetical protein;DUF4355 domain-containing protein,core,hypothetical_DUF,NKFIDM_06491,KMIGAE_06491,ILIHOP_06491,cds-WP_036618576.1,no
lsa,Lsa family ABC-F type ribosomal protection protein,core,other,NKFIDM_03304,KMIGAE_03304,ILIHOP_03304,cds-WP_124332077.1,no
group_5703,hypothetical protein,core,hypothetical_DUF,NKFIDM_06492,KMIGAE_06492,ILIHOP_06492,cds-WP_155619239.1,no
group_5702,stalk domain-containing protein;Copper amine oxidase-like N-terminal domain-containing protein,core,other,NKFIDM_03303,KMIGAE_03303,ILIHOP_03303,cds-WP_240751783.1,no
group_5701,Hsp20/alpha crystallin family protein;Hsp20 family protein,core,other,NKFIDM_06493,KMIGAE_06493,ILIHOP_06493,cds-WP_036618573.1,no
